住宅用房比较因素条件说明表-参照物比较因素-交易单价(元/m2),住宅用房比较因素条件说明表-参照物比较因素-交易单价(元/m2).1,住宅用房比较因素条件说明表-公寓楼-待估,住宅用房比较因素条件说明表-中泽城-4000,住宅用房比较因素条件说明表-城市一景-4200,住宅用房比较因素条件说明表-中南置业-4500,比较因素条件指数表-参照物比较因素-交易单价(元/m2),比较因素条件指数表-参照物比较因素-交易单价(元/m2).1,比较因素条件指数表-评估宗地-待估,比较因素条件指数表-比较实例1-4000,比较因素条件指数表-比较实例2-4200,比较因素条件指数表-比较实例3-4500,比较因素修正系数表-比较实例1-4000,比较因素修正系数表-比较实例2-4200,比较因素修正系数表-比较实例3-4500
交易时间,交易时间,2014年5月,2013年4月,2014年4月,2014年4月,交易时间,交易时间,100.0,99.0,100.0,100.0,100/99,100/100,100/100
交易情况,交易情况,正常,正常,正常,正常,交易情况,交易情况,100.0,100.0,100.0,100.0,100/100,100/100,100/100
区域因素,对外交通便捷程度,距火车站2公里，对外交通较便捷,距火车站2公里，对外交通较便捷,距火车站2公里，对外交通较便捷,距火车站2公里，对外交通较便捷,区域因素,对外交通便捷程度,100.0,100.0,100.0,100.0,100/100,100/100,100/100
区域因素,区域社会经济活动中心等级,二级,二级,二级,二级,区域因素,区域社会经济活动中心等级,100.0,100.0,100.0,100.0,100/100,100/100,100/100
区域因素,区域商服中心等级,二级,二级,二级,二级,区域因素,区域商服中心等级,100.0,100.0,100.0,100.0,100/100,100/100,100/100
区域因素,景观、环境优劣度,较优,较优,较优,较优,区域因素,景观、环境优劣度,100.0,100.0,100.0,100.0,100/100,100/100,100/100
区域因素,公共服务设施,完善,完善,完善,完善,区域因素,公共服务设施,100.0,100.0,100.0,100.0,100/100,100/100,100/100
区域因素,基础设施状况,七通,七通,七通,七通,区域因素,基础设施状况,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,公交便捷度,距公汽车站20米，交通较便捷,距公汽车站20米，交通较便捷,距公汽车站200米，交通较便捷,距公汽车站20米，交通较便捷,个别因素,公交便捷度,100.0,100.0,99.0,100.0,100/100,100/99,100/100
个别因素,与公服设施接近度,200m,200m,200m,200m,个别因素,与公服设施接近度,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,相邻人文环境,较优,较优,较优,较优,个别因素,相邻人文环境,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,房屋结构/质量,框架/良,框架/良,框架/良,框架/良,个别因素,房屋结构/质量,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,房屋成新率,100%,100%,100%,100%,个别因素,房屋成新率,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,装饰装修,清水房,清水房,清水房,清水房,个别因素,装饰装修,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,房屋总层数,18,18,18,18,个别因素,房屋总层数,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,房屋所在层数,1至18,1至18,1至18,1至18,个别因素,房屋所在层数,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,朝向,南,南,南,南,个别因素,朝向,100.0,100.0,100.0,100.0,100/100,100/100,100/100
个别因素,其他,赠地下室,不赠地下室,赠地下室,赠地下室,,其他,100.0,95.0,100.0,100.0,100/95,100/100,100/100
,,,,,,修正单价,修正单价,,,,,4253.1,4242.4,4500
,,,,,,比准单价,比准单价,,,,,4331.8,4331.8,4331.8
