各岗位对应职等、职级薪资表,各岗位对应职等、职级薪资表-薪资结构：当月全薪=标准底薪+岗位工资+绩效工资,各岗位对应职等、职级薪资表.1,各岗位对应职等、职级薪资表.2,各岗位对应职等、职级薪资表.3,各岗位对应职等、职级薪资表.4,各岗位对应职等、职级薪资表.5,各岗位对应职等、职级薪资表.6,各岗位对应职等、职级薪资表.7,各岗位对应职等、职级薪资表.8,各岗位对应职等、职级薪资表.9,各岗位对应职等、职级薪资表.10,各岗位对应职等、职级薪资表.11,各岗位对应职等、职级薪资表.12,各岗位对应职等、职级薪资表.13,各岗位对应职等、职级薪资表.14,各岗位对应职等、职级薪资表.15,各岗位对应职等、职级薪资表.16,各岗位对应职等、职级薪资表.17,福利-1、月全勤奖，B、C职等150/月，D、E职等100/月；2、年全勤奖，B、C职等1500/年，C、D职等1000/年；3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,福利-1、月全勤奖，B、C职等150/月，D、E职等100/月；2、年全勤奖，B、C职等1500/年，C、D职等1000/年；3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。.1
职等,,职级,职级,职级,职级,职级,职级,职级,,部门职位,部门职位,部门职位,部门职位,部门职位,部门职位,部门职位,部门职位,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
薪级,标准底薪,项别,1,2,3,4,5,级差,,董事会,总经办,财务部,行政人事部,市场部,营运部,采购部,物流部,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
薪级,标准底薪,项别,1,2,3,4,5,级差,,董事会,总经办,财务部,行政人事部,市场部,营运部,采购部,物流部,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
A,议定,岗位,,,,,,,,执行董事,总经理,,,,,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
A,议定,绩效,,,,,,,,执行董事,总经理,,,,,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
B,2500,岗位,500,1000,1500,2000,2500,500,,秘书,秘书,财务总监/经理,经理,经理,经理,经理,经理,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
B,2500,绩效,1500,1500,1500,1500,1500,500,,秘书,秘书,财务总监/经理,经理,经理,经理,经理,经理,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
C,1700,岗位,0,400,700,1000,1300,300,,,,管理会计/成本会计,,策划,店长,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
C,1700,绩效,0,1000,1000,1000,1000,300,,,,管理会计/成本会计,,策划,店长,,,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
C,1700,岗位,0,200,400,600,800,200,,董事助理,总经理助理,会计/出纳,人事招聘专员,,见习店长,资深采购,司机,,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。,1、月全勤奖，B、C职等150/月，D、E职等100/月；                       2、年全勤奖，B、C职等1500/年，C、D职等1000/年；       3、年终奖，B等1000，C等800，D等500，E等300；入职三个月以上员工享受，未满1年按实际月份数取整x奖金/12；                                                        4、保险，满一年以上工龄员工购买4险，B级职等入职即可办理，保险支出不存不折现。
