楼层-楼层,Unnamed: 1,构件名称-构件名称,工程量名称-地面积(m2),工程量名称-块料地面积(m2),工程量名称-地面周长(m),工程量名称-水平防水面积(m2),工程量名称-立面防水面积(小于最低立面防水高度)(m2)
采光井地面,,采光井地面,23.1094,23.1094,30.24,23.1768,0.0
采光井地面,,*50厚C15细石砼（顶标高—4.4）,23.1094,23.1094,23.1094,23.1094,23.1094
05J1-12地1,,05J1-12地1[管井、储藏间],2.7262,2.7262,9.68,3.0912,0.0
05J1-12地1,,*20厚1:2水泥砂浆抹面压光,2.7262,2.7262,2.7262,2.7262,2.7262
05J1-12地1,,*60厚C15混凝土,2.7262,2.7262,2.7262,2.7262,2.7262
地1,,地1[地下戊类储藏室],876.5965,876.5965,250.62,883.4893,0.0
地1,,*20厚1:2水泥砂浆抹面压光,876.5965,876.5965,876.5965,876.5965,876.5965
地1,,*80厚C15混凝土找平,876.5965,876.5965,876.5965,876.5965,876.5965
05J1-24地69,,05J1-24地69[配电室],267.3581,267.3581,158.16,268.9162,0.0
05J1-24地69,,*20厚1：2.5水泥砂浆压实抹光,267.358,267.358,267.358,267.358,267.358
05J1-24地69,,*80厚C15混凝土,267.358,267.358,267.358,267.358,267.358
05J1-24地69,,*素土回填700厚,187.1506,187.1506,187.1506,187.1506,187.1506
05J1-14地25,,05J1-14地25[楼梯间],73.7677,73.7677,66.6,75.9468,0.0
05J1-14地25,,*20厚花岗岩铺平拍实，素浆勾缝,73.767,73.767,73.767,73.767,73.767
05J1-14地25,,*80厚C15混凝土找平,73.767,73.767,73.767,73.767,73.767
通风井地面,,通风井地面,3.441,3.441,13.31,7.434,3.993
通风井地面,,*30厚细石混凝土地面,3.441,3.441,3.441,3.441,3.441
通风井地面,,*SBS改性沥青防水卷材一道,11.427,11.427,11.427,11.427,11.427
通风井地面,,*钢筋砼底板抗渗等级P6,,,,,
05J1-26楼1,,05J1-26楼1[首层管井间],2.9134,2.9134,10.0,0.0,0.0
05J1-26楼1,,05J1-26楼1[第2层管井间],2.879,2.879,9.9,0.0,0.0
05J1-26楼1,,05J1-26楼1[第3层管井间],2.951,2.951,10.06,0.0,0.0
05J1-26楼1,,05J1-26楼1[第4层管井间],2.951,2.951,10.06,0.0,0.0
05J1-26楼1,,小计,11.6944,,,,
05J1-26楼1,,*20厚1:2水泥砂浆抹面压光,11.694,11.694,11.694,11.694,11.694
楼2,,楼2[首层卫生间],34.5491,34.5491,47.16,48.8344,12.8954
楼2,,楼2[第2层卫生间],34.601,34.601,47.16,48.7845,12.8455
楼2,,楼2[第3层卫生间],34.601,34.601,47.16,48.7845,12.8455
楼2,,楼2[第4层卫生间],34.601,34.601,47.16,48.7845,12.8455
楼2,,小计,138.3521,,,,
楼2,,*8—10厚地砖,138.3521,138.3521,138.3521,138.3521,138.3521
楼2,,*20厚水泥砂浆找平层,138.3521,138.3521,138.3521,138.3521,138.3521
楼2,,*2厚聚氨酯防水层,246.62,246.62,246.62,246.62,246.62
楼2,,*60厚C20细石混凝土找坡,138.3521,138.3521,138.3521,138.3521,138.3521
楼2,,*20厚聚苯板保温，铺锡箔,2.767042,2.767042,2.767042,2.767042,2.767042
楼2,,*2厚聚氨酯防水层,246.62,246.62,246.62,246.62,246.62
楼2,,*20厚水泥砂浆找平层,138.3521,138.3521,138.3521,138.3521,138.3521
O5J1-28楼13,,O5J1-28楼13[首层楼梯间],74.4193,74.4193,66.6,0.0,0.0
O5J1-28楼13,,O5J1-28楼13[第2层楼梯间],50.3138,50.3138,44.3,0.0,0.0
O5J1-28楼13,,O5J1-28楼13[第3层楼梯间],50.3138,50.3138,44.3,0.0,0.0
O5J1-28楼13,,O5J1-28楼13[第4层楼梯间],50.3138,50.3138,44.3,0.0,0.0
O5J1-28楼13,,小计,225.3607,,,,
O5J1-28楼13,,*20厚花岗岩铺平拍实,225.361,225.361,225.361,225.361,225.361
O5J1-30楼21,,O5J1-30楼21[消防控制室],34.9163,34.9163,24.7,0.0,0.0
O5J1-30楼21,,*10厚竹拼地板,34.9163,34.9163,34.9163,34.9163,34.9163
O5J1-30楼21,,*3厚热沥青粘结,34.9163,34.9163,34.9163,34.9163,34.9163
O5J1-30楼21,,*冷底子油一遍,34.9163,34.9163,34.9163,34.9163,34.9163
O5J1-30楼21,,*20厚1:2水泥砂浆找平,34.9163,34.9163,34.9163,34.9163,34.9163
楼1,,楼1[首层营业厅],1071.3142,1071.3142,172.025,0.0,0.0
楼1,,楼1[第3层营业厅],1157.934,1157.934,161.45,0.0,0.0
楼1,,楼1[第4层营业厅],1157.934,1157.934,161.45,0.0,0.0
楼1,,楼1[第5层营业厅],1157.934,1157.934,161.45,0.0,0.0
楼1,,小计,4545.1162,4545.1162,4545.1162,4545.1162,4545.1162
楼1,,*铺地砖地面,4545.116,4545.116,4545.116,4545.116,4545.116
楼1,,*20厚1：2.5水泥砂浆找平,4545.116,4545.116,4545.116,4545.116,4545.116
楼1,,*50厚C15细石砼,4545.116,4545.116,4545.116,4545.116,4545.116
楼1,,*采暖管下10厚保温板20㎏/m³,4545.116,4545.116,4545.116,4545.116,4545.116
