社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-交费单位（个人）全称-税务微机编号：-账号：-当前费款所属日期-新增补缴费款所属日期-缴费项目-缴费项目,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费工资基数（元）-小计,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费工资基数（元）-单位(标准),社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费工资基数（元）-个人(标准),社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费工资基数（元）-在职,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费基数（元）-小计,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费基数（元）,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年2月1日至2013年1月28日-年月日至年月日-申报缴费基数（元）-单位,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-申报缴费基数（元）-个人
一、当期应缴合计,,,,306000,26486.0,,19584.0,6902.0
企业基本养老保险,34,20%,8%,61200,17136.0,,12240.0,4896.0
机关事业养老保险,,,,,,,,
失业保险,34,2%,1%,61200,1836.0,,1224.0,612.0
基本医疗保险,34,7%,2%,61200,5508.0,5678.0,4284.0,1224.0
其中：大额医疗,34,,,,170.0,5678.00 ,,170.0
工伤保险,34,2%,,61200,1224.0,,1224.0,
生育保险,34,1%,,61200,612.0,,612.0,
二、新增补缴,,,,,,,,
企业基本养老保险,,,,,,,,
机关事业养老保险,,,,,,,,
基本医疗保险,,,,,,,,
大额医疗费用补助,,,,,,,,
核定缴费金额（大写）,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整,贰万陆仟肆佰捌拾陆元整
