社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-交费单位（个人）全称-税务微机编号：-账号：-当前费款所属日期-新增补缴费款所属日期-缴费项目-缴费项目,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费工资基数（元）-小计,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费工资基数（元）-单位(标准),社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费工资基数（元）-个人(标准),社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费工资基数（元）-在职,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费基数（元）-小计,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费基数（元）,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-青桥化工-429005685611911-潜江市农行营业部17-300201040009079-2014年5月1日至2013年5月31日-年月日至年月日-申报缴费基数（元）-单位,社会保险费申报核定表-单位类型：私营企业编号:401065流水号：3116253-申报缴费基数（元）-个人
一、当期应缴合计,,,,297000,25707.0,,19008.0,6699.0
企业基本养老保险,33,20%,8%,59400,16632.0,,11880.0,4752.0
机关事业养老保险,,,,,,,,
失业保险,33,2%,1%,59400,1782.0,,1188.0,594.0
基本医疗保险,33,7%,2%,59400,5346.0,5511.0,4158.0,1188.0
其中：大额医疗,33,,,,165.0,5511.00 ,,165.0
工伤保险,33,2%,,59400,1188.0,,1188.0,
生育保险,33,1%,,59400,594.0,,594.0,
二、新增补缴,,,,,,,,
企业基本养老保险,,,,,,,,
机关事业养老保险,,,,,,,,
基本医疗保险,,,,,,,,
大额医疗费用补助,,,,,,,,
核定缴费金额（大写）,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整,贰万伍仟柒佰零柒元整
