5.薄型板安装-工作内容：构件场内运输，就位堆放，安装校正、固定。,5.薄型板安装,5.薄型板安装.1,5.薄型板安装.2,5.薄型板安装.3,5.薄型板安装.4,5.薄型板安装.5,5.薄型板安装.6,5.薄型板安装.7,5.薄型板安装.8,5.薄型板安装-计量单位：10m2,5.薄型板安装.9,5.薄型板安装.10
定 额 编 号,定 额 编 号,定 额 编 号,定 额 编 号,定 额 编 号,补7-29,补7-29,补7-30,补7-30,补7-31,补7-31,补7-32,补7-32
项     目,项     目,项     目,"单

位","单
价
（元）",薄型板厚度50,                                  薄型板厚度50,                                  薄型板厚度50,                                  薄型板厚度50,                                  薄型板厚度50,                                  薄型板厚度50,                                  薄型板厚度50,                                  薄型板厚度50
项     目,项     目,项     目,"单

位","单
价
（元）",包梁,包梁,包柱,包柱,保温墙体,保温墙体,装饰墙体,装饰墙体
项     目,项     目,项     目,"单

位","单
价
（元）",数量,合价,数量,合价,数量,合价,数量,合价
基         价,基         价,基         价,基         价,元,935.3,935.30 ,842.01,842.01,494.13,494.13,603.43,603.43
"其

中",人工费,人工费,人工费,元,91.0,91.00,78.0,78.00,39.0,39.00,46.8,46.80
"其

中",材料费,材料费,材料费,元,839.28,839.28,758.99,758.99,450.2,450.20 ,551.7,551.70 
"其

中",机械费,机械费,机械费,元,5.02,5.02,5.02,5.02,4.93,4.93,4.93,4.93
综合工日,综合工日,综合工日,工日,26.0,3.5,91.0,3.0,78.0,1.5,39.0,1.8,46.8
材                   料,1322,ALC平板S50,m2,40.0,10.15,406.0,10.15,406.0,10.15,406.0,,
"材                   料

",1323,ALC艺术板S50,m2,50.0,,,,,,,10.15,507.5
"材                   料

",6-43,连接铁件,t,5190.28,0.065,337.37,0.053,275.08,,,,
"材                   料

",4150,电焊条,Kg,5.1,0.05,0.26,0.05,0.26,,,,
"材                   料

",4266,膨胀螺栓(φ10),百套,105.0,,,,,0.39,40.95,0.39,40.95
"材                   料

",4301,钻尾螺丝,百只,60.0,1.54,92.4,1.24,74.4,,,,
"材                   料

",4160,合金切割锯片,片,65.0,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25
"材                   料

",,,,,,,,,,,,
"机

械",9930,交流电焊机20kvA,台班,88.0,0.001,0.09,0.001,0.09,,,,
"机

械",9730,电动切割机,台班,16.0,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02
"机

械",10007,塔式起重机械,台班,273.0,0.018,4.91,0.018,4.91,0.018,4.91,0.018,4.91
