4. 楼板、屋面板安装,4. 楼板、屋面板安装.1,4. 楼板、屋面板安装.2,4. 楼板、屋面板安装.3,4. 楼板、屋面板安装.4,4. 楼板、屋面板安装.5,4. 楼板、屋面板安装.6,4. 楼板、屋面板安装.7,4. 楼板、屋面板安装.8,4. 楼板、屋面板安装.9,4. 楼板、屋面板安装.10,4. 楼板、屋面板安装.11,4. 楼板、屋面板安装.12,4. 楼板、屋面板安装.13,4. 楼板、屋面板安装.14,4. 楼板、屋面板安装.15,4. 楼板、屋面板安装.16
工作内容：构件场内运输，就位堆放，安装校正、固定。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,计量单位：10m2,,
定 额 编 号,定 额 编 号,定 额 编 号,定 额 编 号,定 额 编 号,补7-23,补7-23,补7-24,补7-24,补7-25,补7-25,补7-26,补7-26,补7-27,补7-27,补7-28,补7-28
项     目,项     目,项     目,"单

位","单
价
（元）",楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）,                                                                                               楼、屋面板厚度（mm）
项     目,项     目,项     目,"单

位","单
价
（元）",75,75,100,100,125,125,150,150,175,175,200,200
项     目,项     目,项     目,"单

位","单
价
（元）",数量,合价,数量,合价,数量,合价,数量,合价,数量,合价,数量,合价
基         价,基         价,基         价,基         价,元,630.22,630.22,811.76,811.76,993.67,993.67,1175.57,1175.57,1359.16,1359.16,1541.45,1541.45
"其

中",人工费,人工费,人工费,元,15.86,15.86,17.42,17.42,19.24,19.24,21.58,21.58,23.66,23.66,26.78,26.78
"其

中",材料费,材料费,材料费,元,606.73,606.73,784.25,784.25,961.88,961.88,1138.99,1138.99,1318.04,1318.04,1494.75,1494.75
"其

中",机械费,机械费,机械费,元,7.63,7.63,10.09,10.09,12.55,12.55,15.0,15.00,17.46,17.46,19.92,19.92
综合工日,综合工日,综合工日,工日,26.0,0.61,15.86,0.67,17.42,0.74,19.24,0.83,21.58,0.91,23.66,1.03,26.78
"材

料",1316,ALC 楼、屋面板75,m2,52.51,10.15,532.98,,,,,,,,,,
"材

料",1317,ALC楼、屋面板100,m2,70.0,,,10.15,710.5,,,,,,,,
"材

料",1318,ALC楼、屋面板125,m2,87.5,,,,,10.15,888.13,,,,,,
"材

料",1319,ALC楼、屋面板150,m2,104.95,,,,,,,10.15,1065.24,,,,
"材

料",1320,ALC楼、屋面板175,m2,122.59,,,,,,,,,10.15,1244.29,,
"材

料",1321,ALC楼、屋面板200,m2,140.0,,,,,,,,,,,10.15,1421.0
"材

料",6-43,连接铁件,t,5190.28,0.003,15.57,0.003,15.57,0.003,15.57,0.003,15.57,0.003,15.57,0.003,15.57
"材

料",4300,专用安装镀锌件,Kg,8.5,4.16,35.36,4.16,35.36,4.16,35.36,4.16,35.36,4.16,35.36,4.16,35.36
"材

料",3002,钢筋(φ8),t,2300.0,0.007,16.1,0.007,16.1,0.007,16.1,0.007,16.1,0.007,16.1,0.007,16.1
"材

料",8365,水泥砂浆(1:3),m3,171.04,0.02,3.42,0.02,3.42,0.02,3.42,0.02,3.42,0.02,3.42,0.02,3.42
"材

料",4150,电焊条,Kg,5.1,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05
"材

料",4160,合金钢切割锯片,片,65.0,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25
"材

料",,,,,,,,,,,,,,,,
"机

械",9930,交流电焊机20kvA,台班,88.0,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09
"机

械",9730,电动切割机,台班,16.0,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02
"机

械",9602,砂浆拌合机200L,台班,50.0,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15
"机

械",10007,塔式起重机械,台班,273.0,0.027,7.37,0.036,9.83,0.045,12.29,0.054,14.74,0.063,17.2,0.072,19.66
