1.隔墙板安装-工作内容：构件场内运输，就位堆放，安装校正、固定。-定额编号-项目-项目,1.隔墙板安装-定额编号-项目-项目,1.隔墙板安装-定额编号-项目-项目.1,1.隔墙板安装-定额编号-单位-单位,1.隔墙板安装-定额编号-单价（元）-单价（元）,1.隔墙板安装-补7-7-墙板厚度（mm）-75,1.隔墙板安装-补7-7-墙板厚度（mm）-75.1,1.隔墙板安装-补7-8-墙板厚度（mm）-100,1.隔墙板安装-补7-8-墙板厚度（mm）-100.1,1.隔墙板安装-补7-9-墙板厚度（mm）-125,1.隔墙板安装-补7-9-墙板厚度（mm）-125.1,1.隔墙板安装-补7-10-墙板厚度（mm）-150,1.隔墙板安装-补7-10-墙板厚度（mm）-150.1,1.隔墙板安装-补7-11-墙板厚度（mm）-175,1.隔墙板安装-计量单位：10m2-补7-11-墙板厚度（mm）-175,1.隔墙板安装-补7-12-墙板厚度（mm）-200,1.隔墙板安装-补7-12-墙板厚度（mm）-200.1
项     目,项     目,项     目,"单

位","单
价
（元）",数量,合价,数量,合价,数量,合价,数量,合价,数量,合价,数量,合价
基         价,基         价,基         价,基         价,元,600.49,600.49,769.87,769.87,939.87,939.87,1058.6,1058.60 ,1280.11,1280.11,1450.63,1450.63
"其

中",人工费,人工费,人工费,元,19.5,19.50 ,21.58,21.58,24.18,24.18,26.78,26.78,29.64,29.64,32.76,32.76
"其

中",材料费,材料费,材料费,元,570.88,570.88,735.72,735.72,900.66,900.66,1014.34,1014.34,1230.53,1230.53,1395.47,1395.47
"其

中",机械费,机械费,机械费,元,10.11,10.11,12.57,12.57,15.03,15.03,17.48,17.48,19.94,19.94,22.4,22.40 
综合工日,综合工日,综合工日,工日,26.0,0.75,19.5,0.83,21.58,0.93,24.18,1.03,26.78,1.14,29.64,1.26,32.76
"材

料",1300,ALC隔墙板75,m2,48.76,10.15,494.91,,,,,,,,,,
"材

料",1301,ALC隔墙板100,m2,65.0,,,10.15,659.75,,,,,,,,
"材

料",1302,ALC隔墙板125,m2,81.25,,,,,10.15,824.69,,,,,,
"材

料",1303,ALC隔墙板150,m2,92.45,,,,,,,10.15,938.37,,,,
"材

料",1304,ALC隔墙板175,m2,113.75,,,,,,,,,10.15,1154.56,,
"材

料",1305,ALC隔墙板200,m2,130.0,,,,,,,,,,,10.15,1319.5
"材

料",6-43,连接铁件,t,5190.28,0.004,20.76,0.004,20.76,0.004,20.76,0.004,20.76,0.004,20.76,0.004,20.76
"材

料",4300,专用安装镀锌件,Kg,8.5,3.59,30.52,3.59,30.52,3.59,30.52,3.59,30.52,3.59,30.52,3.59,30.52
"材

料",4150,电焊条,Kg,5.1,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05
"材

料",4266,膨胀螺栓(φ10),百套,105.0,0.12,12.6,0.12,12.6,0.12,12.6,0.12,12.6,0.12,12.6,0.12,12.6
"材

料",3002,钢筋(φ8),t,2300.0,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6
"材

料",8363,水泥砂浆(1:2),m3,209.5,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19
"材

料",4160,合金钢切割锯片,片,65.0,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25
"材

料",,,,,,,,,,,,,,,,
"材

料",,,,,,,,,,,,,,,,
"机

械",9514,电动葫芦2t,台班,31.0,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48
"机

械",9930,交流电焊机20kvA,台班,88.0,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09
"机

械",9730,电动切割机,台班,16.0,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02
"机

械",9602,砂浆拌合机200L,台班,50.0,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15
"机

械",10007,塔式起重机械,台班,273.0,0.027,7.37,0.036,9.83,0.045,12.29,0.054,14.74,0.063,17.2,0.072,19.66
