工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-定额编号-项目,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-定额编号-项目.1,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-定额编号-项目.2,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-定额编号-单位,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-定额编号-单价（元）,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-1-Ⅱ类预制混凝土构件运距（km以内）,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-1-Ⅱ类预制混凝土构件运距（km以内）.1,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-2-Ⅱ类预制混凝土构件运距（km以内）,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-2-Ⅱ类预制混凝土构件运距（km以内）.1,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-3-Ⅱ类预制混凝土构件运距（km以内）,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-3-Ⅱ类预制混凝土构件运距（km以内）.1,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-4-Ⅱ类预制混凝土构件运距（km以内）,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-4-Ⅱ类预制混凝土构件运距（km以内）.1,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-5-Ⅱ类预制混凝土构件运距（km以内）,工作内容：设置一般支架(垫方木)、装车绑扎、运输、按规定地点堆放、支垫稳固。-补7-5-Ⅱ类预制混凝土构件运距（km以内）.1,计量单位：m3-补7-6-Ⅱ类预制混凝土构件运距（km以内）,计量单位：m3-补7-6-Ⅱ类预制混凝土构件运距（km以内）.1
项         目,项         目,项         目,"单

位","单
价
（元）",1,1,5,5,10,10,15,15,20,20,超过20km      每增加1km,超过20km      每增加1km
项         目,项         目,项         目,"单

位","单
价
（元）",数量,合价,数量,合价,数量,合价,数量,合价,数量,合价,数量,合价
基价,基价,基价,基价,元,18.17,18.17,27.04,27.04,33.97,33.97,45.07,45.07,47.15,47.15,1.44,1.44
"其

中",人 工 费,人 工 费,人 工 费,元,1.56,1.56,2.08,2.08,3.12,3.12,4.16,4.16,4.16,4.16,0.16,0.16
"其

中",材 料 费,材 料 费,材 料 费,元,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,,
"其

中",机 械 费,机 械 费,机 械 费,元,14.98,14.98,23.33,23.33,29.22,29.22,39.28,39.28,41.36,41.36,1.28,1.28
装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车,装                      车
综合工日,综合工日,综合工日,工日,26.0,0.03,0.78,0.04,1.04,0.06,1.56,0.08,2.08,0.08,2.08,0.003,0.08
机械,10002,装卸机械,台班,472.0,0.007,3.3,0.011,5.19,0.014,6.61,0.019,8.97,0.02,9.44,0.0006,0.28
运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输,运                   输
"材
 
料",2001,二等板方材,m3,1349.0,0.0003,0.4,0.0003,0.4,0.0003,0.4,0.0003,0.4,0.0003,0.4,,
"材
 
料",4152,钢丝绳,kg,9.5,0.03,0.29,0.03,0.29,0.03,0.29,0.03,0.29,0.03,0.29,,
"材
 
料",,,,,,,,,,,,,,,,
机械,10005,运输机械,台班,381.0,0.022,8.38,0.034,12.95,0.042,16.0,0.056,21.34,0.059,22.48,0.0019,0.72
卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车,卸                 车
综合工日,综合工日,综合工日,工日,26.0,0.03,0.78,0.04,1.04,0.06,1.56,0.08,2.08,0.08,2.08,0.003,0.08
材料,2001,二等板方材,m3,1349.0,0.0007,0.94,0.0007,0.94,0.0007,0.94,0.0007,0.94,0.0007,0.94,,
机械,10002,装卸机械,台班,472.0,0.007,3.3,0.011,5.19,0.014,6.61,0.019,8.97,0.02,9.44,0.0006,0.28
