3.外墙艺术板安装-工作内容：构件场内运输，就位堆放，安装校正、固定。-定额编号-项目-项目-项目,3.外墙艺术板安装-定额编号-项目-项目-项目,3.外墙艺术板安装-定额编号-项目-项目-项目.1,3.外墙艺术板安装-定额编号-单位-单位-单位,3.外墙艺术板安装-定额编号-单价（元）-单价（元）-单价（元）,3.外墙艺术板安装-补7-18-外墙艺术板厚度（mm）-100-数量,3.外墙艺术板安装-补7-18-外墙艺术板厚度（mm）-100-合价,3.外墙艺术板安装-补7-19-外墙艺术板厚度（mm）-125-数量,3.外墙艺术板安装-补7-19-外墙艺术板厚度（mm）-125-合价,3.外墙艺术板安装-补7-20-外墙艺术板厚度（mm）-150-数量,3.外墙艺术板安装-补7-20-外墙艺术板厚度（mm）-150-合价,3.外墙艺术板安装-补7-21-外墙艺术板厚度（mm）-175-数量,3.外墙艺术板安装-计量单位：10m2-补7-21-外墙艺术板厚度（mm）-175-合价,3.外墙艺术板安装-补7-22-外墙艺术板厚度（mm）-200-数量,3.外墙艺术板安装-补7-22-外墙艺术板厚度（mm）-200-合价
基         价,基         价,基         价,基         价,元,1036.68,1036.68,1241.56,1241.56,1446.52,1446.52,1651.4,1651.4,1856.37,1856.37
"其

中",人工费,人工费,人工费,元,39.0,39.0,44.2,44.2,49.4,49.4,54.6,54.6,59.8,59.8
"其

中",材料费,材料费,材料费,元,985.11,985.11,1182.33,1182.33,1379.64,1379.64,1576.86,1576.86,1774.17,1774.17
"其

中",机械费,机械费,机械费,元,12.57,12.57,15.03,15.03,17.48,17.48,19.94,19.94,22.4,22.4
综合工日,综合工日,综合工日,工日,26.0,1.5,39.0,1.7,44.2,1.9,49.4,2.1,54.6,2.3,59.8
"材

料",1311,ALC外墙艺术板100,m2,77.75,10.15,789.16,,,,,,,,
"材

料",1312,ALC外墙艺术板125,m2,97.18,,,10.15,986.38,,,,,,
"材

料",1313,ALC外墙艺术板150,m2,116.62,,,,,10.15,1183.69,,,,
"材

料",1314,ALC外墙艺术板175,m2,136.05,,,,,,,10.15,1380.91,,
"材

料",1315,ALC外墙艺术板200,m2,155.49,,,,,,,,,10.15,1578.22
"材

料",6-43,连接铁件,t,5190.28,0.02,103.81,0.02,103.81,0.02,103.81,0.02,103.81,0.02,103.81
"材

料",4300,专用安装镀锌件,Kg,8.5,9.3,79.05,9.3,79.05,9.3,79.05,9.3,79.05,9.3,79.05
"材

料",3002,钢筋(φ8),t,2300.0,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6
"材

料",8363,水泥砂浆(1:2),m3,209.5,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19
"材

料",4150,电焊条,Kg,5.1,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05
"材

料",4160,合金钢切割锯片,片,65.0,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25
"材

料",3041,金属钻头,个,10.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0
"材

料",,,,,,,,,,,,,,
"机

械",9514,电动葫芦2t,台班,31.0,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48
"机

械",9930,交流电焊机20kvA,台班,88.0,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09
"机

械",9730,电动切割机,台班,16.0,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02
"机

械",9602,砂浆拌合机200L,台班,50.0,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15
"机

械",10007,塔式起重机械,台班,273.0,0.036,9.83,0.045,12.29,0.054,14.74,0.063,17.2,0.072,19.66
