物品领用登记表-Registrationformofpossessionofarticles-序号,物品领用登记表-Registrationformofpossessionofarticles-日期,物品领用登记表-Registrationformofpossessionofarticles-物品编码,物品领用登记表-Registrationformofpossessionofarticles-领用物品,物品领用登记表-Registrationformofpossessionofarticles-单位,物品领用登记表-Registrationformofpossessionofarticles-领用数量,购入数量,220.0-部门1-剩余数量,230.0-部门2-单价,300.0-部门3-金额,290.0-部门4-领用部门,150.0-部门5-领用人,120.0-部门6-用途说明
1,2021/2/5,10101,物品1,个,5,30,10,12.0,120.0,部门1,稻壳1,xxxxxx
2,2021/2/5,10102,物品2,个,4,30,10,15.0,150.0,部门2,稻壳2,xxxxxx
3,2021/2/5,10103,物品3,个,3,30,10,22.0,220.0,部门3,稻壳3,xxxxxx
4,2021/2/5,10104,物品4,个,2,30,10,20.0,200.0,部门4,稻壳4,xxxxxx
5,2021/2/5,10105,物品5,个,5,30,10,15.0,150.0,部门5,稻壳5,xxxxxx
6,2021/2/5,10106,物品6,个,5,30,10,12.0,120.0,部门6,稻壳6,xxxxxx
7,2021/2/5,10107,物品7,个,4,30,10,10.0,100.0,部门1,稻壳7,xxxxxx
8,2021/2/5,10108,物品8,个,3,30,10,8.0,80.0,部门2,稻壳8,xxxxxx
9,2021/2/5,10109,物品9,个,2,30,10,8.0,80.0,部门3,稻壳9,xxxxxx
10,2021/2/5,10110,物品10,个,5,30,10,9.0,90.0,部门4,稻壳10,xxxxxx
