运营数据分析报表,运营数据分析报表.1,运营数据分析报表.2,运营数据分析报表.3,运营数据分析报表.4,运营数据分析报表.5,运营数据分析报表.6,运营数据分析报表.7,运营数据分析报表.8,运营数据分析报表.9
,,,,,,,,,
,,,,,,,,,
2022年,7月,"日销售
合计","日销售
比例",天猫,天猫,天猫,京东,京东,京东
2022年,7月,"日销售
合计","日销售
比例",销售额,店铺日销售比例,日总销售占比,销售额,店铺日销售比例,日总销售占比
7月1日,星期五,85891,7.08%,30651,6.26%,35.69%,55240,7.65%,64.31%
7月2日,星期六,85284,7.03%,29028,5.93%,34.04%,56256,7.79%,65.96%
7月3日,星期日,28681,2.37%,15681,3.20%,54.67%,13000,1.80%,45.33%
7月4日,星期一,50158,4.14%,14686,3.00%,29.28%,35472,4.91%,70.72%
7月5日,星期二,38901,3.21%,22951,4.69%,59.00%,15950,2.21%,41.00%
7月6日,星期三,32896,2.71%,19471,3.97%,59.19%,13425,1.86%,40.81%
7月7日,星期四,106363,8.77%,61743,12.60%,58.05%,44620,6.18%,41.95%
7月8日,星期五,52969,4.37%,5689,1.16%,10.74%,47280,6.54%,89.26%
7月9日,星期六,85891,7.08%,30651,6.26%,35.69%,55240,7.65%,64.31%
7月10日,星期日,85284,7.03%,29028,5.93%,34.04%,56256,7.79%,65.96%
7月11日,星期一,28681,2.37%,15681,3.20%,54.67%,13000,1.80%,45.33%
7月12日,星期二,50158,4.14%,14686,3.00%,29.28%,35472,4.91%,70.72%
7月13日,星期三,38901,3.21%,22951,4.69%,59.00%,15950,2.21%,41.00%
7月14日,星期四,32896,2.71%,19471,3.97%,59.19%,13425,1.86%,40.81%
7月15日,星期五,106363,8.77%,61743,12.60%,58.05%,44620,6.18%,41.95%
7月16日,星期六,52969,4.37%,5689,1.16%,10.74%,47280,6.54%,89.26%
7月17日,星期日,85891,7.08%,30651,6.26%,35.69%,55240,7.65%,64.31%
7月18日,星期一,85284,7.03%,29028,5.93%,34.04%,56256,7.79%,65.96%
7月19日,星期二,28681,2.37%,15681,3.20%,54.67%,13000,1.80%,45.33%
7月20日,星期三,50158,4.14%,14686,3.00%,29.28%,35472,4.91%,70.72%
