序号,项目编码,项目名称,项目特征描述,计量单位,工程量
1,10100000000.0,平整场地,1.土壤类别:三类土,m2,635.04
2,10100000000.0,挖基础土方,"1.土壤类别:三类土
2.基础类型:独立
3.挖土深度:-2.05m",m3,575.87
3,10100000000.0,土(石)方回填,"1.土质要求:密实状态
2.密实度要求:0.95",m3,1158.99
4,10300000000.0,空心砖墙、砌块墙,"1.墙体厚度:200mm
2.砂浆强度等级、配合比:混合M5.0",m3,397.68
5,10300000000.0,空心砖墙、砌块墙,"1.墙体厚度:100mm
2.砂浆强度等级、配合比:混合M5.0",m3,7.13
6,10400000000.0,独立基础,"1.混凝土强度等级:C30
2.混凝土拌和料要求:商品混凝土",m3,149.37
7,10400000000.0,垫层,"1.垫层材料种类、厚度:厚度100mm
2.混凝土强度等级:C15
3.混凝土拌合料要求:商品混凝土",m3,46.44
8,10400000000.0,矩形柱,"1.柱截面尺寸:周长1.8m外
2.混凝土强度等级:C30
3.混凝土拌和料要求:商品混凝土",m3,122.96
9,10400000000.0,矩形柱,"1.柱截面尺寸:周长1.2m内
2.混凝土强度等级:c30
3.混凝土拌和料要求:商品混凝土",m3,5.18
10,10400000000.0,构造柱,"1.柱高度:层高
2.混凝土强度等级:C25
3.混凝土拌合料要求:商品混凝土",m3,12.32
11,10400000000.0,基础梁,"1.混凝土强度等级:c30
2.混凝土拌和料要求:商品混凝土",m3,58.4
12,10400000000.0,圈梁,"1.位置:填充墙底部C15砼带，高180mm
2.混凝土强度等级:c15
3.混凝土拌和料要求:商品混凝土",m3,18.9
13,10400000000.0,圈梁,"1.位置:卫生间上翻高200mm
2.混凝土强度等级:c25
3.混凝土拌和料要求:商品混凝土",m3,3.09
14,10400000000.0,过梁,"1.梁底标高:门窗洞顶标高
2.混凝土强度等级:C25
3.混凝土拌和料要求:商品混泥土",m3,2.98
15,10400000000.0,有梁板,"1.板厚度:100mm以上
2.混凝土强度等级:c30
3.混凝土拌和料要求:商品混泥土",m3,136.62
