哈尔滨聚能燃烧控制工程有限责任公司-工程名称：天山铝业工程2×350MW机组-令号：,哈尔滨聚能燃烧控制工程有限责任公司-工程名称：天山铝业工程2×350MW机组-令号：.1,哈尔滨聚能燃烧控制工程有限责任公司-工程名称：天山铝业工程2×350MW机组-部件名称：1#炉点火设备,哈尔滨聚能燃烧控制工程有限责任公司-工程名称：天山铝业工程2×350MW机组-部件名称：1#炉点火设备.1,发货明细表-工程名称：天山铝业工程2×350MW机组-部件名称：1#炉点火设备,发货明细表-工程名称：天山铝业工程2×350MW机组-部件名称：1#炉点火设备.1,编号：F25.TS-工程名称：天山铝业工程2×350MW机组-部件号：GFA,编号：F25.TS-工程名称：天山铝业工程2×350MW机组-部件号：GFA.1,版本号：A-工程名称：天山铝业工程2×350MW机组-部件号：GFA,版本号：A-工程名称：天山铝业工程2×350MW机组-零件清单号：,共1页-工程名称：天山铝业工程2×350MW机组-零件清单号：,第1页-工程名称：天山铝业工程2×350MW机组-零件清单号：
序号,出厂编号,标记,名称,数量,包扎方式,发货件号,净重,毛重,包装图号,外形尺寸,备注
1,,,摆动式燃烧器左右各半          （配推进器安装紧固件、配石棉垫）,12,铁笼,GFA-1,1040,1340,J01BZ-00.JKD,2440×1340×1350,
2,,,组合式气动推进器,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
3,,,点火器(配点火电缆),12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
4,,,点火枪(摆动式）L=3200,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
5,,,机械雾化油枪(摆动式）L=2900,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
6,,,供油金属软管,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
7,,,配管接头M27X1.5,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
8,,,雾化片2075 ㎏/H(备件）,10,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
9,,,雾化片1200 ㎏/H(备件）,8,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
10,,,分油盘(备件）,16,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
11,,,垫圈(备件）,38,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
12,,,螺帽(备件）,18,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
13,,,组合式推进器行程开关（备件）,2,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
,,,,,,,,,,,
,编制:,,审核:,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
哈尔滨聚能燃烧控制工程有限责任公司,哈尔滨聚能燃烧控制工程有限责任公司,哈尔滨聚能燃烧控制工程有限责任公司,哈尔滨聚能燃烧控制工程有限责任公司,发货明细表,发货明细表,编号：F25.TS,编号：F25.TS,版本号：A,版本号：A,共1页,第1页
工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组,工程名称：天山铝业工程2×350MW机组
令号：,令号：,部件名称：2#炉点火设备,部件名称：2#炉点火设备,部件名称：2#炉点火设备,部件名称：2#炉点火设备,部件号：GFA,部件号：GFA,部件号：GFA,零件清单号：,零件清单号：,零件清单号：
序号,出厂编号,标记,名称,数量,包扎方式,发货件号,净重,毛重,包装图号,外形尺寸,备注
1,,,摆动式燃烧器左右各半          （配推进器安装紧固件、配石棉垫）,12,铁笼,GFA-1,1040,1340,J01BZ-00.JKD,2440×1340×1350,
2,,,组合式气动推进器,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
3,,,点火器(配点火电缆),12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
4,,,点火枪(摆动式）L=3200,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
5,,,机械雾化油枪(摆动式）L=2900,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
6,,,供油金属软管,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
7,,,配管接头M27X1.5,12,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
8,,,雾化片2075 ㎏/H(备件）,10,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
9,,,雾化片1200 ㎏/H(备件）,8,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
10,,,分油盘(备件）,16,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
11,,,垫圈(备件）,38,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
12,,,螺帽(备件）,18,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
13,,,组合式推进器行程开关（备件）,2,,,,,,,推进器及点火器放底部。备件雾化片及分油盘用油纸包好放小纸盒，与推进器紧固件及石棉垫放大纸箱。金属软管及油枪点火枪用彩条布缠好放包装箱体最上边.
,,,,,,,,,,,
,编制:,,审核:,,,,,,,,
