普通家装预算模板-预算,普通家装预算模板-实际合计,普通家装预算模板-编号,普通家装预算模板-预算分类,普通家装预算模板-装修步骤（数字代表顺序）,普通家装预算模板-单价（元）,普通家装预算模板-折扣,普通家装预算模板-折后价(元),普通家装预算模板-数量,普通家装预算模板-单位,普通家装预算模板-小计(元)
预算,实际合计,编号,预算分类,装修步骤（数字代表顺序）,"单价
（元）",折扣,"折后价
(元)",数量,单位,"小计
(元)"
"￥10,000","￥10,600",1,基础装修人工,"1办理开工手续（煤气改造）
2自行测量 3前期设计 4主体拆改",,,,,,
,,"主
体
拆
改",装修设计,前期设计,100,1,100,100,项,10000
,,"主
体
拆
改",阳台封闭,,100,1,100,1,项,100
,,"主
体
拆
改",瓦工,砌墙（厅、阳台）、铺砖、理石、卫生间防水,100,1,100,1,项,100
,,"主
体
拆
改",木工,阳台壁柜,100,1,100,1,项,100
,,"主
体
拆
改",油工,阳台壁柜,100,1,100,1,项,100
,,"主
体
拆
改",水电,水电改造,100,1,100,1,项,100
,,"主
体
拆
改",大白,,100,1,100,1,项,100
,,"主
体
拆
改",煤气改造,,,1,0,1,项,0
,,"主
体
拆
改",小计,,,,,,,10600
"￥5,000","￥4,050",2,木门推拉门,5厂家上门测量,品牌：×××门,品牌：×××门,品牌：×××门,品牌：×××门,品牌：×××门,品牌：×××门
,,"木
门
厂
家
测
量",木门,卧室3个门（送门套、合页、锁）,100,0.9,90,3,镗,270
,,"木
门
厂
家
测
量",玻璃门,卫生间2个门,100,0.9,90,2,镗,180
,,"木
门
厂
家
测
量",门套,与推拉门结合、入户门套,100,0.9,90,10,延米,900
,,"木
门
厂
家
测
量",窗套,窗套（不含卫浴）,100,1,100,8,延米,800
,,"木
门
厂
家
测
量",推拉门,,100,1,100,1,延米,100
,,"木
门
厂
家
测
量",窗台,人造理石台面,100,1,100,18,延米,1800
,,"木
门
厂
家
测
量",小计,,,,,,,4050
"￥8,000","￥9,270",3,厨柜,6橱柜第一次测量,品牌：×××橱柜,品牌：×××橱柜,品牌：×××橱柜,品牌：×××橱柜,品牌：×××橱柜,品牌：×××橱柜
,,,橱柜,,1000,0.9,900,10,延米,9000
,,,水槽,,100,0.9,90,1,个,90
,,,水龙头,,100,0.9,90,1,个,90
,,,厨宝,,100,0.9,90,1,台,90
,,,小计,,,,,,,9270
"￥2,000","￥1,100",4,隐蔽工程,7水电改造、8卫生间防水,,,,,,
,,,水电改造,砌墙（厅、阳台）、铺砖、理石,100,1,100,10,,1000
,,,卫生间防水,,100,1,100,1,,100
,,,小计,,,,,,,1100
"￥1,000",￥696,5,水电材料,9主料进场,品牌：×××开关,品牌：×××开关,品牌：×××开关,品牌：×××开关,品牌：×××开关,品牌：×××开关
,,,开关,"南卧2 北卧1 东卧1 客厅2 走廊1
餐厅1 厨房1 主卫2 客卫2 阳台2 
八角1",12,1,12,16,,192
,,,插座,"南卧6 北卧4 东卧4 客厅7 走廊1
餐厅2 厨房8 主卫3 客卫4
阳台2 八角1",12,1,12,42,,504
,,,线管,,,1,0,1,,0
,,,电料,,,1,0,1,,0
,,,管材管件,,,1,0,1,,0
,,,家庭智能系统,煤气报警,,1,0,1,,0
,,,小计,,,,,,,696
"￥2,000","￥1,700",6,基础建材,10木工窗套、垭口、油工刷漆,,,,,,
,,,沙子水泥,,100,1,100,1,,100
,,,砖,,100,1,100,1,,100
,,,板材,阳台壁柜,100,1,100,1,,100
,,,线条,木线条、石膏线条,100,1,100,10,,1000
,,,其他木材,阳台壁柜-木方,100,1,100,1,,100
,,,地漏,防臭地漏-卫生间2、厨房1,100,1,100,3,,300
,,,小计,,,,,,,1700
"￥4,000","￥3,960",7,瓷砖,11贴砖、过门石、安装窗台、地漏,品牌：×××瓷砖,品牌：×××瓷砖,品牌：×××瓷砖,品牌：×××瓷砖,品牌：×××瓷砖,品牌：×××瓷砖
,,,厨房墙砖,7.63×2.5=19.05M2,50,0.97,48.5,19.05,,923.93
,,,厨房地砖,2.2*3=6.6M2  (300*300),50,0.97,48.5,6.6,,320.1
,,,卫浴墙砖,主卫20+客卫24=48M2   (250*350),50,0.97,48.5,48,,2328
,,,卫浴地砖,主卫3.64+客卫4.11=8M2,50,0.97,48.5,8,,388
,,,阳台墙砖,1.4*3=4M2,50,0.97,48.5,4,,194
,,,阳台地砖,1.2*7.2=8.64M2,50,0.97,48.5,8.64,,419.04
,,,小计,,,,,,,3960
"￥5,000","￥5,000",8,油烟机,12安装油烟机 13橱柜2次测量,品牌：×××厨电,品牌：×××厨电,品牌：×××厨电,品牌：×××厨电,品牌：×××厨电,品牌：×××厨电
,,,排油烟机,,3000,1,3000,1,,3000
,,,炉灶,,2000,1,2000,1,,2000
,,,小计,,,,,,,5000
"￥2,000","￥1,500",9,涂料,14刷墙面漆,,,,,,
,,,乳胶漆底漆,,100,1,100,2,,200
,,,乳胶漆面漆,,100,1,100,8,,800
,,,调色漆,,100,1,100,1,,100
,,,木器漆,,100,1,100,1,,100
,,,胶粘剂,,100,1,100,1,,100
,,,油漆附件,,100,1,100,1,,100
,,,油漆工具,,100,1,100,1,,100
,,,小计,,,,,,,1500
"￥4,000","￥2,082",10,吊顶,15厨卫吊顶、16通煤气,品牌：×××吊顶,品牌：×××吊顶,品牌：×××吊顶,品牌：×××吊顶,品牌：×××吊顶,品牌：×××吊顶
,,,PVC吊顶,厨房、两卫,100,1,100,15,,1500
,,,灯具,,100,0.97,97,3,,291
,,,换气扇,,100,0.97,97,1,,97
,,,灯暖,,100,0.97,97,2,,194
,,,小计,,,,,,,2082
"￥14,000","￥15,854",11,地板（95M2）,安装17橱柜、18木门、19地板,品牌：×××地板,品牌：×××地板,品牌：×××地板,品牌：×××地板,品牌：×××地板,品牌：×××地板
,,,客厅地板,,100,1,100,42.61,,4261
,,,主卧地板,,100,1,100,28.63,,2863
,,,书房地板,,100,1,100,10.26,,1026
,,,次卧地板,,100,1,100,14.04,,1404
,,,地板附件,踢脚线,100,1,100,63,,6300
,,,小计,,,,,,,15854
"￥1,500","￥1,400",12,灯具,安装20开关插座、21灯具,,,,,,
,,,吸顶灯,卧室3,100,1,100,3,,300
,,,吸顶灯,阳台2 八角1,100,1,100,3,,300
,,,吊灯,客厅1,100,1,100,1,,100
,,,地灯,客厅1,100,1,100,1,,100
,,,餐厅灯,餐厅1（兼门厅）,100,1,100,1,,100
,,,过道灯,走廊2,100,1,100,2,,200
,,,台灯,台灯3,100,1,100,3,,300
,,,小计,（卫生间灯具和吊顶一起算）,,,,,,1400
￥800,￥900,13,五金,22五金,,,,,,
,,,常规固定件,,100,1,100,1,,100
,,,家用五金,刀具,100,1,100,1,,100
,,,门相关五金,（锁）,100,1,100,5,,500
,,,锁,（安全门锁、装修完换）,100,1,100,1,,100
,,,安全用品,,100,1,100,1,,100
,,,小计,,,,,,,900
"￥1,800","￥1,600",14,卫浴,23卫浴洁具,品牌：×××卫浴,品牌：×××卫浴,品牌：×××卫浴,品牌：×××卫浴,品牌：×××卫浴,品牌：×××卫浴
,,,淋浴花洒,,100,1,100,1,,100
,,"陶
瓷",坐便,,100,1,100,2,,200
,,"陶
瓷",浴盆,1500×750,100,1,100,1,,100
,,"陶
瓷",柱盆,,100,1,100,1,,100
,,,龙头,,100,1,100,1,,100
