出入库库存管理表-日期-日期,出入库库存管理表-产品信息-产品名称,出入库库存管理表-产品信息-规格,出入库库存管理表-产品信息-型号,出入库库存管理表-入库信息-单价,出入库库存管理表-入库信息-数量,出入库库存管理表-入库信息-金额,出入库库存管理表-出库信息-单价,出入库库存管理表-出库信息-数量,出入库库存管理表-出库信息-金额,出入库库存管理表-本日库存-数量,出入库库存管理表-本日库存-金额,Unnamed: 12,出入库库存统计-库存统计信息-产品名称,出入库库存统计-库存统计信息-入库数量,出入库库存统计-库存统计信息-出库数量,出入库库存统计-库存统计信息-库存数量,出入库库存统计,出入库库存统计.1,出入库库存统计.2,出入库库存统计.3,出入库库存统计.4,出入库库存统计.5,出入库库存统计.6,出入库库存统计.7
2021-12-30,产品名称1,规格1,型号1,"¥4,528.00",2,¥0.00,"¥1,824.00",25,"¥45,600.00",-23,"¥-45,600.00",,产品名称1,3,47,-44,,,,,,,,
2022-01-01,产品名称2,规格2,型号2,"¥1,306.00",3,¥0.00,"¥2,449.00",19,"¥46,531.00",-16,"¥-46,531.00",,产品名称2,30,56,-26,,,,,,,,
2021-12-31,产品名称3,规格3,型号3,"¥3,926.00",3,¥0.00,¥778.00,5,"¥3,890.00",-2,"¥-3,890.00",,产品名称3,48,34,14,,,,,,,,
2022-01-03,产品名称4,规格4,型号4,"¥1,894.00",2,¥0.00,"¥2,372.00",39,"¥92,508.00",-37,"¥-92,508.00",,产品名称4,81,90,-9,,,,,,,,
2022-01-02,产品名称1,规格5,型号5,"¥1,448.00",1,"¥1,448.00","¥1,286.00",22,"¥28,292.00",-21,"¥-26,844.00",,,0,0,0,,,,,,,,
2022-01-02,产品名称2,规格6,型号6,"¥4,596.00",27,"¥124,092.00","¥3,143.00",37,"¥116,291.00",-10,"¥7,801.00",,,0,0,0,,,,,,,,
2022-01-05,产品名称3,规格7,型号7,"¥3,158.00",45,"¥142,110.00","¥2,710.00",29,"¥78,590.00",16,"¥63,520.00",,,0,0,0,,,,,,,,
2022-01-04,产品名称4,规格8,型号8,"¥3,138.00",21,"¥65,898.00",¥781.00,41,"¥32,021.00",-20,"¥33,877.00",,,0,0,0,,,,,,,,
2022-01-07,产品名称4,规格9,型号9,"¥2,142.00",33,"¥70,686.00","¥4,692.00",0,¥0.00,33,"¥70,686.00",,,0,0,0,,,,,,,,
2022-01-08,产品名称4,规格10,型号10,¥489.00,25,"¥12,225.00","¥3,272.00",10,"¥32,720.00",15,"¥-20,495.00",,,0,0,0,,,,,,,,
