序号,通用名,规格,基本单位,生产厂商,产地,批号,行小计:库存数量,行小计:库存金额,180－360天:库存数量,180－360天:库存金额,0－30天:库存数量,0－30天:库存金额,30－60天:库存数量,30－60天:库存金额,90－180天:库存数量,90－180天:库存金额,360天以上:库存数量,360天以上:库存金额,60－90天:库存数量,60－90天:库存金额
1,艾叶,选,千克,山西元和堂中药有限公司,河北,180101,39.0,624.0,39.0,624.0,,,,,,,,,,
5,白芍,统,千克,山西元和堂中药有限公司,安徽,180102|03,1.0,38.4,1.0,38.4,,,,,,,,,,
7,白芍,统,千克,山西元和堂中药有限公司,安徽,180102,680.0,26112.0,680.0,26112.0,,,,,,,,,,
22,炒桃仁,统,千克,山西元和堂中药有限公司,山西,201704003,71.0,8292.8,71.0,8292.8,,,,,,,,,,
23,炒王不留行,选,千克,山西元和堂中药有限公司,河北,170803,52.0,748.8,52.0,748.8,,,,,,,,,,
37,地榆,选,千克,山西元和堂中药有限公司,山西,170801,102.0,2692.8,102.0,2692.8,,,,,,,,,,
47,粉葛,选,千克,山西元和堂中药有限公司,广西,171001,2.0,52.8,2.0,52.8,,,,,,,,,,
48,麸炒薏苡仁,统,千克,山西元和堂中药有限公司,贵州,201706005,31.0,620.0,31.0,620.0,,,,,,,,,,
50,麸炒枳壳,选,千克,山西元和堂中药有限公司,江西,170901,56.0,4704.0,56.0,4704.0,,,,,,,,,,
59,枸杞子,选,千克,山西元和堂中药有限公司,宁夏,201704002,119.0,7616.0,119.0,7616.0,,,,,,,,,,
74,桔梗,统,千克,山西元和堂中药有限公司,安徽,170701,212.0,17388.2,62.0,4563.2,150.0,12825.0,,,,,,,,
75,桔梗,统,千克,山西元和堂中药有限公司,安徽,201706002,1.0,73.6,1.0,73.6,,,,,,,,,,
83,罗汉果,大,个,山西元和堂中药有限公司,广西,170701,10048.0,20096.0,10048.0,20096.0,,,,,,,,,,
90,女贞子,统,千克,山西元和堂中药有限公司,浙江,171001,100.0,800.0,100.0,800.0,,,,,,,,,,
91,胖大海,统,千克,山西元和堂中药有限公司,广东,201705002,39.0,8098.692,39.0,8098.692,,,,,,,,,,
92,芡实,选,千克,山西元和堂中药有限公司,广东,171001,110.0,11000.0,110.0,11000.0,,,,,,,,,,
97,三七粉,3g*20袋,盒,山西元和堂中药有限公司,云南,201703005,366.0,13176.0,366.0,13176.0,,,,,,,,,,
100,沙苑子,选,千克,山西元和堂中药有限公司,陕西,171201,80.0,3712.0,80.0,3712.0,,,,,,,,,,
101,山药,选,千克,山西元和堂中药有限公司,河南,170801,152.0,6688.0,152.0,6688.0,,,,,,,,,,
102,山药,统,千克,山西元和堂中药有限公司,河南,180101,433.0,14548.8,433.0,14548.8,,,,,,,,,,
104,山楂,统,千克,山西元和堂中药有限公司,山西,171001,932.0,14912.0,932.0,14912.0,,,,,,,,,,
113,盐补骨脂,选,千克,山西元和堂中药有限公司,云南,170802,72.0,1382.4,72.0,1382.4,,,,,,,,,,
114,盐补骨脂,选,千克,山西元和堂中药有限公司,云南,170803,34.0,652.8,34.0,652.8,,,,,,,,,,
115,盐补骨脂,选,千克,山西元和堂中药有限公司,云南,170801,82.0,1574.4,82.0,1574.4,,,,,,,,,,
123,泽泻,选,千克,山西元和堂中药有限公司,福建,171001,50.0,1800.0,50.0,1800.0,,,,,,,,,,
128,制白附子,选,千克,山西元和堂中药有限公司,河南,180103,38.0,2584.0,38.0,2584.0,,,,,,,,,,
129,制白附子,选,千克,山西元和堂中药有限公司,河南,180102,21.0,1428.0,21.0,1428.0,,,,,,,,,,
131,紫苏子,选,千克,山西元和堂中药有限公司,河北,170801,1.0,19.2,1.0,19.2,,,,,,,,,,
137,灵芝,选,千克,山西元和堂中药有限公司,贵州,170801,34.0,2611.2,34.0,2611.2,,,,,,,,,,
141,黄柏,统,千克,山西元和堂中药有限公司,四川,170702,340.5,15351.75,315.0,13860.0,,,25.5,1491.75,,,,,,
153,炒莱菔子,选,千克,山西元和堂中药有限公司,河北,171001,248.0,5555.2,248.0,5555.2,,,,,,,,,,
155,炒莱菔子,选,千克,山西元和堂中药有限公司,河北,170901,1.0,22.4,1.0,22.4,,,,,,,,,,
169,桃仁,选,千克,山西元和堂中药有限公司,山西,170901,174.0,19488.0,174.0,19488.0,,,,,,,,,,
174,醋乳香,选,千克,山西元和堂中药有限公司,海南,171002,47.0,5264.0,47.0,5264.0,,,,,,,,,,
180,郁李仁,选,千克,山西元和堂中药有限公司,内蒙,170801,1.0,96.0,1.0,96.0,,,,,,,,,,
182,三七粉,选,千克,山西元和堂中药有限公司,云南,180101,94.0,56400.0,94.0,56400.0,,,,,,,,,,
183,三七粉,选,千克,山西元和堂中药有限公司,云南,171001,0.5,300.0,0.5,300.0,,,,,,,,,,
186,炒谷芽,选,千克,山西元和堂中药有限公司,山西,171203,61.0,878.4,61.0,878.4,,,,,,,,,,
189,地肤子,选,千克,山西元和堂中药有限公司,山西,171201,2.0,56.0,2.0,56.0,,,,,,,,,,
191,地龙,选,千克,山西元和堂中药有限公司,广东,170801,12.0,4320.0,12.0,4320.0,,,,,,,,,,
193,山萸肉,选,千克,山西元和堂中药有限公司,浙江,171201,88.0,8096.0,88.0,8096.0,,,,,,,,,,
194,山萸肉,选,千克,山西元和堂中药有限公司,浙江,180101,405.0,38232.0,405.0,38232.0,,,,,,,,,,
195,赤芍,选,千克,山西元和堂中药有限公司,内蒙,171101,106.0,9328.0,106.0,9328.0,,,,,,,,,,
197,旋覆花,选,千克,山西元和堂中药有限公司,浙江,171101,97.0,6984.0,97.0,6984.0,,,,,,,,,,
199,炒蒺藜,选,千克,山西元和堂中药有限公司,安徽,180102,97.0,2716.0,97.0,2716.0,,,,,,,,,,
200,薄荷,选,千克,山西元和堂中药有限公司,江苏,170901,187.0,2393.6,187.0,2393.6,,,,,,,,,,
210,马齿苋,选,千克,山西元和堂中药有限公司,山西,170901,99.0,1504.8,99.0,1504.8,,,,,,,,,,
211,牡丹皮,选,千克,山西元和堂中药有限公司,安徽,171001,12.0,720.0,12.0,720.0,,,,,,,,,,
213,槟榔,选,千克,山西元和堂中药有限公司,广东,171001,76.0,2736.0,76.0,2736.0,,,,,,,,,,
218,川芎,精选,千克,山西元和堂中药有限公司,四川,171102,153.0,8034.0,38.0,1824.0,115.0,6210.0,,,,,,,,
223,巴戟天,统,千克,山西元和堂中药有限公司,广东,170701,175.0,23800.0,175.0,23800.0,,,,,,,,,,
225,补骨脂,选,千克,山西元和堂中药有限公司,云南,180101,55.0,1100.0,55.0,1100.0,,,,,,,,,,
230,炒麦芽,精选,千克,山西元和堂中药有限公司,安徽,171202,1.0,10.0,1.0,10.0,,,,,,,,,,
243,白芍,精选,千克,山西元和堂中药有限公司,安徽,180101,353.0,18356.0,353.0,18356.0,,,,,,,,,,
252,鳖甲,选,千克,山西元和堂中药有限公司,湖北,180101,4.0,896.0,4.0,896.0,,,,,,,,,,
254,侧柏叶,选,千克,山西元和堂中药有限公司,山西,170901,64.0,512.0,64.0,512.0,,,,,,,,,,
255,炒白扁豆,精选,千克,山西元和堂中药有限公司,河南,171201,46.0,1656.0,46.0,1656.0,,,,,,,,,,
256,炒白芍,精选,千克,山西元和堂中药有限公司,安徽,180101,58.0,3248.0,58.0,3248.0,,,,,,,,,,
261,炒僵蚕,选,千克,山西元和堂中药有限公司,四川,170901,1.0,272.0,1.0,272.0,,,,,,,,,,
270,炒紫苏子,选,千克,山西元和堂中药有限公司,河北,171002,12.0,288.0,12.0,288.0,,,,,,,,,,
274,赤芍,精选,千克,山西元和堂中药有限公司,内蒙,180101,65.0,7800.0,65.0,7800.0,,,,,,,,,,
275,赤小豆,选,千克,山西元和堂中药有限公司,湖南,171101,106.0,2289.6,106.0,2289.6,,,,,,,,,,
277,川牛膝,选,千克,山西元和堂中药有限公司,四川,171101,98.0,4233.6,98.0,4233.6,,,,,,,,,,
295,党参,选,千克,山西元和堂中药有限公司,山西,171101,4.0,672.0,4.0,672.0,,,,,,,,,,
297,地龙,精选,千克,山西元和堂中药有限公司,广东,171201,95.0,34960.0,95.0,34960.0,,,,,,,,,,
318,茯苓,精选,千克,山西元和堂中药有限公司,安徽,170801,97.0,5199.2,97.0,5199.2,,,,,,,,,,
319,茯苓,精选,千克,山西元和堂中药有限公司,安徽,171201,83.0,4448.8,83.0,4448.8,,,,,,,,,,
327,钩藤,选,千克,山西元和堂中药有限公司,湖南,170801,65.0,10872.0,9.0,1296.0,56.0,9576.0,,,,,,,,
330,枸杞子,精选,千克,山西元和堂中药有限公司,宁夏,170901,40.0,3840.0,40.0,3840.0,,,,,,,,,,
354,姜半夏,统,千克,山西元和堂中药有限公司,贵州,170701,216.0,45792.0,216.0,45792.0,,,,,,,,,,
368,酒萸肉,统,千克,山西元和堂中药有限公司,浙江,170702,32.0,2227.2,32.0,2227.2,,,,,,,,,,
369,酒萸肉,统,千克,山西元和堂中药有限公司,浙江,170701,11.0,765.6,11.0,765.6,,,,,,,,,,
391,蜜紫菀,选,千克,山西元和堂中药有限公司,河北,180103,3.0,144.0,3.0,144.0,,,,,,,,,,
392,蜜紫菀,选,千克,山西元和堂中药有限公司,河北,180102,5.0,240.0,5.0,240.0,,,,,,,,,,
393,牡丹皮,精选,千克,山西元和堂中药有限公司,安徽,171101,1.0,70.4,1.0,70.4,,,,,,,,,,
416,忍冬藤,选,千克,山西元和堂中药有限公司,山东,171101,94.0,752.0,94.0,752.0,,,,,,,,,,
417,乳香,选,千克,山西元和堂中药有限公司,海南,180101,3.0,331.2,3.0,331.2,,,,,,,,,,
461,西洋参,选片,千克,山西元和堂中药有限公司,吉林,180102,23.0,44160.0,23.0,44160.0,,,,,,,,,,
470,益母草,选,千克,山西元和堂中药有限公司,山西,180101,0.25,2.4,0.25,2.4,,,,,,,,,,
481,皂角刺,精选,千克,山西元和堂中药有限公司,湖南,171202,81.0,15876.0,81.0,15876.0,,,,,,,,,,
489,制何首乌,选,千克,山西元和堂中药有限公司,四川,171201,563.0,27544.0,59.0,2596.0,504.0,24948.0,,,,,,,,
492,炙黄芪,精选,千克,山西元和堂中药有限公司,内蒙,180101,65.0,6240.0,65.0,6240.0,,,,,,,,,,
494,炙淫羊藿,统,千克,山西元和堂中药有限公司,甘肃,201703002,30.0,6360.0,30.0,6360.0,,,,,,,,,,
505,白芍,选,千克,山西元和堂中药有限公司,安徽,201704002,729.0,34992.0,729.0,34992.0,,,,,,,,,,
