产品,客户,一月消费额,二月消费费,三月消费额
蔬菜煎饼,ERNSH,￥380.00,￥590.00,"￥1,250.00"
法国卡门贝干酪,RICSU,￥480.00,￥485.00,￥260.00
蒙古大草原绿色羊肉,BOTTM,"￥5,920.00",￥592.00,￥485.00
蒙古大草原绿色羊肉,ERNSH,"￥2,054.00","￥2,680.00",￥592.00
意大利白干酪,VICTE,"￥4,654.00",￥816.00,"￥2,680.00"
法国卡门贝干酪,RICAR,￥265.00,"￥1,480.00",￥489.00
蔬菜煎饼,HUNGO,￥260.00,"￥4,656.00",￥485.00
味道美五香秋葵荚,ERNSH,￥485.00,"￥1,653.00",￥592.00
怡保咖啡,SUPRD,￥592.00,￥260.00,"￥2,680.00"
莱阳御贡干梨,BSBEV,"￥2,680.00",￥260.00,￥816.00
味道美五香秋葵荚,SUPRD,￥816.00,"￥2,650.00","￥1,480.00"
金刚烈性黑啤酒,MEREP,"￥1,480.00","￥2,650.00","￥4,656.00"
味道美辣椒沙司,RICAR,"￥4,656.00","￥4,892.00","￥1,653.00"
怡保咖啡,KOENE,"￥1,653.00","￥1,564.00",￥260.00
上海大闸蟹,BOTTM,￥260.00,￥454.00,￥260.00
大茴香籽调味汁,LINOD,￥260.00,￥156.00,"￥2,650.00"
法国卡门贝干酪,FURIB,"￥2,650.00","￥1,610.00","￥2,650.00"
金刚烈性黑啤酒,EASTC,"￥2,650.00","￥1,984.00","￥4,892.00"
味道美辣椒沙司,QUICK,"￥4,892.00",￥498.00,"￥1,564.00"
罗德尼烤饼,ERNSH,"￥1,564.00","￥1,910.00",￥454.00
野人麦芽酒,WHITC,￥454.00,"￥6,510.00",￥156.00
莱阳御贡干梨,VICTE,￥156.00,"￥1,650.00","￥1,610.00"
味道美辣椒沙司,RATTC,"￥1,610.00",￥265.00,"￥1,984.00"
蒙古大草原绿色羊肉,BERGS,"￥1,984.00","￥1,265.00",￥498.00
味鲜美馄饨,WARTH,￥498.00,"￥4,541.00","￥1,910.00"
上海大闸蟹,PERIC,"￥1,910.00","￥1,651.00","￥6,510.00"
意大利羊乳干酪,SUPRD,"￥6,510.00","￥1,165.00","￥1,650.00"
上海大闸蟹,RANCH,"￥1,650.00","￥1,561.00",￥265.00
上海大闸蟹,VAFFE,￥265.00,"￥2,621.00","￥1,265.00"
茶点巧克力软饼,RICAR,"￥1,265.00",￥151.00,"￥4,541.00"
意大利白干酪,CONSH,"￥4,541.00","￥1,650.00","￥1,651.00"
罗德尼烤饼,KOENE,"￥1,651.00","￥1,650.00","￥1,165.00"
长寿豆腐,MEREP,"￥1,165.00","￥1,841.00","￥1,561.00"
罗德尼烤饼,LILAS,"￥1,561.00","￥4,922.00","￥2,621.00"
新英格兰杰克杂烩,BERGS,"￥2,621.00","￥1,556.00",￥151.00
王大义十三香,FURIB,￥151.00,"￥1,560.00","￥1,650.00"
罗德尼烤饼,QUEEN,"￥1,650.00","￥5,610.00","￥1,650.00"
味鲜美馄饨,TOMSP,"￥1,650.00",￥489.00,"￥1,841.00"
野人麦芽酒,TOMSP,"￥1,841.00",￥549.00,"￥4,922.00"
茶点巧克力软饼,TOMSP,"￥4,922.00","￥1,561.00","￥1,556.00"
新英格兰杰克杂烩,BOTTM,"￥1,556.00","￥2,621.00","￥1,560.00"
茶点巧克力软饼,SUPRD,"￥1,560.00",￥151.00,"￥5,610.00"
上海大闸蟹,BSBEV,"￥5,610.00","￥5,610.00","￥1,650.00"
上海大闸蟹,LAZYK,"￥2,165.00",￥489.00,"￥1,841.00"
茶点巧克力软饼,WARTH,"￥4,821.00",￥549.00,"￥4,922.00"
意大利羊乳干酪,GOURL,"￥1,655.00","￥1,561.00","￥1,556.00"
长寿豆腐,HILAA,"￥2,165.00","￥2,621.00","￥1,560.00"
罗德尼烤饼,PRINI,￥216.00,￥151.00,"￥5,610.00"
茶点巧克力软饼,FAMIA,￥256.00,"￥5,610.00","￥1,650.00"
长寿豆腐,QUICK,￥489.00,￥489.00,"￥1,841.00"
金刚烈性黑啤酒,BERGS,"￥1,921.00",￥549.00,"￥4,922.00"
混沌皮,BLONP,￥165.00,"￥1,561.00","￥1,556.00"
罗德尼烤饼,BSBEV,"￥4,556.00","￥2,621.00","￥1,560.00"
怡保咖啡,FURIB,￥496.00,￥151.00,"￥5,610.00"
罗德尼烤饼,OCEAN,"￥1,560.00","￥5,610.00","￥1,650.00"
混沌皮,TOMSP,"￥1,650.00",￥489.00,"￥1,841.00"
蒙古大草原绿色羊肉,HUNGC,"￥1,655.00",￥549.00,"￥4,922.00"
茶点巧克力软饼,QUEEN,"￥1,565.00","￥1,561.00","￥1,556.00"
意大利羊乳干酪,TOMSP,"￥1,565.00","￥2,621.00","￥1,560.00"
上海大闸蟹,QUEEN,"￥1,651.00",￥151.00,"￥5,610.00"
茶点巧克力软饼,QUEDE,"￥1,457.00","￥5,610.00","￥1,650.00"
