序号,资产名称,所属部门,使用日期,资产原值,可使用年份,月折旧金额,已折旧金额,剩余价值,当前状态,已使用月份
1,AX10101,部门1,2021/1/1,5000.0,5.0,83.33,3083.21,1916.79,使用中,
2,AX10102,部门2,2019/8/5,4000.0,5.0,66.67,3600.18,399.82,停用中,
3,AX10103,部门3,2018/3/6,3500.0,3.0,97.22,3500.0,—,维修中,
4,AX10104,部门4,2017/6/8,4500.0,4.0,93.75,4500.0,—,已报废,
5,AX10105,部门5,2016/8/5,6500.0,10.0,54.17,4875.3,1624.7,使用中,
6,AX10106,部门6,2014/8/9,6000.0,10.0,50.0,5650.0,350.0,维修中,
7,AX10107,部门7,2015/8/9,7000.0,10.0,58.33,5891.33,1108.67,使用中,
8,AX10108,部门8,2019/9/5,5000.0,4.0,104.17,5000.0,—,维修中,
9,AX10109,部门4,2020/1/5,4500.0,5.0,75.0,3675.0,825.0,使用中,
10,AX10110,部门8,2017/10/6,6500.0,4.0,135.42,6500.0,—,停用中,
11,AX10111,部门2,2019/8/5,6486.11,6.277777778,86.1,4649.4,1836.71,停用中,
12,AX10112,部门3,2018/3/6,6727.78,6.311111111,88.84,6307.64,420.14,维修中,
13,AX10113,部门4,2017/6/8,6969.44,6.344444444,91.54,6969.44,—,已报废,
14,AX10114,部门5,2016/8/5,7211.11,6.377777778,94.22,7211.11,—,使用中,
15,AX10115,部门6,2014/8/9,7452.78,6.411111111,96.87,7452.78,—,维修中,
16,AX10116,部门7,2015/8/9,7694.44,6.444444444,99.5,7694.44,—,使用中,
17,AX10117,部门8,2019/9/5,7936.11,6.477777778,102.09,5410.77,2525.34,维修中,
18,AX10118,部门4,2020/1/5,8.177.78,6.511111111,104.66,5128.34,3049.44,使用中,
