建筑物名称,所在城市,竣工时间,层数,楼高,"用地面积
(万平方米)","建筑面积
(万平方米)","总投资
(亿元)","单方投资
(元)","总造价
(亿元)","单方造价
(元)",备注
北京电视中心,北京,2006,41,239.0,3.61,20.2,35,17327,20,9901,用钢重达到了3.8万吨，地上高41层，地下3层；
京广中心,北京,1990,57,209.0,2.89,14.5,22.4,15448,-,-,地下3层：
中央电视台大楼,北京,2009,52,234.0,-,49.49,50,10103,46.5,9396,整体测钢是12.5万吨；
水立方,北京,2008,-,177.0,6.3,7.95,-,-,10.2,12830,空间钢架的薄膜结构：
银泰中心,北京,2008,63,249.0,3.1,35.0,40,11429,35,10000,拥有三座主体建筑，东西网标为SA甲级写字楼，中央主楼为控制结构：
上海国际航运大厦,上海,1999,50,232.4,1.2,12.5,15,12000,-,-,包含高级智能化写字楼和涉外四星级商务性酒店；
环球金融中心,上海,2008,101,492.0,3,38.16,83,21751,52,13627,第79层~93层为上海柏拉酒店，地下3层：
金茂大厦,上海,1998,88,420.5,2.3,29.0,50,17241,-,-,铝筋混凝土结构：内有金茂楷悦大演言：
上海世茂国际广场,上海,2007,60,333.3,-,17.0,30,17647,-,-,初楼为高档药物中心：11至60层为五星级酒店：
上海信息枢缝中心大厦,上海,2001,41,288.0,0.825,10.12,10,9881,-,-,地下四层：
上海中银大厦,上海,2000,53,258.0,0.4126,12.3,2.3亿美元,1870美元,-,-,地下三层，钢筋混凝土结构，外图根架梁为钢梁；
明天广场,上海,2003,58,283.0,10,12.7,28,22047,-,-,内含液体式公寓，五星级酒店：
中信广场,广州,1997,80,391.0,2.3,29.0,40,13793,-,-,由一幢80层的主楼和两幢38层的新楼拖成，内设68到电梯；
广州西塔{广州国际金融中心},广州,2010,103,432.0,3.1084,45.6,60,13158,-,-,包括智能化级甲级写字程和自金五星级酒店；
广东电信广场,广州,2005,68,249.9,0.9,14.5,-,-,9.6,6621,地下6层，地上裙楼8层和塔楼60层，共68层：
广州歌剧院,广州,2010,7,43.1,4.2,7.3,13.8,18904,10,13699,总用钢量约为12000吨，可容1800个座位：
广东电视观光塔,广州,2010,-,601.0,17.546,11.4,22,19298,-,-,使用高强钢纳5万吨；
南方国际大厦,广州,1999,50,201.0,1.28,12.0,11,9167,-,-,十层储楼和40层塔楼；
中华广场写字楼,广州,2000,62,270.0,3.5,17.0,16,9412,-,-,"A. B闲稀塔楼,A塔楼高26层,总高128米;B墙楼高62层,总高268米"
大脑国际广场,广州,2010,59,269.2,0.7429,12.3,13.88,11285,-,-,建筑高度为213米，加上顶部天线达到269.4米；
紫峰大厦,南京,2009,89,450.0,1.8721,26.1057,-,-,40,15322,内设50多部垂直电梯与30多部自动快梯：
南京国际广场,南京,2008,82,357.0,3.2477,48.0,约50,10417,-,-,06年因资金短缺停工，后扶摩根土丹利注资复工：
金奥大厦,南京,2007,54,232.0,2.551,22.1536,15,6771,-,-,包括50层主楼和4层裙楼：
