年份,题量,分值,内容,题号,试题类型,考查内容
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,价值总量的计算，劳动生产率与产量和价值量的关系
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,企业经营知识
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,消费对生产的反作用
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,消费对生产的反作用
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,,自主创新意义和措施的考查
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,,公民权利与义务
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,人大代表和人民关系
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,政党知识
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,,全国人大代表和全国人大的职权，并引申出其作用
2011年,1题（主观题2问）,14分=8+6,文化生活,39（2）,,文化对人的影响、文化交流、民族认同感和凝聚力
2011年,1题（主观题2问）,14分=8+6,文化生活,39（3）,,文化发展的措施
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,19,,发挥主观能动性与尊重联系客观性的关系
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,20,,认识论
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,21,,发挥主观能动性与敢于实践的问题
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,22,,唯物论关于意识的本质知识，特别是人脑是意识的生理基础的知识
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,23,,唯物辩证法关于矛盾特殊性原理及其方法论意义的知识
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,39（1）,,社会意识的相对独立性
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,,金属货币与纸币；货币的基本职能
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,,市场调节及其弊端；宏观调控；我国政府
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,,企业兼并与企业破产
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,,国际经济合作
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（1）,,提高效率、促进公平
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,,我国公民享有的政治权利
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,,中国特色的政党制度
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,,中国特色的政党制度
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（2）,,我国政府的主要职能；作用；宗旨和基本原则
2012年,2题（选择题1个主观题1问）,16分=4+12,文化生活,21,,文化多样性的表现；中华文化的包容性
2012年,2题（选择题1个主观题1问）,16分=4+12,文化生活,39（1）,,文化传播的主要途径；影响文化发展的主要因素；文化创新的源泉和动力
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,19,,意识能动性的表现
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,20,,价值的创造与实现；个人价值与社会价值
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,22,,真理的条件性；认识过程；认识的反复性
