联营部分商品毛利率-大    类,联营部分商品毛利率-中   类,联营部分商品毛利率-小   类,联营部分商品毛利率-商品毛利率
干性副食品,冲调食品,泡面,10—12
    干性副食品,,速食汤,10—12
    干性副食品,,素食粥,10—12
    干性副食品,,麦片,10—12
    干性副食品,,奶粉,10—12
    干性副食品,,蜂蜜,10—12
    干性副食品,,芝麻糊,10—12
    干性副食品,,花生糊,10—12
    干性副食品,,核桃粥,10—12
    干性副食品,,泡芙,10—12
    干性副食品,,豆奶粉,10—12
    干性副食品,农畜海产干物,农产干物,10—12
    干性副食品,,海产干物,10—12
    干性副食品,,畜产干物,12—16
    干性副食品,,南北货,12—16
    干性副食品,,菇菌,12—16
    干性副食品,农畜海产罐头,农产罐头,12—16
    干性副食品,,海产罐头,14-16
    干性副食品,,畜产罐头,14-16
    干性副食品,水果罐头,单品水果罐头,13-15
    干性副食品,,什锦水果罐头,13-15
    干性副食品,,,
    干性副食品,腌制品,瓜菜,8—14
    干性副食品,,腌制品,8—14
    干性副食品,,鱼,6—10
    干性副食品,,笋,12—16
    干性副食品,,肉,10—12
    干性副食品,果酱,水果品味果酱,10—12
    干性副食品,,其他品味果酱,10—12
    干性副食品,零食,瓜子,13-15
    干性副食品,,一般性零食,13-15
    干性副食品,,巧克力,13-16
    干性副食品,,糖果,13-20
    干性副食品,,豆干,13-15
    干性副食品,,蜜饯,15-20
    干性副食品,,肉干,12—15
    干性副食品,婴儿食品,婴儿奶粉,9—18
    干性副食品,,葡萄糖,8—10
    干性副食品,,钙片,10—12
    干性副食品,,婴儿麦片,9—16
    干性副食品,,维它命,13-15
    干性副食品,保健食品,保健冲调食品,14-20
    干性副食品,,保健含片,14-20
    干性副食品,,保健品服液,12—20
    干性副食品,咖啡、奶精糖,咖啡罐,12—20
    干性副食品,,咖啡小包装,13-15
    干性副食品,,奶精,13-15
    干性副食品,,方糖,12—14
    干性副食品,,冰糖,10—12
    干性副食品,茶,红茶,16-20
    干性副食品,,绿茶,16-25
    干性副食品,,其它调味茶,16-25
    干性副食品,,花茶,16-25
    干性副食品,烟酒,烟,2—13
    干性副食品,,白酒,3—20
    干性副食品,,果酒,5—25
    干性副食品,,洋酒,10—25
    干性副食品,,其它调味酒,5—15
    干性副食品,,啤酒,3—20
    干性副食品,礼盒,干货礼盒,15-20
    干性副食品,,罐头礼盒,15-20
    干性副食品,,饼干礼盒,15-20
    干性副食品,,七克力礼盒,15-20
    干性副食品,,咖啡礼盒,15-20
    干性副食品,,洋酒礼盒,10—18
    干性副食品,,自组礼盒,10—18
    干性副食品,饮料,碳酸饮料,5—10
    干性副食品,,矿泉水,5—10
    干性副食品,,果汁,10—15
    干性副食品,,茶,7—15
    干性副食品,宠物食品,幼犬罐头食品,15-25
    干性副食品,,,15-25
    干性副食品,,101902   成犬罐头食品,15-25
    干性副食品,,,
    干性副食品,,,15-25
    干性副食品,,,
    干性副食品,,101903   猫罐头食品,15-25
    干性副食品,冷冻食品类,面食类,14-18
    干性副食品,,肉禽类,15-20
    干性副食品,调味品,糖,8—18
    干性副食品,,盐,5—8
    干性副食品,,味精,8—12
    干性副食品,,太白粉,8—15
    干性副食品,,油炸粉,8—15
    干性副食品,,糯米粉,8—16
    干性副食品,,苏打粉,8—16
    干性副食品,,酱油,8—16
    干性副食品,,醋,3—10
    干性副食品,,调味粉,6—10
    干性副食品,,调味酱,6—10
    干性副食品,,调味包,6—10
    干性副食品,,香料包,6—10
    干性副食品,食用油,色拉油,3—6
    干性副食品,,精致油,3—6
    干性副食品,,花生油,3—6
    干性副食品,,麻油,3—6
    干性副食品,,,
    干性副食品,什货五谷,豆,4月10日
    干性副食品,,麦,4月10日
    干性副食品,,芝麻,4月10日
    干性副食品,,大小米,2月10日
    干性副食品,,花生仁,4月10日
    干性副食品,,面粉,2月8日
    干性副食品,,面条,3月10日
    干性副食品,饼干,一般饼干,12月14日
    干性副食品,,夹心饼干,12月14日
    干性副食品,,健康饼干,12月14日
    干性副食品,,米果,15-18
    干性副食品,,蛋卷,14-16
