年会物料清单-费用支出预算表,年会物料清单-费用支出预算表-单位名称：,年会物料清单-费用支出预算表-稻壳科技技术集团有限公司,年会物料清单-费用支出预算表-稻壳科技技术集团有限公司.1,年会物料清单-费用支出预算表-稻壳科技技术集团有限公司.2,年会物料清单-费用支出预算表.1,年会物料清单-费用支出预算表.2,年会物料清单-费用支出预算表.3,年会物料清单-费用支出预算表.4,年会物料清单-费用支出预算表.5,年会物料清单-费用支出预算表-预算总额：,年会物料清单-费用支出预算表-64975.0,"年会物料清单-费用支出预算表-64,975.00"
物料名称,,单位,数量,单价,预算金额,物料名称,,单位,数量,单价,预算金额,备注
一、,物料名称,,,,,四、,物料名称,,,,,
1、,背景PPT,个,1,,,1、,签到表,张,5,,-,
2、,效果音乐,首,3,,,2、,签字笔,支,5,5.0,25.0,
3、,红色灯笼,个,15,10.0,150.0,3、,果盘,个,5,50.0,250.0,
4、,彩色气球,个,30,5.0,150.0,五、,奖品安排,,,,,
5、,桌牌,个,100,2.0,200.0,1、,抽奖箱,个,1,50.0,50.0,
二、,服装,,,,,2、,笔记本电脑,台,1,10000.0,10000.0,
1、,舞蹈服装,件,10,120.0,1200.0,3、,苹果13,台,1,7000.0,7000.0,
2、,歌唱表演主唱服装,件,1,150.0,150.0,4、,云鲸扫地机器人,台,2,5000.0,10000.0,
3、,大合唱人员服装,件,20,200.0,4000.0,5、,戴森吹风机,台,3,3000.0,9000.0,
4、,主持人礼服,件,2,200.0,400.0,6、,红包,个,10,100.0,1000.0,
三、,烟酒食品,,,,,7、,充值卡,张,10,200.0,2000.0,
1、,白酒,瓶,20,200.0,4000.0,8、,大米,袋,20,50.0,1000.0,
2、,红酒,瓶,20,400.0,8000.0,9、,牛奶,箱,20,70.0,1400.0,
3、,饮料,瓶,20,20.0,400.0,10、,毛绒玩具,个,20,80.0,1600.0,
4、,瓜子,袋,10,30.0,300.0,11、,牙膏,个,20,20.0,400.0,
5、,糖果,袋,10,30.0,300.0,12、,牙刷,个,20,20.0,400.0,
6、,水果,斤,20,30.0,600.0,13、,沐浴露,瓶,20,50.0,1000.0,
