人民币存款利率-项目,项目,年利率（%）,Unnamed: 3,北京分行-中关村支行,北京市东城区建国门内大街28号民生金融中心B座1-4层-北京市海淀区海淀大街1号中关村国际数字设计中心1、6层,010-85597388-010-62605116,100005-100080
一、城乡居民及单位存款,（一）活期,0.385,,,,,
一、城乡居民及单位存款,（二）定期,,,,,,
1.整存整取,三个月,2.86,,,,,
1.整存整取,半 年,3.08,,,,,
1.整存整取,一 年,3.3,,,,,
1.整存整取,二 年,4.125,,,,,
1.整存整取,三 年,4.675,,,,,
1.整存整取,五 年,5.225,,,,,
2.零存整取、整存零取、存本取息,一年,2.86,,,,,
2.零存整取、整存零取、存本取息,三年,3.08,,,,,
2.零存整取、整存零取、存本取息,五年,3.3,,,,,
3.定活两便,,按一年以内定期整存整取同档次利率打6折执行,,,,,
二、协定存款,,1.265,,,,,
三、通知存款,一天,0.88,,,,,
三、通知存款,七天,1.485,,,,,
人民币贷款利率,人民币贷款利率,人民币贷款利率,,,,,
项目,项目,年利率（%）,,,,,
一、短期贷款,六个月以内（含六个月）,5.6,,,,,
一、短期贷款,六个月至一年（含一年）,6,,,,,
二、中长期贷款,一至三年（含三年）,6.15,,,,,
二、中长期贷款,三至五年（含五年）,6.4,,,,,
二、中长期贷款,五年以上,6.55,,,,,
三、贴现,,以再贴现利率为下限加点确定,,,,,
四、个人住房公积金贷款,五年以下（含五年),4,,,,,
四、个人住房公积金贷款,五年以上,4.5,,,,,
"注 : 更新时间为：2012年7月6日,具体利率执行情况请咨询当地宁波银行","注 : 更新时间为：2012年7月6日,具体利率执行情况请咨询当地宁波银行","注 : 更新时间为：2012年7月6日,具体利率执行情况请咨询当地宁波银行",,,,,
本信息仅供参考，收费项目及标准以当地分支行实际办理为准，最终解释权属宁波银行。,     本信息仅供参考，收费项目及标准以当地分支行实际办理为准，最终解释权属宁波银行。,     本信息仅供参考，收费项目及标准以当地分支行实际办理为准，最终解释权属宁波银行。,,,,,
