序次-序次,型号-型号,额定起重力矩-（kN·m）,幅度-（m）,最大起重量-（t）,最大起重量时幅度-（m）,最大幅度时起重量-（t）,起升高度（m）-附着,起升高度（m）-内爬,起升高度（m）-行走,起升高度（m）-固定,速度（m/min，r/min）-起升,速度（m/min，r/min）-变幅,速度（m/min，r/min）-行走,速度（m/min，r/min）-回转,备注-备注,产地厂家-产地厂家
1,QT4-10,,,10,17.0,4.0,160,,,,45，22.5,18,,0.5,,北京
1,QT4-10,,,20,12.0,3.5,160,,,,45，22.5,18,,0.5,,北京
2,QT80（A）,,,7,11.1,2.67,70,,,,70，50，29.5,45，25,,0.59,,北京
2,QT80（A）,,,6,11.6,1.5,70,,,,70，50，29.5,45，25,,0.59,,北京
3,Z80,,,8,10.0,2.7,123,,,,45，22.5,30,,0.57,,上海，四川
4,ZT-120,,,8,15.0,3.5,160,,,,50，3,30.5,,0.5,,上海
5,QTZ1600,,55，60，65,10,,1.6,200,,,51.8,35，73，110,60，30，9.5,,0.6,,济南
6,QTZ800,,40，45，50,8,,1.3,150,150.0,45.5,45.5,34，54，100,35,22.0,0.73,,济南
7,QTZ200,,,20,12.0,3.5,60,,,,80，40，8.2,22.38,,0.49,,北京
8,QTZ100,,2.4~60,,,,162.5,,,50,6档 100.8~16.8,80，60，7.6,,0.6,,中建
9,QTZ60A,,35，40，45,6,,1.5,100,110.0,45.5,45.5,34，54，100,35,22.0,0.73,,济南
10,QTZ60,,35，40，45,6,,1.2,100,,,40.1,34，50，100,20，40.5,,0.62,,济南
11,QTZ40,,30，35，40,4,,1.0,80,,,32,18，34，70,20，40.5,,0.62,,济南
12,QTZ315,,38,3,,0.83,80,,30.0,30,53.7，26.8，5.95,22，33,23.0,0.8，0.4,,济南
13,QTZ25,,30,2.5,,0.83,60,,25.5,25.5,44，29，6.9,22,23.0,0.8，0.4,,济南
14,QTP60,,30,6,10.0,2.0,,,,,50，25,28.6，10,,0.19~0.57,内爬塔,上海
15,QT5-4/20,,20,4,11.0,2.0,,,,,40，5,20,,0.6,内爬塔,湖北
16,C7050,,70,20,,5.0,,,80.0,,,,,,,四川
17,C7022,,70,16,,2.2,,,56.0,,,,,,,四川
18,H3/36B,,60,12,,3.6,205,,,,,,,,,四川
19,C5530,,55,12,,3.0,,230.0,,,,,,,,四川
20,FO/23B,,50,10,,2.3,203,,,,,,,,,四川
21,C4513,,45,6,,1.3,100,,,,,,,,,四川
22,C5015,,50,8,,1.5,120,,,,,,,,,四川
23,C4010,,40,4,,1.0,82,,,,,,,,,四川
24,C3208,,32,2.5,,0.8,60,,,,,,,,,四川
25,QTZ63,630.0,50,6,,1.3,140,,,41,80，40，8.5,43，21.5,,0.63,,常州
26,QTZ30,300.0,36,3,,0.85,80,,,28,50，25，85,25,,0.65,,常州
27,QTZ20,200.0,25,2,,0.8,60,,,26,10.5，35,22,,0.8,,常州
28,QTZ25,250.0,1.7~27.3,2.5,,,60,,26.4,25.3,,25,,0.95,,无锡
29,QTZ40C,400.0,1.7~42,4,,,100,,31.0,32,,25,,0.62,,无锡
30,QTZ60C,600.0,2~48,6,,,100,,40.8,40.1,,20，40.5,,0.62,,无锡
31,QTZ80,800.0,2.5~48,8,,,140,,40.0,40,,30.5,,0.6,,无锡
32,QTZ630,,2~50,6,,,120,,,40,54，36，8,20，40.5,,0.54,,安徽
32,QTZ630,,2~50,6,,,120,,,40,27，18，4,20，40.5,,0.54,,安徽
33,QTZ400E,,2~40,3,,,,,,,55，35，8,20，40,,0.66,,安徽
33,QTZ400E,,2~40,3,,,,,,,27.5，17.5，4,20，40,,0.66,,安徽
34,QTZ1000,,2.5~60,8,,1.3,150,,,50,100，72，48，6,20，40,,0.6,,安徽
34,QTZ1000,,2.5~60,8,,1.3,150,,,50,50，36，24，3,20，40,,0.6,,安徽
35,ZSC-5815,870.0,58,7.5,,1.5,,,,,0~90,60,,0.6,小车式,南京
35,ZSC-5815,870.0,58,7.5,,1.5,,,,,0~45,60,,0.6,内/外爬,南京
36,ZSC-5024,1200.0,50,10,,2.4,,,,,0~90,60,,0.6,,南京
36,ZSC-5024,1200.0,50,10,,2.4,,,,,0~45,60,,0.6,,南京
37,ZSC-5040,2000.0,50,15,,4.0,,,,,0~90,60,,0.6,,南京
37,ZSC-5040,2000.0,50,15,,4.0,,,,,0~45,60,,0.6,,南京
38,ZSC-7030,2100.0,70,15,,3.0,,,,,0~90,60,,0.6,,南京
38,ZSC-7030,2100.0,70,15,,3.0,,,,,0~45,60,,0.6,,南京
39,ZSC-3080,2400.0,30,15,,8.0,,,,,0~90,60,,0.6,,南京
39,ZSC-3080,2400.0,30,15,,8.0,,,,,0~45,60,,0.6,,南京
40,ZSL-5522,1210.0,55,7.5,,2.2,,,,,0~90,,,0.6,动臂拭,南京
41,ZSL-3535,1220.0,35,7.5,,3.5,,,,,0~90,,,0.6,内/外爬,南京
42,ZSL-5025,1250.0,50,7.5,,2.5,,,,,0~90,,,0.6,,南京
43,QTZ125,1250.0,2~60,6,,,100/163,,50.0,50,,,,,,四川锦城
44,FO/23B,,50,10,,2.3,203.8,203.8,61.6,59.8 44.8,,,,,塔身2m,沈阳
44,FO/23B,,50,10,,2.3,140.8,203.8,49.4,59.8 44.8,,,,,截面1.6,沈阳
45,H3/36B,,60,12,,3.6,195,266.0,56.6,51.7,,,,,,沈阳
46,K40/21,,70,16,,2.1,153.7,,50.6,45.7,,,,,,沈阳
47,K50/50,,70,12，16，20,,5.0,120,270.0,80.09,78.9,,,,,,沈阳
48,FL25/30,,50,6,,3.0,,45.9,45.2,52.05,,,,,,沈阳
