分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-序号-序号-序号-序号-序号,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-工程项目-工程细目-定额单位-工程数量-定额表号,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-工程项目-工程细目-定额单位-工程数量-定额表号.1,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-工程项目-工程细目-定额单位-工程数量-定额表号.2,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-工程项目-工程细目-定额单位-工程数量-定额表号.3,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-工程项目-工程细目-定额单位-工程数量-定额表号.4,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-路面标线-沥青路面热熔标线-100m2-72.15-6～1～9～4改,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-路面标线-沥青路面热熔标线-100m2-72.150-6～1～9～4改,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线-路面标线-沥青路面热熔标线-100m2-72.150-6～1～9～4改.1,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线.1,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线.2,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线.3,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线.4,分项工程预算表-编制范围：JTAQ-02-工程名称：热熔型涂料路面标线.5,分项工程预算表-第1页,分项工程预算表-共1页-合计-合计-合计-合计-合计,分项工程预算表-共1页-合计-合计-合计-合计-合计.1,分项工程预算表-08-2表-合计-合计-合计-合计-合计
,"序



号",工料机名称,工料机名称,工料机名称,单位,单价(元),定额,数量,金额(元),定额,数量,金额(元),定额,数量,金额(元),数量,金额(元),金额(元)
,1,人工,人工,人工,工日,49.2,5.1,367.965,18104,,,,,,,367.965,18104,18104
,2,热熔涂料,热熔涂料,热熔涂料,kg,6.0,469.0,33838.35,203030,,,,,,,33838.35,203030,203030
,3,反光玻璃珠,反光玻璃珠,反光玻璃珠,kg,2.8,37.0,2669.55,7475,,,,,,,2669.55,7475,7475
,4,其他材料费,其他材料费,其他材料费,元,1.0,200.0,14430.0,14430,,,,,,,14430.0,14430,14430
,5,含热熔釜标线车BJ-130、油抹器动力等热熔标线设备(补),含热熔釜标线车BJ-130、油抹器动力等热熔标线设备(补),含热熔釜标线车BJ-130、油抹器动力等热熔标线设备(补),台班,511.38,0.55,39.683,20293,,,,,,,39.683,20293,20293
,6,4t以内载货汽车(补),4t以内载货汽车(补),4t以内载货汽车(补),台班,295.32,0.49,35.354,10441,,,,,,,35.354,10441,10441
,7,定额基价,定额基价,定额基价,元,1.0,3793.0,273665.0,273665,,,,,,,273665.0,273665,273665
,,,,,,,,,,,,,,,,,,
,,直接工程费,直接工程费,直接工程费,元,,,,273772,,,,,,,,273772,273772
,,其他工程费,其他工程费,Ⅰ,元,,4.7,,12867,,,,,,,,12867,12867
,,其他工程费,其他工程费,Ⅱ,元,,,,,,,,,,,,,
,,间接费,规费,规费,元,,,,,,,,,,,,,
,,间接费,企业管理费,企业管理费,元,,5.1,,14619,,,,,,,,14619,14619
,,利润及税金,利润及税金,利润及税金,元,,7.000 / 3.410,,32080,,,,,,,,32080,32080
,,建筑安装工程费,建筑安装工程费,建筑安装工程费,元,,,,333338,,,,,,,,333338,333338
编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,编制：秦国禄,复核：,复核：,复核：,复核：,复核：,复核：
