路堤、路床顶面及路面高程、横坡测量整理计算表-承包单位：-工程名称-桩号-桩号-桩号,路堤、路床顶面及路面高程、横坡测量整理计算表-承包单位：-工程名称-桩号-桩号-桩号.1,路堤、路床顶面及路面高程、横坡测量整理计算表-承包单位：-工程名称-桩号-桩号-桩号.2,路堤、路床顶面及路面高程、横坡测量整理计算表-承包单位：-路面高程-位置-位置-位置,路堤、路床顶面及路面高程、横坡测量整理计算表-路面高程-纵断面高程（m）-0m-设计,路堤、路床顶面及路面高程、横坡测量整理计算表-路面高程-纵断面高程（m）-0m-设计.1,路堤、路床顶面及路面高程、横坡测量整理计算表-路面高程-纵断面高程（m）-0m-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-路段-纵断面高程（m）-0m-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-路段-纵断面高程（m）-0m-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-JD2路（122m）-纵断面高程（m）-0m-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-JD2路（122m）-纵断面高程（m）-2.5m-设计,路堤、路床顶面及路面高程、横坡测量整理计算表-JD2路（122m）-纵断面高程（m）-2.5m-设计.1,路堤、路床顶面及路面高程、横坡测量整理计算表-监理单位：-JD2路（122m）-纵断面高程（m）-2.5m-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-监理单位：-JD2路（122m）-纵断面高程（m）-2.5m-实测.1,路堤、路床顶面及路面高程、横坡测量整理计算表-监理单位：-仪器名称、规格、编号：-纵断面高程（m）-2.5m-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-仪器名称、规格、编号：-纵断面高程（m）-2.5m-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-仪器名称、规格、编号：-纵断面高程（m）-m-设计,路堤、路床顶面及路面高程、横坡测量整理计算表-仪器名称、规格、编号：-纵断面高程（m）-m-设计.1,路堤、路床顶面及路面高程、横坡测量整理计算表-仪器名称、规格、编号：-纵断面高程（m）-m-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-仪器名称、规格、编号：-纵断面高程（m）-m-实测.1,路堤、路床顶面及路面高程、横坡测量整理计算表-水准仪-纵断面高程（m）-m-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-水准仪-纵断面高程（m）-m-差值.1,路堤、路床顶面及路面高程、横坡测量整理计算表-合同号：-水准仪-纵断面高程（m）-m-设计,路堤、路床顶面及路面高程、横坡测量整理计算表-合同号：-水准仪-纵断面高程（m）-m-设计.1,路堤、路床顶面及路面高程、横坡测量整理计算表-合同号：-水准仪-纵断面高程（m）-m-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-水准仪-纵断面高程（m）-m-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-水准仪-纵断面高程（m）-m-差值.2,路堤、路床顶面及路面高程、横坡测量整理计算表-第-水准仪-纵断面高程（m）-m-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-编号：-水准仪-横坡度（%）-横坡度（%）-设计,路堤、路床顶面及路面高程、横坡测量整理计算表-页-编号：-水准仪-横坡度（%）-横坡度（%）-设计,路堤、路床顶面及路面高程、横坡测量整理计算表-共-水准仪-横坡度（%）-横坡度（%）-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-水准仪-横坡度（%）-横坡度（%）-实测,路堤、路床顶面及路面高程、横坡测量整理计算表-页-水准仪-横坡度（%）-横坡度（%）-差值,路堤、路床顶面及路面高程、横坡测量整理计算表-水准仪-横坡度（%）-横坡度（%）-差值
0,+000,+000,右,127.1,127.10,127.103,127.103,3,3,127.13,127.13,127.134,127.134,4,4,,,,,,,,,,,,,2,2,2.02,2.02,0.02,0.02
20,+020,+020,,127.39,127.39,127.393,127.393,3,3,127.42,127.42,127.425,127.425,5,5,,,,,,,,,,,,,2,2,2.04,2.04,0.04,0.04
40,+040,+040,,127.7,127.70,127.704,127.704,4,4,127.73,127.73,127.736,127.736,6,6,,,,,,,,,,,,,2,2,2.01,2.01,0.01,0.01
60,+060,+060,,128.1,128.10,128.105,128.105,5,5,128.13,128.13,128.134,128.134,4,4,,,,,,,,,,,,,2,2,2.05,2.05,0.05,0.05
80,+080,+080,,128.37,128.37,128.377,128.377,7,7,128.4,128.40,128.405,128.405,5,5,,,,,,,,,,,,,2,2,2.03,2.03,0.03,0.03
120,+120,+120,,128.48,128.48,128.485,128.485,5,5,128.51,128.51,128.515,128.515,5,5,,,,,,,,,,,,,2,2,2.02,2.02,0.02,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小    计,小    计,小    计,小    计,测点：,测点：,6,合格点：,合格点：,6,测点：,测点：,6,合格点：,合格点：,6,测点：,测点：,,合格点：,合格点：,,测点：,测点：,,合格点：,合格点：,,测点：,测点：,6,合格点：,合格点：,6
纵断面高程允许偏差：,纵断面高程允许偏差：,纵断面高程允许偏差：,纵断面高程允许偏差：,纵断面高程允许偏差：,+15，'-15mm,+15，'-15mm,+15，'-15mm,合格率：,合格率：,合格率：,100%,100%,100%,100%,100%,横坡允许偏差：,横坡允许偏差：,横坡允许偏差：,横坡允许偏差：,横坡允许偏差：,±0.3%, ±0.3%, ±0.3%, ±0.3%, ±0.3%, ±0.3%,合格率：,合格率：,合格率：,100%,100%,100%,100%
测量：,测量：,,,,计算：,计算： ,,,,,校核：,校核：,,,,,,监理：,监理： ,,,,,,,年  月  日,年  月  日,年  月  日,年  月  日,年  月  日,年  月  日,年  月  日,年  月  日
