序号,工厂与市场品种定台对接表-品种,工厂与市场品种定台对接表-唛注,工厂与市场品种定台对接表-干车间工艺-进口机台,工厂与市场品种定台对接表-干车间工艺-国产机台,工厂与市场品种定台对接表-下机幅宽,工厂与市场品种定台对接表-车速,工厂与市场品种定台对接表-机台数,工厂与市场品种定台对接表-质量控制,工厂与市场品种定台对接表-不稳定因素
1.0,棕色双湿,9#-2服2新,1正2反→,1正1反→2反,1.40-1.42,12米/分,7台,A,
2.0,黑色双湿,9#-2G,1正2反→,1正1反→2反,1.40-1.42,12米/分,7台,A,
3.0,黑色双湿,9#-2C,1正2反→,1正1反→2反,1.40-1.42,12米/分,7台,A,
4.0,黑色双湿,9#-2C,1正2反→,1正1反→2反,1.40-1.42,12米/分,7台,A,
5.0,黑色双湿,9#-2C,1反2正→,1反→2反,1.40-1.42,12米/分,6台,C,正面少一道，绒毛难控制 手感偏硬
6.0,黑色双湿,9#-2C,,,,,,,
7.0,黑色双湿,9#-2C,,,,,,,
8.0,黑色双湿,16#-1,,1正1反→2反,1.40-1.42,12米/分,7台,B,进口机台过多，出绒量少，手感偏硬
9.0,黑色双湿,16#-1,,,1.40-1.42,12米/分,5台,A,
10.0,黑色双湿,5#C,1反2正→,2反1正→2反,1.40-1.42,12米/分,4台,B,反面绒毛不均匀，外观差，手感不好
11.0,0.35本白双湿,安利,,1反→2正,1.4,12米/分,3,A,
12.0,0.45黑色双湿,长,,,1.40-4.42,12米/分,6,A,
12.0,0.45棕色双湿,服II新长,1正2反→,1正→2反,1.40-4.42,12米/分,6,A,
13.0,黑色双湿,2B,,,1.4,12米/分,8,B,
14.0,0.65普黑双湿,东泰沙发革,1正2反→,2正→2正,1.37-1.38,12米/分,7,B,
15.0,棕色双湿,506,,2反1正,1.26-1.27,12米/分,3,B,
16.0,黑色双湿,506,,2反1正,1.26-1.27,12米/分,3,B,
,,,,,,,,,
,,,,,,,,,备注；A易控    B可控  C勉强
,,,,,,淮安富泰   2012.5.15,淮安富泰   2012.5.15,,
,,,,,,淮安富泰   2012.5.15,淮安富泰   2012.5.15,,
