室内装修报价表-序号,室内装修报价表-内容,室内装修报价表-数量,室内装修报价表-单价,室内装修报价表-总价
1,沙子,3立方米,80,240
2,水泥,28袋,18,504
3,地砖,80cmx80cm  64块,80,5120
4,卫生间地砖,30cmx30cm  40块,8,320
5,卫生间墙砖,30cmx60cm 138块,15,2070
6,厨房墙砖,30cmx60cm 110块,15,1650
7,过门砖,80cmx80cm   2块,80,160
8,瓷砖包边条,8根,12,96
9,地漏,3个,15,45
10,勾缝剂,2包,15,30
11,踢脚线,38块,6,228
12,贴砖、包柜子人工,整套,3850,3850
13,改水电、防水，人工材料,整套,2800,2800
14,材料搬运及上楼费,整批,800,800
15,合计：17913,                                       合计：17913,                                       合计：17913,                                       合计：17913
16,客厅,,,
17,入户门套,5m,100,500
18,鞋柜(含五金),1.2mx0.8m,600,600
19,挂衣墙（含衣钩）,整套,350,350
20,窗套（含人造石）,1套,1000,1000
21,吊顶（不含灯光）,客厅,800,800
22,电视墙（含电视背景纸）,1套,1200,1200
23,电视柜,1台,600,600
24,罗马杆,3.6m,15,54
25,合计：5054,                                      合计：5054,                                      合计：5054,                                      合计：5054
26,主卧,,,
27,套装门（含锁具、五金）,1扇,1200,1200
28,窗套（含人造石）,1套,800,800
29,衣柜（含五金）,4.94㎡,600,2964
30,罗马杆,2.7m,15,40
31,合计：5004.00,                                            合计：5004.00,                                            合计：5004.00,                                            合计：5004.00
32,次卧,,,
33,套装门（含锁具、五金）,1扇,1200,1200
34,窗套（含人造石）,1套,800,800
35,衣柜（含五金）,3.9㎡,600,2340
36,榻榻米,4.32㎡,180,777
37,墙裙,6m,120,720
38,罗马杆,2.4m,15,36
39,合计:5873.00,                                            合计:5873.00,                                            合计:5873.00,                                            合计:5873.00
40,卫生间,,,
41,洗脸间吊顶（不含灯光）,1套,200,200
42,防水门,,600,600
43,卫生间集成吊顶（不含浴霸）,3.5㎡,110,385
44,合计：1185.00,                                            合计：1185.00,                                            合计：1185.00,                                            合计：1185.00
45,厨房,,,
46,门套,5m,120,600
47,推拉门扇,1扇,480,480
48,橱柜,4.2m,800,3360
49,吊柜,2.4m,320,768
50,下水管包装,1根,300,300
51,集成吊顶,4.5㎡,110,495
52,,,,
53,冰箱过道吊顶（不含灯具）,1套,200,200
54,乳胶漆,50㎡,30,1500
55,墙纸,90㎡,58,5220
合计：12923.00,                                                合计：12923.00,                                                合计：12923.00,                                                合计：12923.00,                                                合计：12923.00
总计：47900.00,                                         总计：47900.00,                                         总计：47900.00,                                         总计：47900.00,                                         总计：47900.00
,,,,
附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板
附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板,附装一：基装之上加5000元（伍仟元整） 含室内所有灯具、洁具、卫浴、网络设备、开关插座、面板
总计：5000.00,                                        总计：5000.00,                                        总计：5000.00,                                        总计：5000.00,                                        总计：5000.00
附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。
附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。,附装二：合计累加4000元（肆仟元整）含中高端电热水器、抽油烟机、燃气灶。同材料及配置约等于市面一线品牌总价万元，二线品牌7000元左右。市面上如有性价比高于我方提供德国UKS产品，双倍退差价。
