小企业会计准则会计科目-顺序号,小企业会计准则会计科目-编号,小企业会计准则会计科目-会计科目名称-一、资产类,企业会计准则会计科目*-顺序号,企业会计准则会计科目*-编号,企业会计准则会计科目*-会计科目名称
1.0,1001.0,库存现金,1.0,1001.0,库存现金
2.0,1002.0,银行存款,2.0,1002.0,银行存款
3.0,1012.0,其他货币资金,3.0,1012.0,其他货币资金
4.0,1101.0,短期投资,4.0,1101.0,交易性金融资产
5.0,1121.0,应收票据,5.0,1121.0,应收票据
6.0,1122.0,应收账款,6.0,1122.0,应收账款
7.0,1123.0,预付账款,7.0,1123.0,预付账款
8.0,1131.0,应收股利,8.0,1131.0,应收股利
9.0,1132.0,应收利息,9.0,1132.0,应收利息
10.0,1221.0,其他应收款,10.0,1221.0,其他应收款
,,,11.0,1231.0,坏账准备
,,,12.0,1321.0,代理业务资产
11.0,1401.0,材料采购,13.0,1401.0,材料采购
12.0,1402.0,在途物资,14.0,1402.0,在途物资
13.0,1403.0,原材料,15.0,1403.0,原材料
14.0,1404.0,材料成本差异,16.0,1404.0,材料成本差异
15.0,1405.0,库存商品,17.0,1405.0,库存商品
,,,18.0,1406.0,发出商品
16.0,1407.0,商品进销差价,19.0,1407.0,商品进销差价
17.0,1408.0,委托加工物资,20.0,1408.0,委托加工物资
18.0,1411.0,周转材料,21.0,1411.0,周转材料
19.0,1421.0,消耗性生物资产,22.0,1421.0,消耗性生物资产
,,,23.0,1471.0,存货跌价准备
20.0,1501.0,长期债券投资,24.0,1501.0,持有至到期投资
,,,25.0,1502.0,持有至到期投资减值准备
,,,26.0,1503.0,可供出售金融资产
21.0,1511.0,长期股权投资,27.0,1511.0,长期股权投资
,,,28.0,1512.0,长期股权投资减值准备
,,,29.0,1521.0,投资性房地产
,,,30.0,1531.0,长期应收款
,,,31.0,1532.0,未实现融资收益
22.0,1601.0,固定资产,32.0,1601.0,固定资产
23.0,1602.0,累计折旧,33.0,1602.0,累计折旧
,,,34.0,1603.0,固定资产减值准备
24.0,1604.0,在建工程,35.0,1604.0,在建工程
25.0,1605.0,工程物资,36.0,1605.0,工程物资
26.0,1606.0,固定资产清理,37.0,1606.0,固定资产清理
27.0,1621.0,生产性生物资产,38.0,1621.0,生产性生物资产
28.0,1622.0,生产性生物资产累计折旧,39.0,1622.0,生产性生物资产累计折旧
,,,40.0,1611.0,未担保余值
29.0,1701.0,无形资产,41.0,1701.0,无形资产
30.0,1702.0,累计摊销,42.0,1702.0,累计摊销
,,,43.0,1703.0,无形资产减值准备
,,,44.0,1711.0,商誉
31.0,1701.0,长期待摊费用,45.0,1801.0,长期待摊费用
,,,46.0,1811.0,递延所得税资产
32.0,1801.0,待处理财产损溢,47.0,1901.0,待处理财产损溢
,,二、负债类,48.0,,
33.0,2001.0,短期借款,49.0,2001.0,短期借款
,,,50.0,2101.0,交易性金融负债
34.0,2201.0,应付票据,51.0,2201.0,应付票据
35.0,2202.0,应付账款,52.0,2202.0,应付账款
36.0,2203.0,预收账款,53.0,2203.0,预收账款
37.0,2211.0,应付职工薪酬,54.0,2211.0,应付职工薪酬
38.0,2221.0,应交税费,55.0,2221.0,应交税费
39.0,2231.0,应付利息,56.0,2231.0,应付利息
40.0,2232.0,应付利润,57.0,2232.0,应付股利
41.0,2241.0,其他应付款,58.0,2241.0,其他应付款
,,,59.0,2314.0,代理业务负债
42.0,2401.0,递延收益,60.0,2401.0,递延收益
43.0,2501.0,长期借款,61.0,2501.0,长期借款
,,,62.0,2502.0,应付债券
44.0,2701.0,长期应付款,63.0,2701.0,长期应付款
,,,64.0,2702.0,未确认融资费用
,,,65.0,2711.0,专项应付款
,,,66.0,2801.0,预计负债
,,,67.0,2901.0,递延所得税负债
,,三、所有者权益类,,,
45.0,3001.0,实收资本（或股本）,68.0,4001.0,实收资本（或股本）
46.0,3002.0,资本公积,69.0,4002.0,资本公积
47.0,3101.0,盈余公积,70.0,4101.0,盈余公积
48.0,3103.0,本年利润,71.0,4103.0,本年利润
49.0,3104.0,利润分配,72.0,4104.0,利润分配
,,,73.0,4201.0,库存股
,,四、成本类,,,
50.0,4001.0,生产成本（劳务成本）,74.0,5001.0,生产成本
51.0,4101.0,制造费用,75.0,5101.0,制造费用
,,,76.0,5201.0,劳务成本
52.0,4301.0,研发支出,77.0,5301.0,研发成本
53.0,4401.0,工程施工,,,
54.0,4403.0,机械作业,,,
,,五、损益类,,,
55.0,5001.0,主营业务收入,78.0,6001.0,主营业务收入
,,,79.0,6041.0,租赁收入
56.0,5002.0,其他业务收入,80.0,6051.0,其他业务收入
,,,81.0,6101.0,公允价值变动损益
57.0,5111.0,投资收益,82.0,6111.0,投资收益
58.0,5301.0,营业外收入,83.0,6301.0,营业外收入
59.0,5401.0,主营业务成本,84.0,6401.0,主营业务成本
60.0,5402.0,其他业务成本,85.0,6402.0,其他业务成本
61.0,5403.0,营业税金及附加,86.0,6403.0,营业税金及附加
62.0,5601.0,销售费用,87.0,6601.0,销售费用
63.0,5602.0,管理费用,88.0,6602.0,管理费用
64.0,5603.0,财务费用,89.0,6603.0,财务费用
,,,90.0,6701.0,资产减值损失
65.0,5711.0,营业外支出,91.0,6711.0,营业外支出
66.0,5801.0,所得税费用,92.0,6801.0,所得税费用
,,,93.0,6901.0,以前年度损益调整
