品类,商品名称,市场价,双12价,折扣力度,商品链接,推荐理由
裤子,童装冬装2014新款 韩版儿童加绒加厚棉裤 男童裤子宝宝休闲牛仔裤,136,61.2,45%,立即购买,加绒保暖，膝盖贴布双层保护
棉衣,女童 木耳边连帽 下摆抽绳 裙摆 娃娃款棉袄,198,108.0,55%,立即购买,原单的质量，内销的价格，超高性价比，超多好评！
童装外套,儿童中长款加绒棉衣外套,199,98.0,49%,立即购买,店铺主推爆款 点击高
羽绒服,宝宝连帽羽绒服轻柔保暖0-3岁,859,128.0,15%,立即购买,轻柔保暖，含90%白鸭绒
套装,加绒保暖上衣裤子套装,358,179.0,50%,立即购买,冬季保暖 潮
裙子,【大妈家-2014秋冬】纯意大利进口原料 粉色双熊 茸羊毛裙,399,199.5,50%,立即购买,纯意大利进口原料 ，萌系的
T恤卫衣,童装冬装2014新款韩版儿童大童加绒加厚长袖T恤XY469男童卫衣套头,49,39.0,80%,立即购买,实惠的价格   性价比高 100%好评
棉服,米西果男童加厚棉衣外套冬,158,96.0,61%,立即购买,店内爆款，适合4-12岁男童冬装
棉袄,毛呢长款棉袄,258,129.0,50%,立即购买,原创定制，风格独特
棉衣,普哆衣中大男童 中长款棉衣外套,278,218.0,78%,立即购买,宽松舒适 时尚保暖
羽绒服,宝宝羽绒内胆保暖轻盈,269,96.0,36%,立即购买,90%白鸭绒，冬季保暖必备
羽绒服,【杨梅】2014 中性 男女童 轻型羽绒服 保暖 带帽 随意 休闲 欧美,238,119.0,50%,立即购买,极致性价比
羊毛大衣,年装女童冬款毛领夹棉羊毛呢子大衣,298,128.0,43%,立即购买,经典时尚脱卸毛领大衣
玩具,电动万向遇障碍自动转弯音乐带灯光鸭子,109,42.0,39%,立即购买,7首音乐曲2首歌曲多种音效，质量好，爆款
玩具,乐高得宝大颗粒入门套10575,299,178.0,60%,立即购买,让宝宝从此爱上积木的启蒙款乐高，宝爸宝妈必备玩具！2014年新款主打！
玩具,英国高盛多功能旅行箱,270,108.0,40%,立即购买,同款价格最低，可坐可骑的旅行箱
玩具,韩国彩乐福儿童手指画颜料套装 无毒水洗 彩色印泥画画工具 配书,98,39.0,40%,立即购买,超值赠品，色彩丰富饱满、无味、可水洗，安全首选。
玩具,儿童电动车电动汽车宝宝电动童车双驱玩具车四轮小孩遥控汽车可坐,700,348.0,50%,立即购买,8年老店精选酷炫童车。
玩具,kitty儿童三轮车脚踏车/kt经典版韩国小孩手推车/4合1金六一婴儿,656,298.0,45%,立即购买,出口热销，组装更便捷。
玩具,MrP女童包大儿童斜跨包单肩时尚包包韩版可爱兔子公主小孩子包包,259,79.0,31%,立即购买,材质安全环保，面料轻便高级，亲子扮靓圣品。
玩具,汇乐979婴儿响铃不倒翁,80,18.8,24%,立即购买,大牌低价 呆萌可爱 耐摔经玩
玩具,乐高式拼插积木城市警察5-6岁上 小鲁班儿童军事拼装玩具益智男孩,86,42.0,49%,立即购买,益智、灵活，让创意拼装趣味无限。
玩具,奥迪双钻悠悠球,180,78.0,43%,立即购买,火力少年王5热播剧悠悠球?
童鞋,时尚欧美儿童运动鞋,190,88.0,46%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,真皮男童雪地靴3-12岁,398,83.0,21%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,吉普jeep儿童运功鞋,423,129.0,30%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,男童女童牛皮马丁靴加绒中筒靴柔软真皮童鞋,219,95.0,43%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,新款儿童雪地靴皮毛一体蜥蜴纹翻毛流苏短靴女童靴子,368,139.0,38%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,泰兰尼斯童鞋 女童鞋公主保暖加厚棉鞋 真皮亲子短靴冬,289,119.0,41%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,儿童韩版女童蝴蝶结毛绒豆豆鞋 男童加绒保暖棉鞋子,198,82.0,41%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,mr.baby2014冬季儿童长靴 毛绒女童长 童靴 儿童长靴女童棉靴冬靴,198,88.0,44%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,史努比机能鞋男冬 新款男女童学步鞋 健康防滑婴儿鞋 舒适保暖,278,99.0,36%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,玛克邦纳机能鞋秋冬新款儿童学步鞋,359,159.0,44%,立即购买,高档品质，热卖爆款，全年最低价
童鞋,芭比童鞋 2014新秋冬款儿童鞋 女童运动鞋 高帮加厚加绒保暖棉鞋,296,99.0,33%,立即购买,高档品质，热卖爆款，全年最低价
