物料代码,名 称,规 格,单 位,数 量,单价,金额,录入日期,单号,供货商
YC0001,冷板,1.2*1250*1870,张,10,¥100.00,"¥1,000.00",2012年12月1日,No-20120001,1组
YC0008,冷板,1.2*1250*1877,张,10,¥170.00,"¥1,700.00",2012年12月1日,No-20120001,1组
YC0011,冷板,1.2*1250*1880,张,10,¥200.00,"¥2,000.00",2012年12月1日,No-20120001,1组
YC0003,冷极,1.2*1250*1872,张,15,¥120.00,"¥1,800.00",2012年12月14日,No-20120003,A公司
YC0005,玲板,1.2*1250*1874,张,15,¥140.00,"¥2,100.00",2012年12月14日,No-20120003,A公司
YC0007,玲板,1.2*1250*1876,张,21,¥160.00,"¥3,360.00",2012年12月14日,No-20120003,A公司
YC0010,冷板,12*1250*1879,张,6,¥190.00,K1140.00,2012年12月14日,No-20120003,A公司
YC0012,冷板,1.2*1250*1881,张,9,¥210.00,"¥1,890.00",2012年12月14日,No-20120003,A公司
YC0012,冷板,1.2*1250*1881,张,8,¥210.00,"¥1,680.00",2012年12月14日,Na-20120003,A公司
YC0008,冷板,1.2*1250*1877,张,78,¥170.00,"¥13,260.00",2012年12月14日,No-20120003,A公司
YC0006,冷板,1.2*1250*1875,张,54,¥150.00,¥8.100.00,2012年12月14日,No-20120003,A公司
YC0006,冷板,1.2*1250*1875,张,15,¥150.00,"¥2,250.00",2012年12月14日,No-20120003,A公司
YC⁰006,冷板,1.2*1250*1875,张,15,¥150.00,¥2.250.00,2012年12月14日,No-20120003,A公司
YC0004,冷板,1.2*1250*1873,张,20,¥130.00,¥2.600.0,2012年12月21日,No-20120002,C公司
YC0004,冷板,1.2*1250*1873,张,5,¥130.00,¥650.00,2012年12月21日,Na-20120002,C公司
