店号,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：-店号,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：.1,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：-店长姓名,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：-店长姓名.1,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：-店长姓名.2,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：.2,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：.3,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：-联系方式,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：-联系方式.1,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：.4,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：.5,权健森淼自然医学资料订单-所属分公司：年月日星期：时间：.6
建店配置杂志手册资料类,名称,单位,单价,数量,总金额,备注,名称,名称,单位,单价,数量,总金额,备注
建店配置杂志手册资料类,《辽宁文化产业》,本,15元,,,,建店配置光盘类,神圣使命共同完成光盘,张,5元,,,
建店配置杂志手册资料类,（09年7月）,本,（20本起订）,,,,建店配置光盘类,火疗光盘,张,3元,,,
建店配置杂志手册资料类,无店铺创业,本,10本以下38元,,,,建店配置光盘类,权健操光盘,张,3元,,,
建店配置杂志手册资料类,（直销110问）,本,10本以上25元,,,,建店配置光盘类,益菌素光盘,张,3元,,,
建店配置杂志手册资料类,科技中国,本,15元,,,,建店配置光盘类,骨正基光盘,张,3元,,,
建店配置杂志手册资料类,自然医学（11年2期）,本,12元,,,,建店配置光盘类,柠檬40光盘,张,3元,,,
建店配置杂志手册资料类,服务中心规范手册,本,5元,,,,建店配置光盘类,植物DNA光盘,张,3元,,,
建店配置杂志手册资料类,未病工程（含光盘）,本,15元,,,,建店配置光盘类,本草清液光盘,张,3元,,,
建店配置杂志手册资料类,韩文版末病及未病相关产品介绍,本,5元,,,,建店配置光盘类,新版商界纵贯线光盘,张,5元,,,
建店配置杂志手册资料类,权健笔记本,本,3元,,,,建店配置光盘类,本草女人香宣传光盘,张,5元,,,
建店配置杂志手册资料类,权建自然医学产品简介,册,3元,,,,日常耗损类,香柏油,瓶,18元,,,
建店配置杂志手册资料类,改革报（2010.4.30号）,份,2元,,,,日常耗损类,载玻片,50/盒,5元,,,
建店配置杂志手册资料类,改革报（2011.3.3号）,份,3元,,,,日常耗损类,盖玻片,100/盒,5元,,,
建店配置杂志手册资料类,政协报（2012.3.4号）,份,5元,,,,日常耗损类,采血针头,100/盒,24元,,,
建店配置杂志手册资料类,本草女人香成功手册,本,6元,,,,日常耗损类,美容服（兰、粉）,套,40元,,,
建店配置杂志手册资料类,手提袋,个,1元,,,,日常耗损类,脚膜测试纸,本,20元,,,
建店配置杂志手册资料类,酒精瓶,个,3元,,,,日常耗损类,骨正基测试工具,套,168元,,,
建店配置杂志手册资料类,权建自然医学手册,本,20元,,,,日常耗损类,荣誉纪念版奖牌,套,270元,,,
建店配置杂志手册资料类,自然医学（11年3期）,本,12元,,,,日常耗损类,本草女人香形象手册,本,15元,,,
建店配置杂志手册资料类,自然医学（11年4期）,本,12元,,,,日常耗损类,本草女人香美颜秘笈（产品手册）,本,15元,,,
建店配置杂志手册资料类,自然医学（11年5期）,本,12元,,,,日常耗损类,本草女人香手提袋（大）,个,4元,,,
建店配置杂志手册资料类,自然医学（11年6期）,本,12元,,,,日常耗损类,本草女人香手提袋（小）,个,2元,,,
建店配置杂志手册资料类,,,,,,,日常耗损类,本草女人香床罩及被子,套,140元,,,
建店配置杂志手册资料类,,,,,,,日常耗损类,本草女人香美容师服装,件,120元,,,
建店配置杂志手册资料类,,,,,,,日常耗损类,自然医学养生调理诊疗系统,套,50元,,,
建店配置杂志手册资料类,,,,,,,日常耗损类,束总央视《奋斗》访谈光盘,张,5元,,,
建店配置杂志手册资料类,,,,,,,日常耗损类,2012年台历,本,8元,,,
建店配置杂志手册资料类,,,,,,,日常耗损类,,,,,,
业 务 确 认,业 务 确 认,业 务 确 认,业 务 确 认,财 务 确 认,财 务 确 认,财 务 确 认,财 务 确 认,财 务 确 认,财 务 确 认,客 户 确 认,客 户 确 认,客 户 确 认,客 户 确 认
