序号-序号,名称-名称,名称-名称.1,规格型号-规格型号,单位-单位,上期结存合计-数量,上期结存合计-单价,上期结存合计-金额,入库合计-数量,入库合计-单价,入库合计-金额,出库合计-数量,出库合计-单价,出库合计-金额,结存合计-数量,结存合计-单价,结存合计-金额
1,产品1,产品1,/,,210,3,¥630.00,180,3,¥540.00,200,10,"¥2,000.00",190,5.0,¥950.00
2,产品2,产品2,/,个,211,4,¥844.00,75,4,¥300.00,235,12,"¥2,820.00",51,6.5,¥331.50
3,产品3,产品3,/,个,212,5,¥1.060.00,76,5,380.0,236,13,3068.0,52,7.5,¥390.00
4,产品4,产品4,/,个,213,6,"¥1,278.00",77,6,¥462.00,237,14,"¥3,318.00",53,8.5,¥450.50
5,0,000,/,个,214,7,"¥1,498.00",78,7,¥546.00,238,15,"¥3,570.00",54,9.5,¥513.00
6,产品6,产品6,/,,215,8,"¥1,720.00",79,8,¥632.00,239,16,"¥3,824.00",55,10.5,¥577.50
7,产品7,产品7,/,个,216,9,"¥1,944.00",80,9,¥720.00,240,17,"¥4,080.00",56,11.5,¥644.00
8,产品8,产品8,/,个,217,10,"¥2,170.00",81,10,¥810.00,241,18,"¥4,338.00",57,12.5,¥712.50
9,产品9,产品9,/,个,218,11,"¥2,398.00",82,11,¥902.00,242,19,"¥4,598.00",58,13.5,783.0
10,产品10,产品10,/,个,219,12,¥2.628.00,83,12,¥996.0,243,20,¥4.860.00,59,14.5,¥855.50
11,产品11,产品11,/,个,220,13,"¥2,860.00",84,13,"¥1,092.00",244,21,5124.0,60,15.5,¥930.00
12,产品12,产品12,/,个,221,14,"¥3,094.00",85,14,"¥1,190.00",245,22,"¥5,390.00",61,16.5,"¥1,006.50"
13,口   1,口   1,/,个,222,15,"¥3,330.00",86,15,"¥1,290.00",246,23,"¥5,658.00",62,17.5,"¥1,085.00"
14,产品14,产品14,/,个,223,16,"¥3,568.00",87,16,"¥1,392.00",247,24,"¥5,928.00",63,18.5,"¥1,165.50"
