库存管理表-仓库名称：期初日期：酮末日期：单位：个,库存管理表-Inventorymanagementsheet-仓库名称：期初日期：酮末日期：单位：个,库存管理表-Inventorymanagementsheet-仓库名称：期初日期：酮末日期：单位：个.1,库存管理表-Inventorymanagementsheet-仓库名称：期初日期：酮末日期：单位：个.2,库存管理表-Inventorymanagementsheet-仓库名称：期初日期：酮末日期：单位：个.3,产显端码-1010104-仓库名称：期初日期：酮末日期：单位：个,产昆也家-产品4-仓库名称：期初日期：酮末日期：单位：个,产昆也家-仓库名称：期初日期：酮末日期：单位：个,要时进牌0-要时进牌0-仓库名称：期初日期：酮末日期：单位：个,单存数量7-单存数量7-仓库名称：期初日期：酮末日期：单位：个,库存综醒库存不足-库存综醒库存不足-仓库名称：期初日期：酮末日期：单位：个,遵存价值700-遵存价值700-仓库名称：期初日期：酮末日期：单位：个
0,产品输码,产是名称,事均单输,上期结存,本图入库,本排出库,本期本存,安全南存,库存擦醒,库存价植,阶植排名
1,1010101,产品1,100.0,12,2,4,10,10,,1.000.00,5
2,1010102,产品2,100.0,10,4,7,7,10,库存不足,700.0,7
3,1010103,产品3,100.0,11,7,4,14,10,,1400.0,2
4,1010104,产品4,100.0,6,9,8,7,10,库存不足,700.0,7
5,1010105,产品5,100.0,5,4,3,6,10,库存不足,600.0,9
6,1010106,产品6,100.0,12,9,8,13,10,,1300.0,3
7,1010107,产品7,100.0,15,12,3,24,10,,"2,.400.00",1
8,1010108,产品8,100.0,10,10,8,12,10,,1.200.00,4
9,1010109,产89,100.0,6,7,4,9,10,库存不足,900.0,6
10,1010110,产品10,100.0,5,9,8,6,10,库存不足,600.0,9
