附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-层次-层次,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-截面-截面,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-内力-内力,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SGK-SGK,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SQK-SQK,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SWK左-SWK左,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SWK右-SWK右,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SEK左-SEK左,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-SEK右-SEK右,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.4SW-左风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.4SW-右风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.0SGK+1.4*SW-左风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.0SGK+1.4*SW-右风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.26(SQK+SWK)-左风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.26(SQK+SWK)-右风,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.2（SGK+0.5SQK）+1.3SEK]-左震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.2（SGK+0.5SQK）+1.3SEK]-右震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.0（SGK+0.5SQK）+1.3SEK]-左震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-γRE[1.0（SGK+0.5SQK）+1.3SEK]-右震,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.35SGK+1.4*(0.7*SQK+0.6*Swk)-左,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.35SGK+1.4*(0.7*SQK+0.6*Swk)-右,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-1.2SGK+1.4SQK-1.2SGK+1.4SQK,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-|Mmax|-N,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-Nmin-M,附表2框架柱B弯矩和轴力组合-附表2框架柱B弯矩和轴力组合-Nmax-M
4,柱顶,M,45.88,-1.76,8.13,-7.41,91.02,-105.23,66.44,44.68,57.26,35.5,63.09,43.5,129.25,-62.09,122.5,-68.84,66.92,53.87,52.6,129.25,66.92,-68.84
4,柱顶,N,-155.32,-7.55,-2.19,2.04,-24.99,26.42,-189.45,-183.52,-158.38,-152.46,-198.65,-193.32,-167.55,-117.43,-143.68,-93.56,-219.45,-215.89,-196.95,-167.55,-219.45,-93.56
4,柱底,M,-34.98,-2.75,-3.15,2.67,-41.92,50.05,-46.39,-38.24,-39.39,-31.24,-49.42,-42.08,-73.59,16.08,-68.14,21.53,-52.76,-47.87,-45.83,16.08,-52.76,21.53
4,柱底,N,-177.82,-7.55,-2.19,2.04,-24.99,26.42,-216.45,-210.52,-180.88,-174.96,-225.65,-220.32,-187.8,-137.68,-160.56,-110.44,-249.82,-246.27,-223.95,-117.43,-219.45,-93.56
3,柱顶,M,51.19,2.07,13.26,-12.67,130.96,-144.15,79.99,43.7,69.75,33.46,80.75,48.08,174.69,-93.55,166.86,-101.38,82.42,60.65,64.33,174.69,82.42,-101.38
3,柱顶,N,-334.26,-40.27,-6.53,6.15,-71.22,75.62,-410.25,-392.49,-343.4,-325.64,-460.08,-444.1,-388.39,-245.23,-335.23,-192.07,-499.02,-488.36,-457.49,-388.39,-499.02,-192.07
3,柱底,M,-45.06,-2.52,-8.64,7.4,-97.56,108.41,-66.17,-43.71,-57.15,-34.7,-68.13,-47.92,-136.8,64.01,-129.86,70.96,-70.73,-57.26,-57.6,64.01,-70.73,70.96
3,柱底,N,-356.76,-40.27,-6.53,6.15,-71.22,75.62,-437.25,-419.49,-365.9,-348.14,-487.08,-471.1,-408.64,-265.48,-352.11,-208.94,-529.39,-518.74,-484.49,-245.23,-499.02,-192.07
2,柱顶,M,44.35,2.66,17.3,-17.91,149.33,-165.36,77.44,28.16,68.57,19.29,78.37,34.02,186.71,-120.11,179.86,-126.96,77.2,47.64,56.95,186.71,77.02,-126.96
2,柱顶,N,-513.67,-73.08,-13.37,12.85,-136.63,145.33,-635.11,-598.4,-532.38,-495.67,-725.33,-692.29,-628.4,-353.5,-545.87,-270.96,-781.42,-759.39,-718.72,-628.4,-781.42,-270.96
2,柱底,M,-44.32,-3.78,-14.72,7.0,-142.54,154.9,-73.78,-43.37,-64.92,-34.51,-76.48,-49.11,-180.56,109.45,-173.63,116.38,-76.15,-57.91,-58.47,109.45,-76.15,116.38
2,柱底,N,-536.17,-73.08,-13.37,12.85,-136.63,145.33,-662.11,-625.4,-554.88,-518.17,-752.33,-719.29,-648.65,-373.75,-562.75,-287.84,-811.79,-789.77,-745.72,-353.5,-781.42,-270.96
1,柱顶,M,45.92,3.91,19.05,-33.7,149.76,-173.74,81.77,7.93,72.59,-1.26,84.03,17.57,189.11,-126.31,181.92,-133.49,82.1,37.79,60.58,189.11,82.1,-133.49
1,柱顶,N,-693.66,-106.67,-22.17,23.0,-212.83,228.0,-863.42,-800.18,-724.69,-661.45,-994.73,-937.81,-879.8,-449.99,-767.75,-337.95,-1067.06,-1029.12,-981.73,-879.8,-1067.06,-337.95
1,柱底,M,-30.18,-2.0,-40.19,60.64,-336.61,398.9,-92.48,48.68,-86.44,54.72,-89.37,37.68,-356.26,360.86,-351.58,365.54,-76.6,8.1,-39.01,365.54,-76.6,365.54
1,柱底,N,-724.91,-106.67,-22.17,23.0,-212.83,228.0,-900.92,-837.68,-755.94,-692.7,-1032.23,-975.31,-907.93,-478.12,-791.19,-361.38,-1109.25,-1071.31,-1019.23,-337.95,-1067.06,-337.95
