商品编号,商品名称,门店做单价格,时代城验收量,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
125778.0,小红椒,15.415,5.7,,,精品莴笋,莴笋,2.06
346956.0,紫苏菜,14.484,0.0,,,精品茭头,茭头,0.0
81974.0,韭黄,12.444,1.0,,,精品子姜,子姜,0.0
125747.0,韭菜花,12.444,1.0,,,精品紫苞菜,红苞菜,4.0
125780.0,荷兰豆,12.444,5.0,,,精品玉米,玉米,4.5
125750.0,蒜苔,10.519,8.9,,,精品银针菇,银针菇,0.0
122590.0,水瓜,8.725,24.3,,,精品洋葱,洋葱,4.49
125789.0,西兰花,8.456,44.5,,,精品秀珍菇,秀珍菇,0.0
125730.0,通心菜,8.394,8.7,,,精品杏鲍菇,杏鲍菇,0.0
125734.0,菜芯,8.364,5.0,,,精品蟹味菇,蟹味菇,0.0
108767.0,紫贝菜,8.364,0.0,,,精品小红椒,小红椒,15.41
312616.0,日本小青瓜,8.364,5.0,,,精品小瓜,小瓜,3.21
122618.0,大红椒,8.12,0.0,,,精品小白菜,小白菜,3.0
70469.0,线椒,7.362,14.0,,,精品香芋仔,香芋仔,3.0
125738.0,芥兰,7.344,2.0,,,精品香麦菜,香麦菜,2.4
125779.0,青尖椒,7.336,63.3,,,精品香菇,香菇,0.0
70486.0,长豆角,7.3,9.6,,,精品线椒,线椒,7.36
130483.0,四季豆,7.242,0.0,,,精品鲜木耳,鲜木耳,0.0
125758.0,蒜头,7.081,19.7,,,精品西芹,西芹,0.2
126447.0,红尖椒,6.752,14.6,,,精品西兰花,西兰花,8.46
130169.0,折耳根,6.732,5.0,,,精品西红柿,西红柿,4.48
258481.0,茭头,6.647,0.0,,,精品土豆,土豆,4.85
70508.0,苦瓜,6.303,57.9,,,精品蒜头,蒜头,7.08
11012.0,夕里红,6.069,0.0,,,精品蒜苔,蒜苔,10.52
648947.0,精品蒜仁,5.916,3.0,,,精品蒜仁,精品蒜仁,5.92
463342.0,紫心红薯,5.768,0.0,,,精品蒜苗,蒜苗,2.41
122587.0,红茄子,5.141,0.0,,,精品四季豆,四季豆,7.24
125733.0,上海青,4.894,33.2,,,精品丝瓜,丝瓜,0.0
272001.0,精品青瓜,4.846,96.7,,,精品生姜,生姜,3.0
125763.0,土豆,4.845,0.0,,,精品生葱,生葱,5.0
70499.0,莲藕,4.692,60.0,,,精品生菜,生菜,2.4
652307.0,精品去皮芋头,4.692,5.0,,,精品上海青,上海青,4.89
125745.0,甜白菜,4.499,0.0,,,精品日本小青瓜,日本小青瓜,0.0
70473.0,玉米,4.495,35.0,,,精品去皮芋头,去皮芋头,0.0
125760.0,洋葱,4.488,0.0,,,精品青尖椒,青尖椒,7.34
125775.0,西红柿,4.477,73.3,,,精品青瓜,青瓜,3.94
70467.0,淮山,4.37,40.8,,,精品七彩椒,精品七彩椒,0.0
70507.0,青瓜,3.94,0.0,,,精品牛蒡,牛蒡,7.8
122630.0,小瓜,3.209,64.7,,,精品南瓜,南瓜,2.03
146301.0,青南瓜,3.147,104.0,,,精品莲藕,莲藕,4.69
81969.0,红萝卜,3.142,97.0,,,精品苦瓜,苦瓜,6.3
122588.0,长白菜,3.109,29.5,,,精品韭黄,韭黄,12.44
70556.0,红薯,2.977,0.0,,,精品韭菜花,韭菜花,12.44
125731.0,大白菜,2.367,0.0,,,精品韭菜,韭菜,4.71
125784.0,莴笋,2.061,8.9,,,精品京苞菜,京苞菜,1.8
11013.0,黄豆芽,1.868,7.8,,,精品淮山,淮山,4.37
125782.0,大葱,1.867,8.0,,,精品花生苗,花生苗,0.0
149566.0,绿豆芽,1.815,15.7,,,精品花菜,花菜,3.86
125756.0,冬瓜,1.715,0.0,,,精品红薯,红薯,2.98
125773.0,白萝卜,1.438,61.4,,,精品红茄子,红茄子,5.14
125742.0,大苞菜,0.864,23.2,,,精品红萝卜,红萝卜,3.14
70475.0,西芹,0.204,5.5,,,精品红尖椒,红尖椒,6.75
125732.0,小白菜,3.0,11.4,,,精品黑茄子,黑茄子,6.4
122633.0,白菜心,3.6,35.4,,,精品荷兰豆,荷兰豆,12.44
130775.0,冬寒菜,4.0,5.2,,,精品娃娃菜,高山娃娃菜,0.0
125751.0,芹菜,2.4,66.6,,,精品独蒜头,独蒜头,19.0
125736.0,生菜,2.4,20.3,,,精品冬瓜,冬瓜,1.72
125749.0,香菜,5.6,2.3,,,精品大红椒,大红椒,8.12
,,,,,,精品大葱,大葱,1.87
,,,,,,精品大苞菜,大苞菜,0.86
,,,,,,精品大白菜,大白菜,2.37
,,,,,,精品长豆角,长豆角,7.3
,,,,,,精品长白菜,长白菜,3.11
,,,,,,精品茶树菇,茶树菇,0.0
,,,,,,精品菜芯,菜芯,8.36
,,,,,,精品菠菜,菠菜,4.4
,,,,,,精品白萝卜,白萝卜,1.44
