商品编号,商品名称,本期销量,实际销售
917904.0,特级水晶红富士75#,856.992,6808.84
125824.0,板油,301.738,3003.1
70665.0,中国香米（JD）,455.247,2180.95
412064.0,酱菜系列(4)(C),87.182,2219.73
305358.0,榴莲(C),88.914,2065.5
907884.0,椰茹蛋糕（C）,72.66,1992.7
82069.0,后腿肉,108.936,1951.1
82070.0,前腿肉,75.04,1686.2
70667.0,丝苗米（JD）,330.645,1574.63
688778.0,南北特休闲糕点（C）,62.298,1169.33
70411.0,火龙果,75.774,1143.96
14563.0,白壳鲜鸡蛋,112.616,954.84
650973.0,水仙芒（C）,31.01,916.4
70666.0,珍珠米（JD）,201.141,913.07
900909.0,湘佳优质麻鸡（C）,38.754,834.9
328008.0,经济快餐(二荤二素),125.0,801.91
82071.0,五花肉,37.466,797.52
451255.0,赣南脐橙(C),174.038,786.62
375344.0,优质肋排,11.114,705.5
211082.0,哈密瓜(C),50.188,698.19
907895.0,油薄脆（C）,20.56,686.99
346148.0,海南香蕉(C),85.938,679.42
685820.0,活基围虾（C）,6.426,637.42
772071.0,雄鱼(C),42.284,636.52
525829.0,牛里脊(C),6.25,619.54
451270.0,进口香蕉(C),62.374,617.85
680300.0,香油粉（C）,35.332,616.86
346852.0,新奇士(C),22.054,605.75
34904.0,椰子餐包,314.0,596.58
689312.0,麻辣香干(C),19.856,583.6
70353.0,雪梨,147.672,579.65
448160.0,腰芒(C),31.24,547.0
343674.0,馒头（个）(C),577.0,519.22
451279.0,小台龙芒(C),39.616,518.1
918696.0,绿豆（自营）,52.186,516.37
821297.0,精品香梨（C）,29.394,515.32
679832.0,网纹蜜瓜(C),29.086,507.08
375343.0,优质排骨,10.696,508.2
821292.0,精品水晶红富士80#（C),31.744,504.39
125779.0,青尖椒,70.436,496.6
679828.0,特级水晶红富士85#(C),35.41,493.3
70507.0,青瓜,83.58,491.85
82083.0,龙骨,20.526,489.97
907909.0,曲奇(C),16.45,484.23
126909.0,白糖,72.984,475.11
731657.0,北京烤鸭（C）,10.208,464.7
94061.0,核桃(C),7.562,449.9
412047.0,优质猪扒,17.432,439.93
412050.0,优质大骨,16.136,439.73
648230.0,薏米（C）,21.992,431.9
672734.0,鲫鱼（C),28.226,425.25
82072.0,大骨,44.626,406.4
442843.0,鲶鱼（C）,35.012,405.3
353557.0,水果礼篮(大)(C),400.0,400.0
758414.0,麻辣烤鸡（C）,37.0,399.03
392263.0,大冰糖(C),34.636,390.68
15546.0,扇骨,16.654,388.4
375339.0,优质五花肉,13.734,382.5
451296.0,菠萝(C),71.366,379.84
375340.0,优质前上肉,13.45,366.4
440692.0,神丹鸟王鲜鸡蛋15枚,17.0,304.3
124943.0,瘦肉,12.69,347.7
797133.0,海欣火锅丸（C）,11.632,343.33
70508.0,苦瓜,48.542,342.05
648171.0,红莲（C）,8.376,330.5
592653.0,黑美人西瓜(C),32.51,323.2
448236.0,木瓜(C),32.092,316.43
82099.0,猪手,11.524,315.94
803058.0,观赏鱼系列(C),311.0,310.75
125775.0,西红柿,52.642,309.25
122630.0,小瓜,59.224,300.42
855342.0,广式蒸饺（C）,10.904,298.73
431858.0,红巴梨(C),24.788,295.6
350972.0,红豆(C),21.28,294.78
348285.0,黑米(C),21.398,290.9
87499.0,鸡中翅,4.964,284.05
81969.0,红萝卜,91.124,281.08
122590.0,水瓜,20.178,279.13
713251.0,提子土司,43.0,279.5
450841.0,佳力果(C),10.032,276.2
346145.0,黄香瓜(C),19.822,275.8
125789.0,西兰花,34.332,270.65
412052.0,优质猪肚,3.86,268.2
82039.0,猪碎肉,13.58,264.96
638261.0,精品杏鲍菇(C),15.242,264.99
70675.0,白糯米（JD）,39.368,255.08
87241.0,炒田螺,14650.0,255.93
772038.0,淡干小墨鱼(C),1.174,253.2
146301.0,青南瓜,63.254,246.44
302918.0,龙眼(C),8.096,239.3
679839.0,大台农芒(C),8.632,237.6
213361.0,基围虾(C),2.95,234.4
15534.0,凤爪,11.618,229.43
241270.0,草鱼(C),16.67,228.8
451226.0,草莓(C),5.722,225.9
122876.0,香枕蛋糕,38.0,223.74
641792.0,调味鸡翅中（C),3.902,224.1
639087.0,小馒头（C）,16.52,221.3
