代码,名称,买入价,卖出价,减,加,注备,股数,买入金额,卖出金额,Unnamed: 10,Unnamed: 11,Unnamed: 12
600057,象屿股份,5.75,6.44,,690.0,,1000.0,,,,,
671,阳光城,6.45,6.6,,225.0,,1500.0,,,,,
600755,南京熊猫,5.99,6.11,,120.0,,1000.0,5990,6110.0,,,
671,阳光城,6.65,7.23,,726.6,,1500.0,,10875.0,,,
60057,象屿股份,6.49,,,,,1100.0,7271,,,,
671,阳光城,7.04,8.3,,1260.0,,1500.0,10560,,,,
671,城,7.04,7.82,,390.0,,500.0,3520390,3910.0,,,
671,阳光城,7.6,8.08,,240.0,,500.0,3800,4040.0,,,
671,阳光城,7.6,7.85,,125.0,,500.0,3800,3925.0,,,
三月份,,,,,,,,,,,,
600602,广电电子,5.24,6.25,,505.0,,500.0,2620,3125.0,,,
60057,象屿股份,7.02,,,,,800.0,5616,,,,
671,阳光城,8.08,8.1,,,,1300.0,10504,10530.0,,,
600288,大恒          8.86,7.24,8.9,8.86,830.0,8860///=/1620//==,1400.0,9412,4500.0,还有1500股,还有500,卖1000股十1620
60057,象屿股份,5.72,5.97,,200.0,,800.0,4576,4776.0,,,
四月份,红豆,4.85,5.6,,900.0,,1200.0,\5820,6720.0,,,
,红豆,4.95,5.27,,320.0,,1000.0,4950,5270.0,,,
,象屿,6.2,6.48,,244.0,,800.0,4960,5184.0,,,
,红豆,5.05,5.49,,484.0,,1100.0,5555,6039.0,,,
,大恒,7,7.54,,432.0,,800.0,5600,6032.0,,,
五冃份,红豆,5.27,5.4,,130.0,,1000.0,5270,5400.0,,,
,大恒,6.95,7.77,,820.0,,1100.0,7546,7770.0,还有100股,,
,大恒,6.9,7.35,,360.0,,800.0,5520,5880.0,,,
,大恒,6.9,7.37,,423.0,,900.0,6210,6633.0,,,
2013.1.24,大恒,6.7,7.44,,740.0,,1000.0,6700,7440.0,,,
,大恒,8.37,,,,,500.0,4185,,,,
,大恒,7.53,7.88,,175.0,,500.0,3765,3940.0,,,
,恒,7.26,8.27,,505.0,,500.0,3630,4135.0,,,
,恒,6.5,8.07,,942.0,,600.0,3900,4842.0,,,
,大恒,6.87,7.5,,252.0,,400.0,2748,300.0,,,
,大恒,7.8,8.74,,658.0,,700.0,5460,6118.0,,,
,红豆,4.05,4.75,,700.0,,1000.0,4050,4750.0,,,
600864,同济科技,5.61,,,,,500.0,2806,,,,
979,中弘股份,8.33,,,,,900.0,7497,,,,
979,中弘股份,9.14,,,,,900.0,8226,,,,
600288,大恒,8.26,8.74,8.86,336.0,,700.0,5782,6118.0,,,
2013.8.15大恒,,8.26,8.86,,420.0,,700.0,5782,6002.0,,,
2013.8.13北巴传媒,,7.14,8.0,,1462.0,,1700.0,12138,13600.0,,,
2013.9.16所有红豆卖出,,,6.33,,1085.67,,2260.0,,14305.8,,,
2013.9.17,红豆,6,,,,,1000.0,6000,,,,
2013.8.,红豆,5.75,,,,,1000.0,5750,,,,
2013.9.26大恒,,8,8.3,,450.0,,1500.0,12000,12450.0,,,
2013.8.26,阳光城,11.5,,,,,1000.0,1150,,,,
2013.0927红豆,,5.17,5.93,,,1000+++760+,2500.0,12925,,还有1500,,
,红豆,5.76,,,,,1000.0,5760,,,,
,同济科技,卖出,9.57,,,,,8134.5,,,,
,同济科技,8.84,,,,,900.0,7956,,,,
,中弘股份,3.33,,,,,1000.0,3330,,,,
