项目要素-项目要素,序号-序号,名称-代码,格力电器,贵州茅台,中国平安,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
基本股票信息,1,股价,18,120,25,,,,,,
基本股票信息,2,每股盈利【（净利润-优先股股利）/发行在外的普通股平均股数】,2.35,13.44,2.45,,,,,,
基本股票信息,3,当前市盈率【P/E每股市价/每股利润】小于13被低估；14-20股价正常；大于28为投机,7.65,8.93,10.2,,,,,,
基本股票信息,4,市净率【P/B每股市价/每股净资产】,2.57,2.37,1.38,,,,,,
基本股票信息,5,每股净资产（每股账面价值）【股东权益总额/发行在外的普通股股数】,7,50.6,18.12,,,,,,
基本股票信息,6,股息率【（现金股利总额-优先股股利）/普通股总股份数】,0.083,0.036,0.01,,,,,,
基本股票信息,7,总市值,1020,2142,4575,,,,,,
历史与未来,1,最高点,31.55,259,46.9,,,,,,
历史与未来,2,历史底部市盈率,7.58,6.7,11.8,,,,,,
历史与未来,3,历史底部市净率,2.4,2.1,1.5,,,,,,
历史与未来,4,历史底部股息率,0.053,0.0714,0.006,,,,,,
历史与未来,5,未来一年预测利润,2.82,13.72,2.95,,,,,,
历史与未来,6,未来一年市盈率,6.38,8.74,8.475,,,,,,
历史与未来,7,未来两年预测利润,3.39,15.09,3.93,,,,,,
历史与未来,8,未来两年市盈率,5.3,7.95,6.36,,,,,,
历史与未来,9,PEG【每股收益/净利润增长率，小于0.5较好，大于1被高估，适用于成长性行业；不适宜成熟行业、亏损行业、盈余正衰退行业】,0.54,1.24,0.33,,,,,,
巴菲特三数据,1,净资产收益率15%（ORE、股东权益报酬率、所有者权益报酬率）,32%,30%,13%,,,,,,
巴菲特三数据,2,净利润率5%（PMS=净利润/营业收入净额）,11%,49%,10%,,,,,,
巴菲特三数据,3,毛利率40%【（营业收入净额-营业成本）/营业收入净额】,36%,92%,17%,,,,,,
1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；,1、以银行业角度判断评估公司价值，是否愿意长期借贷；
2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；,2、非金融业利息保障率倍数大于7倍；
3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。,3、是否有良好的现金流，关注企业未来是否持续盈余。
