Unnamed: 0,工程项目收入成本财务数据统计分析表,工程项目收入成本财务数据统计分析表.1,工程项目收入成本财务数据统计分析表.2,工程项目收入成本财务数据统计分析表.3,工程项目收入成本财务数据统计分析表.4,工程项目收入成本财务数据统计分析表.5,工程项目收入成本财务数据统计分析表.6,工程项目收入成本财务数据统计分析表.7,工程项目收入成本财务数据统计分析表.8,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,,,,,,,
,序号,项目名称,项目工程量,开工日期,截止日期,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,收入金额,成本金额,其他支出,当前利润,利润率,完成工程量,完成进度
,序号,项目名称,项目工程量,开工日期,截止日期,1月1日,2月1日,3月1日,4月1日,5月1日,6月1日,7月1日,8月1日,9月1日,10月1日,11月1日,12月1日, 收入金额 , 成本金额 , 其他支出 , 当前利润 ,利润率,完成工程量,完成进度
14.0,1,项目_1,234,2023/1/1,2023/6/1,1,1,1,1,1,1,,,,,,,1200.0,500.0,200.0,500.0,41.67%,100,42.74%
7.0,2,项目_2,150,2023/3/2,2023/12/2,,,1,1,1,1,1,1,1,1,1,1,1800.0,600.0,100.0,1100.0,61.11%,100,66.67%
10.0,3,项目_3,280,2023/1/3,2023/5/3,1,1,1,1,1,,,,,,,,1700.0,800.0,150.0,750.0,44.12%,240,85.71%
12.0,4,项目_4,190,2023/6/4,2023/11/4,,,,,,1,1,1,1,1,1,,1400.0,500.0,170.0,730.0,52.14%,170,89.47%
3.0,5,项目_5,120,2023/1/5,2023/6/5,1,1,1,1,1,1,,,,,,,2000.0,400.0,200.0,1400.0,70.00%,110,91.67%
5.0,6,项目_6,140,2023/1/9,2023/9/6,1,1,1,1,1,1,1,1,1,,,,1700.0,300.0,140.0,1260.0,74.12%,120,85.71%
1.0,7,项目_7,170,2023/8/7,2023/12/7,,,,,,,,1,1,1,1,1,2700.0,700.0,200.0,1800.0,66.67%,150,88.24%
6.0,8,项目_8,220,2023/1/8,2023/6/8,1,1,1,1,1,1,,,,,,,1900.0,500.0,240.0,1160.0,61.05%,200,90.91%
10.0,9,项目_9,190,2023/3/2,2023/6/2,,,1,1,1,1,,,,,,,1200.0,300.0,150.0,750.0,62.50%,170,89.47%
9.0,10,项目_10,180,2023/4/3,2023/12/3,,,,1,1,1,1,1,1,1,1,1,1700.0,700.0,200.0,800.0,47.06%,160,88.89%
8.0,11,项目_11,200,2023/8/4,2023/12/4,,,,,,,,1,1,1,1,1,1900.0,800.0,170.0,930.0,48.95%,180,90.00%
4.0,12,项目_12,140,2023/1/5,2023/5/5,1,1,1,1,1,,,,,,,,2500.0,1000.0,200.0,1300.0,52.00%,100,71.43%
2.0,13,项目_13,150,2023/3/13,2023/8/13,,,1,1,1,1,1,1,,,,,2400.0,600.0,300.0,1500.0,62.50%,120,80.00%
13.0,14,项目_14,200,2023/7/14,2023/12/14,,,,,,,1,1,1,1,1,1,1300.0,500.0,150.0,650.0,50.00%,150,75.00%
