序号,变速箱型号,自制件名称,软加工在制,软后热前,热处理在制,热后硬前,硬加工在制,硬后,装配线在制品数量
1,L002002|变速箱,一档被齿,0,0,261,1666,868,469,0
2,L002002|变速箱,二档被齿,0,0,0,0,50,713,48
3,L002002|变速箱,三档主齿,0,0,0,0,100,110,0
4,L002002|变速箱,四档主齿,273,480,0,0,0,219,0
5,L002002|变速箱,五档主齿,0,0,1147,1241,833,0,0
6,L002002|变速箱,倒档被齿,0,0,2155,717,217,0,22
7,L002002|变速箱,倒档主齿,0,0,0,0,0,257,0
8,L002002|变速箱,五档齿毂,0,0,0,0,0,3039,25
9,L002002|变速箱,三四齿套,0,0,2860,0,0,169,71
10,L002002|变速箱,二档轴套,0,0,0,0,0,0,0
11,L002002|变速箱,输入轴,970,86,0,285,0,46,124
12,L002002|变速箱,输出轴,0,0,96,165,0,0,0
13,L002002|变速箱,变速器壳体,--,--,--,0,26,14,166
14,L002002|变速箱,差速器壳体,--,--,--,0,0,300,138
15,L002002|变速箱,离合器壳体,--,--,--,0,26,53,106
16,L002002|变速箱,三档被齿,0,791,2400,0,0,61,0
17,L002002|变速箱,四档被齿,0,0,3120,0,0,187,0
18,L002002|变速箱,五档被齿,689,371,692,0,0,0,28
19,L002002|变速箱,一二齿套,0,0,2731,0,0,276,81
20,L002002|变速箱,倒档齿套,0,0,0,0,0,3301,159
21,L002002|变速箱,五挡齿套,0,0,2700,0,0,439,37
22,L002002|变速箱,主减齿轮,50,94,300,235,0,77,145
23,1234123|,五档从动C61X,689,371,692,--,--,0,0
