月份,结余金额,日期,摘要,收入金额,日期.1,摘要.1,支出金额,备注信息,月份.1,收入金额.1,文出金额,结余金额.1
1月,35879.02,2023/1/1,xxxx,1700.0,2023/1/1,xxxxxx,600.0,xxxx,1月,53025.17,17146.15,35879.02
2月,36247.9,2023/2/1,xxxxxx,2000.0,2023/2/1,xxxxxx,1000.0,xxxx,2月,53932.52,17684.62,36247.9
3月,36116.78,2023/3/20,xxxxxx,1500.0,2023/3/20,xxxxxx,1100.0,xxxx,3月,54039.86,17923.08,36116.78
4月,37385.66,2023/4/1,xxxxxx,2100.0,2023/4/1,xxxxxx,900.0,xxxx,4月,55247.2,17861.54,37385.66
5月,38354.55,2023/5/1,xxxxxx,2500.0,2023/5/1,xxxxxx,800.0,xxxx,5月,56254.55,17900.0,38354.55
6月,36923.43,2023/6/1,xxxxxx,1000.0,2023/6/1,xxxxxx,1200.0,xxxx,6月,55361.89,18438.46,36923.43
7月,37792.31,2023/7/1,xxxxxx,1600.0,2023/7/1,xxxxxx,1400.0,xxxx,7月,56569.23,18776.92,37792.31
8月,39461.19,2023/8/1,xxxxxx,2100.0,2023/8/1,xxxxxx,700.0,xxxx,8月,57676.57,18215.38,39461.19
9月,39330.07,2023/9/1,xxxxxx,2200.0,2023/9/1,xxxxxx,1400.0,xxxx,9月,58383.92,19053.85,39330.07
10月,40498.95,2023/10/1,xxxxxx,2800.0,2023/10/1,xxxxxx,1300.0,xxxx,10月,59591.26,19092.31,40498.95
11月,41667.83,2023/11/1,xxxxxx,2900.0,2023/11/1,xxxxxx,700.0,xxxx,11月,60298.6,18630.77,41667.83
12月,40936.71,2023/12/1,xxxxxx,1900.0,2023/12/1,xxxxxx,900.0,xxxx,12月,59905.94,18969.23,40936.71
合计金额,460594.41,2023/1/1,xxxxxx,2463.64,2023/1/1,xxxxxx,1100.0,xxxx,合计,680286.71,219692.31,460594.41
