xxx公司2012年3月19日--3月25日生产计划-序号,xxx公司2012年3月19日--3月25日生产计划-工程名称,xxx公司2012年3月19日--3月25日生产计划-项目,xxx公司2012年3月19日--3月25日生产计划-工程总量（T）,xxx公司2012年3月19日--3月25日生产计划-数量（件）,xxx公司2012年3月19日--3月25日生产计划-本月完成量（T）,xxx公司2012年3月19日--3月25日生产计划-来料情况,xxx公司2012年3月19日--3月25日生产计划-2012年3月18日-3月12日--3月18日计划,xxx公司2012年3月19日--3月25日生产计划-2012年3月18日-备注
1,华置广场,TD22-25层,30,22.0,30.0,材料已到齐,全部完成,
1,华置广场,TD26-29层,90,54.0,90.0,部分材料差,全部完成,
1,华置广场,QL4- D1、D2、B1钢柱,90,54.0,90.0,材料计划已提,下料、组立完成，构成铆拼条件,
1,华置广场,QL4- D1、D2、B1钢梁,250,28.0,220.0,材料已到齐,全部完成,
1,华置广场,QL4- C3、C4钢柱,250,54.0,220.0,材料已到齐,全部完成,
1,华置广场,QL4- C3、C4钢梁,240,46.0,240.0,材料已到齐,全部完成,
1,华置广场,QL4- C3、C4钢梁,240,37.0,240.0,材料已到齐,C3区完成，C4区部分完成,
2,富临大都会,2F钢柱,95,23.0,40.0,材料未齐,开始下料、组立，按计划出成品,
3,川汽新能源汽车,钢柱、钢梁,330,330.0,60.0,材料已到齐,全部完成,
3,川汽新能源汽车,柱撑/水平支撑/系杆,30,20.0,30.0,材料已到齐,牛腿、辅梁、其他构件、附件全部完成,
3,川汽新能源汽车,吊车梁/桁架系统,150,96.0,,材料未到,根据材料及安排情况而定,
4,四川建华管桩,B车间吊车梁及桁架,130,110.0,90.0,材料已到齐,桁架角钢完成,
4,四川建华管桩,B车间平台梁、柱,130,20.0,90.0,材料已到齐,全部完成,
4,四川建华管桩,天窗架、拌合楼,130,,90.0,材料已到齐,拌合楼完成,
4,四川建华管桩,A、B堆场吊车梁,160,280.0,,材料已到齐,,
4,四川建华管桩,A、B堆场桁架及支撑,113,,50.0,材料已到齐,24-51线剩余部分剩余柱间支撑完成,
5,一汽大众7#,钢柱钢梁,260,,260.0,材料部分差,,
5,一汽大众7#,柱撑、系杆、隅撑,30,,30.0,材料已到齐,柱间支撑及柱顶系杆全部完成,
6,剑南春,吊车梁/桁架系统,275,220.0,220.0,材料已到齐,穿插开始铆焊,
6,剑南春,25-30轴线钢架,30,78.0,,材料已到齐,,
7,剑南春,小厂房,6,,6.0,材料已到齐,3月20日前完成并发车,
8,来福士,小钢柱,10,65.0,10.0,材料已到齐,型钢和增补小钢柱制作完成并发车,
合计,合计,,2319,,1466.0,,,
