名称,型号,单位,数值
菱形花纹钢板,δ2.5,kg/m2,21.6
菱形花纹钢板,δ3.0,kg/m2,25.6
菱形花纹钢板,δ3.5,kg/m2,29.5
菱形花纹钢板,δ4.0,kg/m2,33.39
菱形花纹钢板,δ4.5,kg/m2,37.3
菱形花纹钢板,δ5.0,kg/m2,42.3
菱形花纹钢板,δ5.5,kg/m2,46.2
菱形花纹钢板,δ6.0,kg/m2,50.1
菱形花纹钢板,δ7.0,kg/m2,59.0
菱形花纹钢板,δ8.0,kg/m2,66.79
扁豆形花纹钢板,δ2.5,kg/m2,21.3
扁豆形花纹钢板,δ3.0,kg/m2,24.4
扁豆形花纹钢板,δ3.5,kg/m2,28.4
扁豆形花纹钢板,δ4.0,kg/m2,32.39
扁豆形花纹钢板,δ4.5,kg/m2,36.39
扁豆形花纹钢板,δ5.0,kg/m2,40.5
扁豆形花纹钢板,δ5.5,kg/m2,44.3
扁豆形花纹钢板,δ6.0,kg/m2,48.39
扁豆形花纹钢板,δ7.0,kg/m2,52.6
扁豆形花纹钢板,δ8.0,kg/m2,56.39
圆豆形花纹钢板,δ2.5,kg/m2,21.1
圆豆形花纹钢板,δ3.0,kg/m2,24.3
圆豆形花纹钢板,δ3.5,kg/m2,28.3
圆豆形花纹钢板,δ4.0,kg/m2,32.29
圆豆形花纹钢板,δ4.5,kg/m2,36.2
圆豆形花纹钢板,δ5.0,kg/m2,40.2
圆豆形花纹钢板,δ5.5,kg/m2,44.1
圆豆形花纹钢板,δ6.0,kg/m2,48.1
圆豆形花纹钢板,δ7.0,kg/m2,52.39
圆豆形花纹钢板,δ8.0,kg/m2,56.2
