名称,型号,单位,数值
热轧扁钢,－10×3,kg/m,0.2399
热轧扁钢,－10×4,kg/m,0.31
热轧扁钢,－10×5,kg/m,0.39
热轧扁钢,－10×6,kg/m,0.47
热轧扁钢,－10×7,kg/m,0.55
热轧扁钢,－10×8,kg/m,0.63
热轧扁钢,－12×3,kg/m,0.28
热轧扁钢,－12×4,kg/m,0.38
热轧扁钢,－12×5,kg/m,0.47
热轧扁钢,－12×6,kg/m,0.57
热轧扁钢,－12×7,kg/m,0.66
热轧扁钢,－12×8,kg/m,0.75
热轧扁钢,－14×3,kg/m,0.33
热轧扁钢,－14×4,kg/m,0.44
热轧扁钢,－14×5,kg/m,0.55
热轧扁钢,－14×6,kg/m,0.66
热轧扁钢,－14×7,kg/m,0.77
热轧扁钢,－14×8,kg/m,0.88
热轧扁钢,－16×3,kg/m,0.38
热轧扁钢,－16×4,kg/m,0.5
热轧扁钢,－16×5,kg/m,0.63
热轧扁钢,－16×6,kg/m,0.75
热轧扁钢,－16×7,kg/m,0.88
热轧扁钢,－16×8,kg/m,1.0
热轧扁钢,－16×9,kg/m,1.15
热轧扁钢,－16×10,kg/m,1.26
热轧扁钢,－18×3,kg/m,0.4199
热轧扁钢,－18×4,kg/m,0.57
热轧扁钢,－18×5,kg/m,0.7099
热轧扁钢,－18×6,kg/m,0.8499
热轧扁钢,－18×7,kg/m,0.9899
热轧扁钢,－18×8,kg/m,1.13
热轧扁钢,－18×9,kg/m,1.27
热轧扁钢,－18×10,kg/m,1.4099
热轧扁钢,－20×3,kg/m,0.47
热轧扁钢,－20×4,kg/m,0.63
热轧扁钢,－20×5,kg/m,0.78
热轧扁钢,－20×6,kg/m,0.94
热轧扁钢,－20×7,kg/m,1.1
热轧扁钢,－22×8,kg/m,1.38
热轧扁钢,－22×9,kg/m,1.55
热轧扁钢,－22×10,kg/m,1.73
热轧扁钢,－22×11,kg/m,1.9
热轧扁钢,－22×12,kg/m,2.0699
热轧扁钢,－25×3,kg/m,0.5899
热轧扁钢,－25×4,kg/m,0.78
热轧扁钢,－25×5,kg/m,0.9799
热轧扁钢,－25×6,kg/m,1.1799
热轧扁钢,－25×7,kg/m,1.37
热轧扁钢,－25×8,kg/m,1.57
热轧扁钢,－25×9,kg/m,1.77
热轧扁钢,－25×10,kg/m,1.96
热轧扁钢,－25×11,kg/m,2.16
热轧扁钢,－25×12,kg/m,2.3599
热轧扁钢,－25×14,kg/m,2.75
热轧扁钢,－25×16,kg/m,3.14
热轧扁钢,－28×3,kg/m,0.66
热轧扁钢,－28×4,kg/m,0.88
热轧扁钢,－28×5,kg/m,1.1
热轧扁钢,－28×6,kg/m,1.32
热轧扁钢,－28×7,kg/m,1.54
热轧扁钢,－28×8,kg/m,1.76
热轧扁钢,－28×9,kg/m,1.98
热轧扁钢,－28×10,kg/m,2.2
热轧扁钢,－28×11,kg/m,2.4199
热轧扁钢,－28×12,kg/m,2.64
热轧扁钢,－28×14,kg/m,3.08
热轧扁钢,－28×16,kg/m,3.53
热轧扁钢,－30×3,kg/m,0.7099
热轧扁钢,－30×4,kg/m,0.94
热轧扁钢,－30×5,kg/m,1.1799
热轧扁钢,－30×6,kg/m,1.4099
热轧扁钢,－30×7,kg/m,1.65
热轧扁钢,－30×8,kg/m,1.88
热轧扁钢,－30×9,kg/m,2.12
热轧扁钢,－30×10,kg/m,2.3599
热轧扁钢,－30×11,kg/m,2.5899
热轧扁钢,－30×12,kg/m,2.83
热轧扁钢,－30×14,kg/m,3.3
热轧扁钢,－30×16,kg/m,3.77
热轧扁钢,－30×18,kg/m,4.24
热轧扁钢,－30×20,kg/m,4.71
热轧扁钢,－32×3,kg/m,0.75
热轧扁钢,－32×4,kg/m,1.0
热轧扁钢,－32×5,kg/m,1.26
热轧扁钢,－32×6,kg/m,1.51
热轧扁钢,－32×7,kg/m,1.76
热轧扁钢,－32×8,kg/m,2.01
热轧扁钢,－32×9,kg/m,2.26
热轧扁钢,－32×10,kg/m,2.55
热轧扁钢,－32×11,kg/m,2.76
热轧扁钢,－32×12,kg/m,3.01
热轧扁钢,－32×14,kg/m,3.52
热轧扁钢,－32×16,kg/m,4.02
热轧扁钢,－32×18,kg/m,4.52
热轧扁钢,－32×20,kg/m,5.02
热轧扁钢,－35×3,kg/m,0.82
热轧扁钢,－35×4,kg/m,1.1
热轧扁钢,－35×5,kg/m,1.37
热轧扁钢,－35×6,kg/m,1.65
热轧扁钢,－35×7,kg/m,1.9199
热轧扁钢,－35×8,kg/m,2.2
热轧扁钢,－35×9,kg/m,2.47
热轧扁钢,－35×10,kg/m,2.75
热轧扁钢,－35×11,kg/m,3.02
热轧扁钢,－35×12,kg/m,3.3
热轧扁钢,－35×14,kg/m,3.85
热轧扁钢,－35×16,kg/m,4.4
热轧扁钢,－35×18,kg/m,4.95
热轧扁钢,－35×20,kg/m,5.5
热轧扁钢,－35×22,kg/m,6.04
热轧扁钢,－35×25,kg/m,6.87
热轧扁钢,－35×28,kg/m,7.69
热轧扁钢,－40×3,kg/m,0.94
热轧扁钢,－40×4,kg/m,1.26
热轧扁钢,－40×5,kg/m,1.57
热轧扁钢,－40×6,kg/m,1.88
热轧扁钢,－40×7,kg/m,2.2
热轧扁钢,－40×8,kg/m,2.51
热轧扁钢,－40×9,kg/m,2.83
热轧扁钢,－40×10,kg/m,3.14
热轧扁钢,－40×11,kg/m,3.45
热轧扁钢,－40×12,kg/m,3.77
热轧扁钢,－40×14,kg/m,4.4
热轧扁钢,－40×16,kg/m,5.02
热轧扁钢,－40×18,kg/m,5.65
热轧扁钢,－40×20,kg/m,6.28
