装修报价表-序号-一楼,装修报价表-项目名称-一楼,装修报价表-单位-一楼,装修报价表-工程量-一楼,装修报价表-辅材（元）-一楼,装修报价表-人工费（元）-一楼,装修报价表-主材（元）-一楼,装修报价表-品牌-一楼,装修报价表-单价（元）-一楼,装修报价表-合价（元）-一楼,装修报价表-备注-一楼
1,地墙找平,㎡,81.08,2.0,3.0,3.0,XXXX,8.0,648.64,XXXXX
2,强弱电,㎡,81.08,5.0,20.0,80.0,XXXX,105.0,8513.4,XXXXX
3,地砖(1000×1000),㎡,72.4,45.0,25.0,380.0,XXXX,450.0,32580.0,XXXXX
4,厨房墙地砖,㎡,60.0,45.0,30.0,85.0,XXXX,160.0,9600.0,XXXXX
5,厨房集成吊顶,㎡,12.0,,,230.0,XXXX,230.0,2760.0,XXXXX
6,整体厨柜,m,6.5,,,1200.0,XXXX,1200.0,7800.0,XXXXX
7,五金,项,1.0,,,5000.0,XXXX,5000.0,5000.0,XXXXX
8,石膏造型吊顶,㎡,61.0,25.0,40.0,55.0,XXXX,120.0,7320.0,XXXXX
9,电视背景,项,1.0,,,13800.0,XXXX,13800.0,13800.0,XXXXX
10,衣柜,㎡,16.8,65.0,180.0,450.0,XXXX,695.0,11676.0,XXXXX
11,鞋柜,项,1.0,,,900.0,XXXX,900.0,900.0,XXXXX
12,墙面吊顶乳胶漆,㎡,283.5,,10.0,18.0,XXXX,28.0,7938.0,XXXXX
13,家具白漆,㎡,32.0,,65.0,220.0,XXXX,285.0,9120.0,XXXXX
14,防水,㎡,45.2,,,55.0,XXXX,55.0,2486.0,XXXXX
15,卫生间墙地砖,㎡,31.0,45.0,30.0,85.0,XXXX,160.0,4960.0,XXXXX
16,卫生间集成吊顶,㎡,5.67,,,230.0,XXXX,230.0,1304.1,XXXXX
17,五金,项,1.0,,,3800.0,XXXX,3800.0,3800.0,XXXXX
18,卫浴,项,1.0,,,2000.0,XXXX,2000.0,2000.0,XXXXX
19,灯具,项,1.0,,,8000.0,XXXX,8000.0,8000.0,XXXXX
20,实木门,扇,2.0,,,2580.0,XXXX,2580.0,5160.0,XXXXX
21,卫浴门,扇,1.0,,,1000.0,XXXX,1000.0,1000.0,XXXXX
22,厨房门,扇,1.0,,,2300.0,XXXX,2300.0,2300.0,XXXXX
25,楼梯大理石,㎡,73.14,45.0,30.0,420.0,XXXX,495.0,36204.3,XXXXX
26,楼梯扶手,m,29.2,,,380.0,XXXX,380.0,11096.0,XXXXX
27,进户大门,扇,1.0,,,5800.0,XXXX,5800.0,5800.0,XXXXX
二楼,,,,,,,,,,XXXXX
1,地墙找平,㎡,81.08,2.0,3.0,3.0,XXXX,8.0,648.64,XXXXX
2,强弱电,㎡,81.08,5.0,20.0,80.0,XXXX,105.0,8513.4,XXXXX
3,地砖(1000×1000),㎡,120.0,45.0,25.0,380.0,XXXX,450.0,54000.0,XXXXX
4,厨房墙地砖,㎡,60.0,45.0,30.0,85.0,XXXX,160.0,9600.0,XXXXX
5,厨房集成吊顶,㎡,12.0,,,230.0,XXXX,230.0,2760.0,XXXXX
6,整体厨柜,m,6.5,,,1200.0,XXXX,1200.0,7800.0,XXXXX
7,五金,项,1.0,,,5000.0,XXXX,5000.0,5000.0,XXXXX
8,石膏造型吊顶,㎡,61.0,25.0,40.0,55.0,XXXX,120.0,7320.0,XXXXX
9,电视背景,项,1.0,,,7800.0,XXXX,7800.0,7800.0,XXXXX
10,衣柜,㎡,16.8,65.0,180.0,450.0,XXXX,695.0,11676.0,XXXXX
11,鞋柜,项,1.0,,,900.0,XXXX,900.0,900.0,XXXXX
12,墙面吊顶乳胶漆,㎡,283.5,,10.0,18.0,XXXX,28.0,7938.0,XXXXX
13,家具白漆,㎡,32.0,,65.0,220.0,XXXX,285.0,9120.0,XXXXX
14,防水,㎡,45.2,,,55.0,XXXX,55.0,2486.0,XXXXX
15,卫生间墙地砖,㎡,31.0,45.0,30.0,85.0,XXXX,160.0,4960.0,XXXXX
16,卫生间集成吊顶,㎡,5.67,,,230.0,XXXX,230.0,1304.1,XXXXX
17,五金,项,1.0,,,3800.0,XXXX,3800.0,3800.0,XXXXX
18,卫浴,项,1.0,,,27000.0,XXXX,27000.0,27000.0,XXXXX
19,灯具,项,1.0,,,23000.0,XXXX,23000.0,23000.0,XXXXX
20,实木门,扇,2.0,,,2580.0,XXXX,2580.0,5160.0,XXXXX
21,卫浴门,扇,1.0,,,1000.0,XXXX,1000.0,1000.0,XXXXX
22,厨房门,扇,1.0,,,2300.0,XXXX,2300.0,2300.0,XXXXX
24,阳台地砖,㎡,4.8,45.0,20.0,80.0,XXXX,145.0,696.0,XXXXX
25,入户防盗门,扇,1.0,,,3000.0,XXXX,3000.0,3000.0,XXXXX
三楼,,,,,,,,,,XXXXX
1,地墙找平,㎡,81.08,2.0,3.0,3.0,XXXX,8.0,648.64,XXXXX
2,强弱电,㎡,81.08,5.0,20.0,80.0,XXXX,105.0,8513.4,XXXXX
3,地砖(1000×1000),㎡,72.4,45.0,25.0,380.0,XXXX,450.0,32580.0,XXXXX
4,厨房墙地砖,㎡,60.0,45.0,30.0,85.0,XXXX,160.0,9600.0,XXXXX
5,厨房集成吊顶,㎡,12.0,,,230.0,XXXX,230.0,2760.0,XXXXX
6,整体厨柜,m,6.5,,,1200.0,XXXX,1200.0,7800.0,XXXXX
7,五金,项,1.0,,,5000.0,XXXX,5000.0,5000.0,XXXXX
8,石膏造型吊顶,㎡,61.0,25.0,40.0,55.0,XXXX,120.0,7320.0,XXXXX
9,电视背景,项,1.0,,,13800.0,XXXX,13800.0,13800.0,XXXXX
10,衣柜,㎡,16.8,65.0,180.0,450.0,XXXX,695.0,11676.0,XXXXX
11,鞋柜,项,1.0,,,900.0,XXXX,900.0,900.0,XXXXX
12,墙面吊顶乳胶漆,㎡,283.5,,10.0,18.0,XXXX,28.0,7938.0,XXXXX
13,家具白漆,㎡,32.0,,65.0,220.0,XXXX,285.0,9120.0,XXXXX
14,防水,㎡,45.2,,,55.0,XXXX,55.0,2486.0,XXXXX
15,卫生间墙地砖,㎡,31.0,45.0,30.0,85.0,XXXX,160.0,4960.0,XXXXX
16,卫生间集成吊顶,㎡,5.67,,,230.0,XXXX,230.0,1304.1,XXXXX
