学生体检数据统计表-学校：赤山镇中心小学-年级-年级,学生体检数据统计表-学校：赤山镇中心小学-平均身高-男,学生体检数据统计表-学校：赤山镇中心小学-平均身高-女,学生体检数据统计表-体检时间：2014年5月12日-5月14日-平均体重-男,学生体检数据统计表-体检时间：2014年5月12日-5月14日-平均体重-女,学生体检数据统计表-体检时间：2014年5月12日-5月14日-过轻体重-过轻体重,学生体检数据统计表-体检时间：2014年5月12日-5月14日-超重体重-超重体重,学生体检数据统计表-学生数：1095人-肥胖体重-肥胖体重,学生体检数据统计表-学生数：1095人-龋齿-龋齿,学生体检数据统计表-学生数：1095人-近视-近视
一年级,117.2,116.5,20.9,20.1,25,5,5,0,0
二年级,123.5,124.6,22.8,22.5,38,4,3,3,0
三年级,129.8,127.5,25.3,24,56,5,2,24,4
四年级,132.8,133.6,27.8,28.4,45,10,18,31,6
五年级,137.5,138.4,30.5,30.6,36,6,2,0,5
六年级,143,144.8,35.3,34.7,20,10,2,7,6
合计,132.3,132.3,27.8,27.8,220,40,32,65,21
,,,,,,,,,
学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表
学校：赤山镇中心小学,学校：赤山镇中心小学,学校：赤山镇中心小学,体检时间：2015年5月18日-5月20日,体检时间：2015年5月18日-5月20日,体检时间：2015年5月18日-5月20日,体检时间：2015年5月18日-5月20日,学生数：1056人,学生数：1056人,学生数：1056人
年级,平均身高,平均身高,平均体重,平均体重,过轻体重,超重体重,肥胖体重,龋齿,近视
年级,男,女,男,女,过轻体重,超重体重,肥胖体重,龋齿,近视
一年级,117,116.8,20.5,20.5,18,3,5,0,0
二年级,123.7,124.5,22.5,22.9,40,5,5,0,4
三年级,128.7,127.3,25.1,23.8,15,6,3,27,25
四年级,131.9,133.3,28.9,27.8,30,8,6,17,4
五年级,137,137.9,30.4,30.5,37,10,12,0,3
六年级,143.8,144.5,35.3,34.9,30,6,3,8,3
合计,131.9,131.9,27.8,27.8,170,38,34,52,39
,,,,,,,,,
学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表,学生体检数据统计表
学校：赤山镇中心小学,学校：赤山镇中心小学,学校：赤山镇中心小学,体检时间：2016年5月6日-5月7日,体检时间：2016年5月6日-5月7日,体检时间：2016年5月6日-5月7日,体检时间：2016年5月6日-5月7日,学生数：1126人,学生数：1126人,学生数：1126人
年级,平均身高,平均身高,平均体重,平均体重,过轻体重,超重体重,肥胖体重,龋齿,近视
年级,男,女,男,女,过轻体重,超重体重,肥胖体重,龋齿,近视
一年级,116.4,117.2,20.9,20.1,21,4,4,0,0
二年级,124.9,124.3,22.9,22.1,42,4,3,18,2
三年级,129.9,127.9,25.2,23,69,7,2,28,3
四年级,131.8,132.3,28.7,27.8,52,10,18,67,4
五年级,137.3,138.6,30.2,30.3,37,6,2,1,9
六年级,144,144.9,35.4,34.9,31,11,1,14,9
合计,131.6,131.6,27.3,27.3,252,42,30,128,27
