管径,管基及垫层总厚度,管基宽度B,管壁厚t,管基厚度C2,肩宽a,90管基砼量,120管基砼量,135管基砼量,180管基砼量,检查井直径或长度,管基下垫层总加宽值,管基厚度C1,管基厚度C2.1,碎石垫层厚度,碎石垫层宽度,管基模板高度,Unnamed: 17
250.0,0.1,,0.033,,,,,,,0.9,0.8,,,0.1,0.4,0.0,0.25
300.0,0.18,0.54,0.04,0.095,0.08,,0.072,,,0.9,0.8,0.08,0.095,0.1,0.94,0.175,0.3
400.0,0.2,0.694,0.047,0.123,0.1,,0.117,,,0.9,0.8,0.1,0.123,0.1,1.094,0.223,0.4
500.0,0.21,0.83,0.055,0.152,0.11,,0.16,,,0.9,0.8,0.11,0.152,0.1,1.23,0.262,0.5
600.0,0.22,0.9,0.065,0.18,0.085,,0.188,,,1.1,0.8,0.12,0.18,0.1,1.3,0.3,0.6
800.0,0.22,1.2,0.08,0.24,0.12,,0.291,,,1.2,0.8,0.12,0.24,0.1,1.6,0.36,0.8
1000.0,0.25,1.5,0.1,0.3,0.15,,0.454,,,1.5,0.8,0.15,0.3,0.1,1.9,0.45,1.0
1200.0,0.28,1.8,0.12,0.36,0.18,,0.654,,,1.9,0.8,0.18,0.36,0.1,2.2,0.54,1.2
1500.0,0.325,2.25,0.15,0.45,0.225,,1.022,,,2.3,0.8,0.225,0.45,0.1,2.65,0.675,1.5
1800.0,0.37,2.7,0.18,0.54,0.27,,1.471,,,2.7,0.8,0.27,0.54,0.1,3.1,0.81,1.8
2000.0,0.1,,,,,,-0.614,,,2.7,0.8,,,0.1,0.4,0.0,2.0
2200.0,0.1,,,,,,-0.743,,,,0.8,,,0.1,0.4,0.0,2.2
2400.0,0.1,,,,,,-0.884,,,,0.8,,,0.1,0.4,0.0,2.4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,本表中数据只能按设计修改，不可删除行、列，增加内容只能在后面接上，不能插入,,,,,,,,,,,,,,,,
