投资活动现金流量水平分析表-××公司××年度金额单位：-项目-项目,投资活动现金流量水平分析表-××公司××年度金额单位：-上两年（基期）-金额,投资活动现金流量水平分析表-××公司××年度金额单位：-上两年（基期）-百分比,投资活动现金流量水平分析表-××公司××年度金额单位：-上一年-金额,投资活动现金流量水平分析表-××公司××年度金额单位：-上一年-增减金额,投资活动现金流量水平分析表-××公司××年度金额单位：-上一年-增减幅度(%),投资活动现金流量水平分析表-××公司××年度金额单位：-分析年-金额,投资活动现金流量水平分析表-××公司××年度金额单位：-分析年-增减金额(元),投资活动现金流量水平分析表-××公司××年度金额单位：-分析年-增减幅度(%)
投资活动现金流入量,30.0,100.00%,40.0,10.0,33.33%,60.0,30.0,100.00%
1.收回短期投资、长期债券投资和长期股权投资收到的现金,15.0,100.00%,25.0,60.0,400.00%,38.0,23.0,153.33%
2.取得投资收益收到的现金,5.0,100.00%,8.0,8.0,160.00%,10.0,5.0,100.00%
3.处置固定资产、无形资产和其他非流动资产收回的现金净额,5.0,100.00%,5.0,12.0,240.00%,7.0,2.0,40.00%
4.收到的其他与投资活动有关的现金,5.0,,2.0,,,5.0,,
,,,,,,,,
投资活动现金流出量,20.0,100.00%,20.0,0.0,0.00%,30.0,10.0,50.00%
1.短期投资、长期债券投资和长期股权投资支付的现金,10.0,100.00%,10.0,0.0,0.00%,10.0,0.0,0.00%
2.建固定资产、无形资产和其他非流动资产支付的现金,7.0,100.00%,6.0,-1.0,-14.29%,15.0,8.0,114.29%
3.支付的其他与投资活动有关的现金,3.0,100.00%,4.0,1.0,33.33%,5.0,2.0,66.67%
,,,,,,,,
投资活动产生的现金流量净额,5.0,100.00%,15.0,10.0,200.00%,28.0,23.0,460.00%
