给水排水专业图集-1类给水设备安装-序号,给水排水专业图集-图集号,给水排水专业图集-图集名称,给水排水专业图集-价格,给水排水专业图集-备注
2,02SS104,二次供水消毒设备选用与安装,11.3,
3,04S107,游泳池附件安装及设备选用,23,
4,05S108,倒流防止器安装,11,
5,06SS109,管网叠压供水设备选用与安装,21,
1,01S123,贮水罐选用及安装,3.9,代替S152、S153
11,08S126,热水器选用及安装,48,代替01SS126
7,06SS127,热泵热水系统选用与安装,25,
8,06SS128,太阳能集中热水系统选用与安装,33,
2类 消防设备安装,,,,
序号,图集号,图集名称,价格,备注
1,01S201,室外消火栓安装,8.8,代替88S162
2,04S202,室内消火栓安装,12,代替99S202
8,99S203、99(03)S203,消防水泵接合器安装,13.8,代替86S164
3,04S204,消防专用水泵选用及安装,37,
5,98S205,消防增压稳压设备选用与安装（隔膜式气压罐）,6.8,原98S176改号
4,04S206,自动喷水与水喷雾灭火设施安装,28,代替89SS175
6,07S207,气体消防系统选用、安装与建筑灭火器配置,35,
9,08S208,室内固定消防炮选用及安装,53,
7,S2,消防设备安装 2004版,112,
3类 排水设备及卫生器具安装,,,,
序号,图集号,图集名称,价格,备注
1,04S301,建筑排水设备附件选用安装,35,代替92S220
4,09S302,雨水斗选用及安装,24,代替01S302
5,09S303,医疗卫生设备安装,43,代替92S303
,09S304,卫生设备安装,63,
3,08S305,小型潜水排污泵选用及安装,26,代替01S305
2,S3,排水设备及卫生器具安装 2004版,78,
4类 室内给水排水管道及附件安装,,,,
序号,图集号,图集名称,价格,备注
1,03S401,管道和设备保温、防结露及电伴热,39,代替87S159
2,03S402,室内管道支架及吊架,44.8,代替S161
3,02S403,钢制管件,33.3,代替S311和90S319
4,02S404,防水套管,8.3,代替S312
5,02SS405-1～4,给水塑料管安装（2002年合订本）,46,
,10S406,建筑排水塑料管道安装,35,
6,09S407-1,建筑给水铜管道安装,38,代替03S407-1
,10S407-2,建筑给水薄壁不锈钢管道安装,59,
7,03SS408,住宅厨、卫给排水管道安装,36,
8,04S409,建筑排水用柔性接口铸铁管安装,17,
,10SS410,建筑特殊单立管排水系统安装,46,
,10SS411,建筑给水复合金属管道安装,35,
9,S4(一),室内给水排水管道及附件安装(一)（2004版）,120,包括02S101、98S102、95SS103、02SS104、01SS105、01S106、04S107。
10,S4(二),室内给水排水管道及附件安装(二)（2004版）,105,
5类 室外给水排水管道工程及附属设施,,,,
序号,图集号,图集名称,价格,备注
1,S501-1～2,单层、双层井盖及踏步（2002年合订本）,28.6,97S501-1原图集号97S147。
2,05S502,室外给水管道附属构筑物,52,代替S143、S144、S145、S146、S160
,10S505,柔性接口给水管道支墩,68,
3,06S506-2,自承式圆弧形架空钢管,21,
,10S507,建筑小区埋地塑料给水管道施工,33,
4,02S515、02(03)S515,排水检查井,42.1,
5,04S516,混凝土排水管道基础及接口,15,代替95S516
6,05S518,雨水口,25,代替S518-1～2(1995年合订本)
7,04S519,小型排水构筑物,148,代替01S519
8,04S520,埋地塑料排水管道施工,19,
9,08SS523,建筑小区塑料排水检查井,33,
10,S531-1～5,湿陷性黄土地区室外给水排水管道工程构筑物（2004合订本）,51,代替86S460(一)~(七)
6类 给水处理构筑物,,,,
序号,图集号,图集名称,价格,备注
1,07SS604,建筑管道直饮水工程,58,
,10S605,游泳池设计及附件安装,58,
7类 排水处理构筑物,,,,
序号,图集号,图集名称,价格,备注
1,02S701,砖砌化粪池,95.7,代替92S213(一)~(五)
2,03S702,钢筋混凝土化粪池,101.2,代替92S214(一)~(五)
3,08SS703-2,建筑中水处理工程（二）,53,
4,08SS704,混凝土模块式化粪池,84,
8类 蓄水构筑物,,,,
序号,图集号,图集名称,价格,备注
1,04S801-1,钢筋混凝土倒锥壳保温水塔（50m3、100m3）,339,代替89S842(一)
2,04S801-2,钢筋混凝土倒锥壳保温水塔（150m3、200m3、300m3）,438,代替89S842(二)～(六)
3,04S802-1,钢筋混凝土倒锥壳不保温水塔（50m3、100m3）,336,代替94S844(一)
4,04S802-2,钢筋混凝土倒锥壳不保温水塔（150m3、200m3、300m3）,504,代替94S844(二)～(六)
5,04S803,圆形钢筋混凝土蓄水池,60,代替96S811~96S821、96S834~96S835
6,05S804,矩形钢筋混凝土蓄水池,112,代替96S823~96S833、96S836~96S838
9类 综合项目,,,,
序号,图集号,图集名称,价格,备注
1,S901～902,民用建筑工程给水排水设计深度图样（2009年合订本）,98,
2,07S906,给水排水构筑物设计选用图（水池、水塔、化粪池、小型排水构筑物）,92,
合订本,合订本,,,
