城市道路专业图集-1类综合项目-序号,城市道路专业图集-图集号,城市道路专业图集-图集名称,城市道路专业图集-价格,城市道路专业图集-备注
1,05MR101,城市道路－施工图设计深度图样,33,
2,05MR102,城市道路－立体交叉施工图设计深度图样,35,
3,05MR103,城市道路－立体交叉可行性研究、初步设计深度图样,42,
4,05MR104,城市道路－路拱,10,
2类 路面,,,,
序号,图集号,图集名称,价格,备注
1,05MR201,城市道路－沥青路面,16,
2,05MR202,城市道路－水泥混凝土路面,13,
3,05MR203,城市道路－人行道铺砌,8,
4,10MR204,城市道路—透水人行道铺设,18,
3类 路基,,,,
序号,图集号,图集名称,价格,备注
1,05MR301,城市道路－软土地基处理,16,
4类 附属设施,,,,
序号,图集号,图集名称,价格,备注
1,05MR401,城市道路附属工程,9,
2,07MR402,城市道路－装配式挡土墙,82,
3,07MR403,城市道路－护坡,20,
4,05MR404,城市道路－路缘石,13,
5类 无障碍设施,,,,
序号,图集号,图集名称,价格,备注
1,05MR501,城市道路－无障碍设计,8,
6类 交通设施,,,,
序号,图集号,图集名称,价格,备注
1,05MR601,城市道路－交通标志和标线,42,
2,05MR602,城市道路－安全防护设施,12,
3,09MR603,城市道路－声屏障,30,
合订本,,,,
序号,图集号,图集名称,价格,备注
1,MR1,城市道路 路面、路基及其他设施（2008年合订本）,207,05MR104城市道路－路拱                           05MR201城市道路－沥青路面                       05MR202城市道路－水泥混凝土路面                 05MR203城市道路－人行道铺砌                     05MR301城市道路－软土地基处理                   05MR401城市道路- 附属工程                        07MR402城市道路－装配式挡土墙                   07MR403城市道路－护坡                           05MR404城市道路－路缘石05MR501城市道路－无障碍设计05MR602城市道路－安全防护设施
2,MR2,城市道路－设计深度图样及交通标志和标线（2010年合订本）,152,05MR101城市道路－施工图设计深度图样             05MR102城市道路－立体交叉施工图设计深度图样     05MR103城市道路－立体交叉可行性研究、初步设计深度图样05MR601城市道路－交通标志和标线
