最新营改增税率表-纳税人,最新营改增税率表-应税行为,最新营改增税率表-具体范围,最新营改增税率表-具体范围.1,最新营改增税率表-具体范围.2,最新营改增税率表-具体范围.3,最新营改增税率表-增值税税率,最新营改增税率表-原营业税税目,最新营改增税率表-原营业税税率
小规模纳税人,包括原增值税纳税人和营改增纳税人，从事货物销售，提供增值税加工、修理修配劳务、以及营改增各项应税服务,包括原增值税纳税人和营改增纳税人，从事货物销售，提供增值税加工、修理修配劳务、以及营改增各项应税服务,包括原增值税纳税人和营改增纳税人，从事货物销售，提供增值税加工、修理修配劳务、以及营改增各项应税服务,包括原增值税纳税人和营改增纳税人，从事货物销售，提供增值税加工、修理修配劳务、以及营改增各项应税服务,包括原增值税纳税人和营改增纳税人，从事货物销售，提供增值税加工、修理修配劳务、以及营改增各项应税服务,征收率3%,-,-
原增值税纳税人,销售或者进口货物（另有列举的货物除外）；提供加工、修理修配劳务,销售或者进口货物（另有列举的货物除外）；提供加工、修理修配劳务,销售或者进口货物（另有列举的货物除外）；提供加工、修理修配劳务,销售或者进口货物（另有列举的货物除外）；提供加工、修理修配劳务,销售或者进口货物（另有列举的货物除外）；提供加工、修理修配劳务,17%,-,-
原增值税纳税人,1.粮食、使用植物油、鲜奶,1.粮食、使用植物油、鲜奶,1.粮食、使用植物油、鲜奶,1.粮食、使用植物油、鲜奶,1.粮食、使用植物油、鲜奶,13%,-,-
原增值税纳税人,2.自来水、暖气、冷气、热气、煤气、石油液化气、天然气、沼气、居民用煤炭制品,2.自来水、暖气、冷气、热气、煤气、石油液化气、天然气、沼气、居民用煤炭制品,2.自来水、暖气、冷气、热气、煤气、石油液化气、天然气、沼气、居民用煤炭制品,2.自来水、暖气、冷气、热气、煤气、石油液化气、天然气、沼气、居民用煤炭制品,2.自来水、暖气、冷气、热气、煤气、石油液化气、天然气、沼气、居民用煤炭制品,13%,-,-
原增值税纳税人,3.图书、报纸、杂志；,3.图书、报纸、杂志；,3.图书、报纸、杂志；,3.图书、报纸、杂志；,3.图书、报纸、杂志；,13%,-,-
原增值税纳税人,4.饲料、化肥、农药、农机（整机)、农膜；,4.饲料、化肥、农药、农机（整机)、农膜；,4.饲料、化肥、农药、农机（整机)、农膜；,4.饲料、化肥、农药、农机（整机)、农膜；,4.饲料、化肥、农药、农机（整机)、农膜；,13%,-,-
原增值税纳税人,5.国务院规定的其他货物；,5.国务院规定的其他货物；,5.国务院规定的其他货物；,5.国务院规定的其他货物；,5.国务院规定的其他货物；,13%,-,-
原增值税纳税人,6.农产品（指各种动、植物初级产品）；音像制品、电子出版物、二甲醚、食用盐,6.农产品（指各种动、植物初级产品）；音像制品、电子出版物、二甲醚、食用盐,6.农产品（指各种动、植物初级产品）；音像制品、电子出版物、二甲醚、食用盐,6.农产品（指各种动、植物初级产品）；音像制品、电子出版物、二甲醚、食用盐,6.农产品（指各种动、植物初级产品）；音像制品、电子出版物、二甲醚、食用盐,13%,-,-
原增值税纳税人,出口货物,出口货物,出口货物,出口货物,出口货物,0,-,-
一般纳税人,销售服务,交通运输业,陆路运输服务,铁路运输服务,,11%,运输业,3%
