调度绞车容绳量-主要技术参数,调度绞车容绳量-JD-11.4,调度绞车容绳量,调度绞车容绳量-JD-25,调度绞车容绳量.1,调度绞车容绳量-JD-40,调度绞车容绳量.2,调度绞车容绳量-JD-55,调度绞车容绳量.3
滚筒直径,240,,300,,500,,620,
滚筒深度,190,,240,,160,,235,
滚筒长度,305,,400,,580,,600,
钢丝绳直径,15.5,18.5,15.5,18.5,15.5,18.5,21.5,
层数,12.26,10.27,15.48,12.97,10.32,8.65,10.93,
圈数,19.67742,16.4865,25.8065,21.6216,37.419,31.351,27.9,
序号,周长,周长,周长,周长,周长,周长,周长,周长
1,753.6,753.6,942,942,1570.0,1570.0 ,1946.8,1946.8 
2,802.27,811.69,990.67,1000.09,1618.7,1628.1,2014.31,
3,850.94,869.78,1039.34,1058.18,1667.3,1686.2,2081.82,
4,899.61,927.87,1088.01,1116.27,1716,1744.3,2149.33,
5,948.28,985.96,1136.68,1174.36,1764.7,1802.4,2216.84,
6,996.95,1044.05,1185.35,1232.45,1813.4,1860.5,2284.35,
7,1045.62,1102.14,1234.02,1290.54,1862,1918.5,2351.86,
8,1094.29,1160.23,1282.69,1348.63,1910.7,1976.6,2419.37,
9,1142.96,1218.32,1331.36,1406.72,1959.4,,2486.88,
10,1191.63,1276.41,1380.03,1464.81,2008,,2554.39,
11,1240.3,,1428.7,1522.9,,,,
12,1288.97,,1477.37,1580.99,,,,
13,,,1526.04,,,,,
14,,,1574.71,,,,,
15,,,1623.38,,,,,
容绳量,232853,150343,481009,298115,661936,391112,607661,
容绳量,232.853,150.343,481.009,298.115,661.94,391.11,607.661,
