唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-序号,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-项目名称,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-具体内容,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-数量,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-备注,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-三月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-四月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-五月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-六月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-七月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-八月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-九月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-十月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-十一月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-十二月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-一月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-二月,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-三月.1,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-四月.1,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-合计,唐韵饮品营销推广计划费用预算(2012年3月-2013年4月)保密-合计.1
1,办公用品采购,新近员工配备电脑,4,策划1、文案1、销售助理2人（原有ibm或新购替换）,12000,,20000,20000,,,,,,,,,,,52000,608500
2,办公用品采购,平面设计配备设计电脑,1,新购组装设计平台,11000,,,,,,,,,,,,,,11000,"608,500 "
3,办公用品采购,设计用彩色喷墨打印机,1,带外供墨系统、彩喷纸,4000,,,2000,,,,,,,,,,,6000,"608,500 "
4,办公用品采购,营销中心激光打印机,1,较高强度打印,4000,,,,,,,,,,,,,,4000,"608,500 "
5,办公用品采购,营销中心传真机,1,办公用,500,,,1000,,,,,,,,,,,1500,"608,500 "
6,办公用品采购,业务用数码照相机,2,营销中心调研+产品部考察各1部,4000,,,4000,,,,,,,,,,,8000,"608,500 "
7,办公用品采购,投影仪,1,,6000,,,,,,,,,,,,,,6000,"608,500 "
8,办公用品采购,网站设计制作费首年上线,1,,,300000,,,,,10000,,,,10000,10000,,,330000,"608,500 "
9,办公用品采购,设计费部分进度款,2,产品手册、公司手册、vi系统、招商单页,50000,,30000,,30000,,30000,,,,,,,,140000,"608,500 "
10,办公用品采购,oa软件采购,1,,50000,,,,,,,,,,,,,,50000,"608,500 "
11,posm,3省上市发布、卖场用的大堆头用广告POP，宣传贴、促销品样品、路演道具、posm,3,上市阶段分段、分批量制作,,,150000,160000,350000,,,,,,,,,,660000,2610000.0
12,posm,门头制作,3,,,,80000,150000,150000,80000,150000,150000,100000,80000,50000,,80000,80000,1150000,"2,610,000.00 "
13,posm,企业手册、产品手册、招商单页、三折页制作费,3,上市阶段分段、分批量制作,,,40000,,40000,,50000,,,20000,,,,,150000,"2,610,000.00 "
14,posm,西安糖酒会展位装修促进物,1,前期定金、装修、广告物料制作,250000,,,,,200000,,,,,,,200000,,650000,"2,610,000.00 "
15,宣传与推广,广告--报纸，杂志,3,,,,80000,80000,,30000,80000,80000,30000,30000,30000,10000,30000,30000,510000,3500000.0
16,宣传与推广,广告--网络首页广告,3,,,,50000,50000,50000,,100000,132000,50000,18000,25000,,10000,10000,495000,"3,500,000.00 "
17,宣传与推广,广告--公交车身广告，站台媒体，语音提示,3,,,,180000,180000,100000,100000,200000,200000,80000,80000,,,80000,80000,1280000,"3,500,000.00 "
18,宣传与推广,广告--电梯广告,3,分众传媒,,,,,,,100000,100000,100000,,,,,,300000,"3,500,000.00 "
19,宣传与推广,广告--交通电台,3,,,,30000,30000,30000,30000,50000,30000,30000,30000,30000,10000,30000,30000,360000,"3,500,000.00 "
20,宣传与推广,推广--公关关系费,3,政府公关关系,,300000,,,,,,,,,,,,,300000,"3,500,000.00 "
21,宣传与推广,推广--上市发布会,3,户外秀,,,30000,,,,,,30000,,,,,,60000,"3,500,000.00 "
22,宣传与推广,企业专题片拍摄费,1,企业招商用,,15000,,,,,,,,,,,,,15000,"3,500,000.00 "
23,宣传与推广,网络推广费基础,3,,,,,,,,20000,20000,20000,20000,,,,,80000,"3,500,000.00 "
24,宣传与推广,网络活动奖品推广费,3,,,,,,,,50000,50000,,,,,,,100000,"3,500,000.00 "
25,渠道费用,样板街,3,,,,50000,60000,60000,60000,150000,150000,150000,150000,,,150000,150000,1130000,2000000.0
26,渠道费用,形象店,3,,,,20000,20000,10000,10000,35000,35000,50000,50000,,,50000,50000,330000,"2,000,000.00 "
27,渠道费用,进店费用,3,,,,,,,,50000,100000,,,,,,,150000,"2,000,000.00 "
28,渠道费用,陈列费,3,,,,,,,,100000,200000,,,,,,,300000,"2,000,000.00 "
29,渠道费用,条码费,3,,,,,,,,30000,60000,,,,,,,90000,"2,000,000.00 "
30,促销,渠道促销,3,,,,60000,60000,60000,60000,60000,100000,200000,,,,,,600000,4080000.0
31,促销,餐饮进店费,3,,,,300000,300000,300000,70000,70000,70000,70000,70000,70000,70000,70000,70000,1530000,"4,080,000.00 "
32,促销,消费者买赠促销,3,,,,50000,100000,100000,100000,150000,150000,150000,150000,,,150000,150000,1250000,"4,080,000.00 "
33,促销,主题活动促销,3,,,,200000,,,100000,200000,,200000,,,,,,700000,"4,080,000.00 "
34,差旅与招待,差旅费,3,,30000,10000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,400000,518000
35,差旅与招待,招待费,3,,3000,3000,5000,3000,3000,3000,10000,3000,10000,15000,15000,15000,15000,15000,118000,"518,000 "
36,合计,合计,合计,合计,424500,628000,1405000,1250000,1313000,873000,1725000,1660000,1300000,743000,260000,145000,895000,695000,"¥13,316,500.00","¥13,316,500.00 "
注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。,     注：以上预算不含人员工资与提成奖励和电视媒体广告。推广计划整体呈现m型推广，渡过前期3-4个月铺货期后，开始在人流高峰9-12月进行集中投放。
,,,,,,,,,,,,,,,,,,,,
,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：,制表：                                                                            审核：                                                                 批准：
