选择资产编号查询-选择资产编号查询-序号,固定资产管理台账表-可查询-资产编号-s00003-资产编号,固定资产管理台账表-可查询-资产名称-照相机-资产名称,固定资产管理台账表-可查询-分类号-20210408-分类号,固定资产管理台账表-可查询-分类名称-台式机-分类名称,固定资产管理台账表-可查询-价值-4500-价值,固定资产管理台账表-可查询-取得日期-2018-12-31-取得日期,固定资产管理台账表-可查询-累计可使用时间（月）-120-累计可使用时间（月）,固定资产管理台账表-可查询-截止日期-2021-4-1-截止日期,固定资产管理台账表-可查询-累计折旧时间(月)-28-累计折旧时间(月),固定资产管理台账表-可查询-月折旧额（元）-37.5-月折旧额（元）,固定资产管理台账表-可查询-补贴折旧额（元）-1050-补贴折旧额（元）,存放地点-稽查-存放地点
1,s00003,照相机,20210408,台式机,4500.0,2018-12-31,120,2021-4-1,28,37.5,1050.0,稽查
2,s00002,照相机,20210409,显示器,9000.0,2018-12-31,72,2021-4-2,28,125.0,3500.0,经办公室
3,s00001,照相机,20210410,其他输入输出设备,9000.0,2018-12-31,72,2021-4-3,28,125.0,3500.0,仓库
4,S00004,通用五轮仪,20210411,其他输入输出设备,4000.0,2018-12-31,120,2021-4-4,28,33.33,933.33,稽查
5,F10001,办公用房,20210412,其他输入输出设备,4000.0,2018-12-31,600,2021-4-5,28,6.67,186.67,经办公室
6,F10002,扫描仪,20210413,扫描仪,2150.0,2018-12-31,72,2021-4-6,28,29.86,836.11,仓库
7,F10003,笔记本电脑,20210408,便携式计算机,10700.0,2018-12-31,72,2021-4-7,28,148.61,4161.11,稽查
8,F10004,计算机,20210409,台式机,10900.0,2018-12-31,72,2021-4-8,28,151.39,4238.89,经办公室
9,F10005,计算机,20210410,台式机,10900.0,2018-12-31,72,2021-4-9,28,151.39,4238.89,仓库
10,F10006,液晶显示器,20210411,显示器,3590.0,2018-12-31,72,2021-4-10,28,49.86,1396.11,稽查
11,F10007,手写板,20210412,其他输入输出设备,1020.0,2018-12-31,72,2021-4-11,28,14.17,396.67,经办公室
12,F10008,手写板,20210413,其他输入输出设备,1020.0,2018-12-31,72,2021-4-12,28,14.17,396.67,仓库
13,F10009,手写板,20210408,其他输入输出设备,1020.0,2018-12-31,72,2021-4-13,28,14.17,396.67,稽查
14,F10010,手写板,20210409,其他输入输出设备,1020.0,2018-12-31,72,2021-4-14,28,14.17,396.67,经办公室
15,F10011,手写板,20210410,其他输入输出设备,1020.0,2018-12-31,72,2021-4-15,28,14.17,396.67,仓库
16,F10012,笔记本电脑,20210411,便携式计算机,56000.0,2018-12-31,72,2021-4-16,28,777.78,21777.78,稽查
