订单分析表-日期,订单分析表-箱数,订单分析表-订单数,订单分析表-箱/订单,订单分析表-产品总数,订单分析表-产品数/单,订单分析表-SKU,订单分析表-人数/天,订单分析表-完成订单数/人,订单分析表-加班时H,订单分析表-发货重量（kg）,订单分析表-备注
每日平均,65.0,58.0,,431.67,7.4,66.65,1.96,#DIV/0!,1.0,209.73,
月度总计,1959.0,1750.0,1.12,12950.0,#DIV/0!,1533.0,45,#DIV/0!,2.0,4823.7,
2016/6/1,175.0,152.0,1.15,1343.0,8.84,80.0,3,50.67,1,443.0,
2016/6/2,77.0,74.0,1.04,538.0,7.27,69.0,2,37.0,,134.0,
2016/6/3,54.0,52.0,1.04,320.0,6.15,64.0,1,52.0,1,89.4,来货319件。
2016/6/4,45.0,44.0,1.02,274.0,6.23,55.0,1,44.0,,72.6,
2016/6/5,40.0,36.0,1.11,214.0,5.94,54.0,2,18.0,,75.0,理货
2016/6/6,68.0,64.0,1.06,362.0,5.66,54.0,2,32.0,,111.0,理货
2016/6/7,62.0,61.0,1.02,109.0,1.79,29.0,2,30.5,,95.0,
2016/6/8,54.0,54.0,1.0,225.0,4.17,56.0,1,54.0,,68.0,
2016/6/9,24.0,22.0,1.09,139.0,6.32,37.0,1,22.0,,46.0,
2016/6/10,102.0,99.0,1.03,496.0,5.01,84.0,2,49.5,,220.0,
2016/6/11,93.0,87.0,1.07,514.0,5.91,68.0,2,43.5,,262.0,
2016/6/12,79.0,76.0,1.04,662.0,8.71,88.0,2,38.0,,192.0,
2016/6/13,81.0,76.0,1.07,410.0,5.39,66.0,2,38.0,,148.0,
2016/6/14,114.0,97.0,1.18,758.0,7.81,79.0,2,48.5,,131.0,
2016/6/15,84.0,78.0,1.08,434.0,5.56,71.0,2,39.0,,332.0,
2016/6/16,61.0,56.0,1.09,338.0,6.04,66.0,2,28.0,,114.0,
2016/6/17,61.0,53.0,1.15,306.0,5.77,55.0,2,26.5,,123.0,
2016/6/18,51.0,48.0,1.06,272.0,5.67,60.0,2,24.0,,90.0,
2016/6/19,49.0,43.0,1.14,486.0,11.3,64.0,1,43.0,,152.0,
2016/6/20,186.0,145.0,1.28,1653.0,11.4,93.0,3,48.33,,589.0,
2016/6/21,187.0,147.0,1.27,1818.0,12.54,95.0,3,49.0,,589.0,
2016/6/22,153.0,132.0,1.16,1001.0,7.58,88.0,3,44.0,,630.0,
2016/6/23,59.0,54.0,1.09,278.0,5.15,58.0,2,27.0,,117.7,
2016/6/24,,,,,,,,,,,
2016/6/25,,,,,,,,,,,
2016/6/26,,,,,,,,,,,
2016/6/27,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,
2016/6/28,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,
2016/6/29,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,
2016/6/30,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,
,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,
,,,,,,,,,,,
,,,超过一箱,,套餐计数为1.,,"1、订单数>40;
2、产品总数>300pcs,满足其一，需2人。",,"1、套装多；
2、饮料多；
3、收货/其他事务",,
,,,hold单/未出货,,,,,,,,
