订单分析表-日期,订单分析表-箱数,订单分析表-订单数,订单分析表-箱/订单,订单分析表-产品总数,订单分析表-产品数/单,订单分析表-SKU,订单分析表-人数/天,订单分析表-完成订单数/人,订单分析表-加班时H,订单分析表-发货重量（kg）,订单分析表-备注
每日平均,102.0,80.0,,799.3,9.98,70.55,2.23,35.69,2.79,389.96,
月度总计,3047.0,2403.0,1.27,23979.0,306.93,2187.0,69,1070.83,53.0,12088.86,
2016/5/1,77.0,68.0,1.13,522.0,7.68,71.0,2,34.0,,134.0,
2016/5/2,39.0,37.0,1.05,363.0,9.81,47.0,1,37.0,,98.0,
2016/5/3,22.0,22.0,1.0,136.0,6.18,43.0,2,11.0,4,15.0,来货414件，理货
2016/5/4,178.0,136.0,1.31,1400.0,10.29,79.0,2,68.0,4,727.0,
2016/5/5,145.0,85.0,1.71,823.0,9.68,80.0,2,42.5,4,693.0,
2016/5/6,197.0,146.0,1.35,1457.0,9.98,94.0,4,36.5,4,880.0,
2016/5/7,126.0,86.0,1.47,944.0,10.98,75.0,3,28.67,2,647.0,来货35件，理货。
2016/5/8,152.0,119.0,1.28,1186.0,9.97,80.0,2,59.5,2,426.0,
2016/5/9,115.0,94.0,1.22,896.0,9.53,82.0,3,31.33,2,498.0,
2016/5/10,146.0,111.0,1.32,1345.0,12.12,85.0,3,37.0,3,581.0,
2016/5/11,81.0,62.0,1.31,721.0,11.63,60.0,3,20.67,3,358.0,
2016/5/12,169.0,143.0,1.18,1344.0,9.4,79.0,3,47.67,3,381.0,
2016/5/13,136.0,90.0,1.51,1675.0,18.61,71.0,3,30.0,3,700.0,
2016/5/14,145.0,96.0,1.51,1675.0,17.45,71.0,3,32.0,4,675.0,
2016/5/15,118.0,100.0,1.18,670.0,6.7,90.0,3,33.33,1,338.0,
2016/5/16,148.0,125.0,1.18,647.0,5.18,77.0,3,41.67,2,474.0,
2016/5/17,126.0,105.0,1.2,1193.0,11.36,87.0,3,35.0,3,1310.0,
2016/5/18,152.0,123.0,1.24,1790.0,14.55,130.0,3,41.0,4,722.0,
2016/5/19,148.0,126.0,1.17,251.0,1.99,85.0,3,42.0,3,506.0,
2016/5/20,34.0,31.0,1.1,283.0,9.129032258,61.0,2,15.5,1,81.0,盘点
2016/5/21,79.0,65.0,1.22,1008.0,32.52,76.0,2,32.5,,267.0,
2016/5/22,35.0,33.0,1.06,149.0,4.52,47.0,1,33.0,,49.0,
2016/5/23,32.0,31.0,1.03,114.0,3.68,37.0,1,31.0,,52.5,
2016/5/24,116.0,93.0,1.25,1268.0,13.63,83.0,2,46.5,1,645.0,
2016/5/25,64.0,61.0,1.05,471.0,7.72,70.0,2,30.5,,121.0,
2016/5/26,45.0,36.0,1.25,226.0,6.28,51.0,1,36.0,,118.0,
2016/5/27,39.0,35.0,1.11,234.0,6.69,57.0,1,35.0,,71.56,
2016/5/28,30.0,27.0,1.11,155.0,5.74,46.0,1,27.0,,47.0,
2016/5/29,37.0,33.0,1.12,195.0,5.91,54.0,1,33.0,,68.0,
2016/5/30,28.0,26.0,1.08,169.0,6.5,50.0,2,13.0,,55.8,
2016/5/31,88.0,58.0,1.52,669.0,11.53,69.0,2,29.0,,350.0,
,,,,,,,,,,,
,,,超过一箱,,套餐计数为1.,,"1、订单数>40;
2、产品总数>300pcs,满足其一，需2人。",,"1、套装多；
2、饮料多；
3、收货/其他事务",,
,,,hold单/未出货,,,,,,,,
