任务名称,资源名称,工时完成百分比,工时,单位
土地拓展,发展部,0%,"2,176 工时",100%
区域公司发展部向集团提供意向项目信息,发展部,0%,8 工时,100%
土地阶段投资分析成果,发展部,0%,72 工时,100%
1、《项目投资建议书》,发展部,0%,40 工时,100%
市场调研和资料搜集,发展部,0%,24 工时,100%
编制《公司战略意图、市场假设及客户定位》报告,发展部,0%,40 工时,100%
2、《项目预案》,发展部,0%,40 工时,100%
3、《项目投资分析模型（土地版）》,发展部,0%,8 工时,100%
PMO会议审核及论证,PMO,0%,16 工时,100%
投委会审核,发展部,0%,8 工时,100%
取得中标通知书,发展部,0%,0 工时,100%
项目公司注册,行政部,0%,776 工时,100%
准备项目公司注册所需的资料,行政部,0%,88 工时,100%
确定项目公司注册代理公司并签订合同,行政部,0%,80 工时,100%
项目公司注册领取营业执照，获得公章,行政部,0%,448 工时,100%
完成结汇,行政部,0%,240 工时,100%
土地出让合同（包括勘界、地形测绘等）,发展部,0%,984 工时,100%
延后签订土地出让合同,发展部,0%,264 工时,100%
了解上海市签订土地出让合同政府内部的流程和审批程序,发展部,0%,40 工时,100%
了解在延后签订土地出让合同中需要公关的难点和关键人物,发展部,0%,40 工时,100%
进行政府公关，延后签订土地出让合同,发展部,0%,216 工时,100%
完成拆迁,发展部,0%,264 工时,100%
确认动拆迁完成时间,发展部,0%,64 工时,100%
督促政府与一级开发公司按时完成动拆迁,发展部,0%,264 工时,100%
土地合同签订,发展部,0%,56 工时,100%
支付10%地价款,计财部,0%,8 工时,100%
付清剩余90%地价款及全部契税,计财部,0%,240 工时,100%
办理建设用地规划许可证,发展部,0%,152 工时,100%
办理建设用地批准书,发展部,0%,88 工时,100%
获得地块的地形图、规划定界报告等,发展部,0%,40 工时,100%
建设用地规划许可证申请表,发展部,0%,8 工时,100%
建设用地规划许可证审批,发展部,0%,64 工时,100%
取得建设用地规划许可证,发展部,0%,0 工时,100%
办理国土使用权证,发展部,0%,360 工时,100%
资料准备,发展部,0%,240 工时,100%
准备建设用地批准书,发展部,0%,8 工时,100%
准备建设用地规划许可证,发展部,0%,8 工时,100%
全部地价款缴纳凭证,计财部,0%,8 工时,100%
契税缴纳凭证,计财部,0%,8 工时,100%
地籍图,发展部,0%,8 工时,100%
土地证办理申请表,发展部,0%,8 工时,100%
国土使用权证审批,发展部,0%,120 工时,100%
1、取得国土使用权证,发展部,0%,0 工时,100%
2、交地（发展部向工程部交地）,发展部,0%,80 工时,100%
发展部向研发部移交项目资料（成交确认书、区域控规资料、项目规划条件、上会资料等）,发展部,0%,8 工时,100%
办理银行贷款,计财部,0%,672 工时,100%
准备资料提交申请（需国土证、用地规划许可证）,计财部,0%,56 工时,100%
银行接受申请，委托评估机构对项目进行评估；公司委托土地评估机构对土地进行评估,计财部,0%,168 工时,100%
支行递交省分行上会审批,计财部,0%,168 工时,100%
低密度项目需要呈报总行审批,计财部,0%,112 工时,100%
签定借款合同，办理土地抵押登记,计财部,0%,112 工时,100%
下贷（四证）,计财部,0%,56 工时,100%
项目启动,项目团队,0%,360 工时,100%
构建项目团队,PMO,0%,360 工时,100%
建立项目部组织架构,项目负责人,0%,240 工时,100%
建立工程管理制度,项目负责人,0%,240 工时,100%
团队培训,项目团队,0%,120 工时,100%
项目启动阶段成果,项目团队,0%,120 工时,100%
4、《项目定位报告》,营销部,0%,80 工时,100%
"规划方案,规划指标介绍",研发部,0%,16 工时,100%
产品需求和建议,营销部,0%,64 工时,100%
会所、商业、公共部位及住宅配置标准,项目团队,0%,48 工时,100%
精装房规划（如有）,营销部,0%,64 工时,100%
项目的开发及销售计划,项目团队,0%,56 工时,100%
5、《项目一二级进度计划》,项目负责人,0%,80 工时,100%
6、《成本敏感分析、价值分配及目标成本预设》,造价部,0%,80 工时,100%
各类成本预测分析（土地费用，建安成本，期间费用，总成本）,造价部,0%,80 工时,100%
成本控制预案,造价部,0%,40 工时,100%
成本控制重点、难点,造价部,0%,40 工时,100%
河道治理、地基处理方案、降噪方案的确定,工程部,0%,40 工时,100%
7、《会所、售楼处、样板房选址、定位、开放计划》,营销部,0%,80 工时,100%
现场售楼部、样板区的选址、面积规划、功能分区，内外风格、景观等具体要求,营销部,0%,80 工时,100%
售楼部、样板房的开放计划,营销部,0%,80 工时,100%
8、《投资分析报告（启动）》,计财部,0%,80 工时,100%
启动阶段销售进度与售价预期,计财部,0%,80 工时,100%
启动版目标成本的测算,计财部,0%,80 工时,100%
9、《方案设计任务书》,研发部,0%,80 工时,100%
10、《景观方案设计任务书》,研发部,0%,80 工时,100%
11、《精装房定位、限价及建设实施方案》（如有）,研发部,0%,80 工时,100%
召开项目启动会,PMO,0%,16 工时,100%
项目启动阶段成果提交集团审批,PMO召集人,0%,24 工时,100%
规划设计,研发部,0%,"2,376 工时",100%
修建性详细规划设计,研发部,0%,912 工时,100%
准备工作,研发部,0%,264 工时,100%
项目市场初判、初步产品定位,营销部,0%,32 工时,100%
拟定概念规划设计任务书,研发部,0%,32 工时,100%
确定参与概念规划设计单位,研发部,0%,40 工时,100%
规划条件、参考资料整理编辑,研发部,0%,96 工时,100%
规划条件、参考资料整理编辑,发展部,0%,96 工时,100%
概念规划阶段工作确认函签署、发出任务书及相关资料,研发部,0%,8 工时,100%
拟定概念规划设计合同及审批,研发部,0%,64 工时,100%
拟定概念规划设计合同及审批,造价部,0%,64 工时,100%
概念规划工作过程管理,研发部,0%,88 工时,100%
概念规划成果评审、确定修详规设计方向及本项目设计总包单位,项目团队,0%,40 工时,100%
协调政府有关部门、确认规划方案发展方向,项目团队,0%,32 工时,100%
取得规划设计基础资料（控规、红线图、水文地质资料等）,发展部,0%,104 工时,100%
取得规划设计基础资料（控规、红线图、水文地质资料等）,研发部,0%,104 工时,100%
政府公关（政府认可在未签订土地出让协议情况下规划方案先行报批）,发展部,0%,104 工时,100%
政府公关（政府认可在未签订土地出让协议情况下规划方案先行报批）,研发部,0%,104 工时,100%
拟定设计总包合同（包括修详、建筑方案、扩初、施工图、景观等）,研发部,0%,80 工时,100%
签订设计总包合同,研发部,0%,16 工时,100%
规划设计任务书、方案设计任务书内部确认,项目团队,0%,96 工时,100%
项目市场定位报告,营销部,0%,8 工时,100%
发出规划设计任务书及方案设计任务书,研发部,0%,40 工时,100%
规划设计任务书调整（如有必要，视与政府沟通的情况定）,研发部,0%,40 工时,100%
完成规划方案设计,研发部,0%,464 工时,100%
修详规设计工作过程管理、方案内部确认（每周一、周五两次例会）,研发部,0%,168 工时,100%
与政府规划部门沟通（规划科）,研发部,0%,80 工时,100%
修详规审批,研发部,0%,96 工时,100%
日照分析,研发部,0%,96 工时,100%
修详规方案征询（约19个政府相关部门）,研发部,0%,96 工时,100%
修详规方案征询（约19个政府相关部门）,工程部,0%,96 工时,100%
水务,研发部,0%,96 工时,100%
水务,工程部,0%,96 工时,100%
供电,研发部,0%,96 工时,100%
供电,工程部,0%,96 工时,100%
燃气,研发部,0%,96 工时,100%
燃气,工程部,0%,96 工时,100%
消防,研发部,0%,96 工时,100%
消防,工程部,0%,96 工时,100%
人防,研发部,0%,96 工时,100%
人防,工程部,0%,96 工时,100%
交通,研发部,0%,96 工时,100%
交通,工程部,0%,96 工时,100%
通讯,研发部,0%,96 工时,100%
通讯,工程部,0%,96 工时,100%
绿化,研发部,0%,96 工时,100%
绿化,工程部,0%,96 工时,100%
河道景观改造方案报批,工程部,0%,96 工时,100%
