库存明细表,库存明细表.1,库存明细表.2,库存明细表.3,库存明细表.4,库存明细表.5,库存明细表.6,库存明细表.7,库存明细表-统计区间：,库存明细表-2020/5/1,库存明细表-2020/5/31
产品编码,产品名称,规格型号,单位,期初数量,入库数量,出库数量,库存数量,安全库存,库存预警,备注
CP-001,产品1,规格1,箱,12,16,12,16,20,库存不足,
CP-002,产品2,规格2,箱,24,0,0,24,20,,
CP-003,产品3,规格3,箱,15,30,32,13,20,库存不足,
CP-004,产品4,规格4,箱,20,55,29,46,20,,
CP-005,产品5,规格5,箱,25,0,0,25,20,,
CP-006,产品6,规格6,箱,35,77,51,61,20,,
CP-007,产品7,规格7,箱,40,0,0,40,20,,
CP-008,产品8,规格8,箱,22,0,0,22,20,,
CP-009,产品9,规格9,箱,32,43,28,47,20,,
CP-010,产品10,规格10,箱,18,0,0,18,20,库存不足,
